#Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
0.000000,0.000000,11.400019,4.065338,0.002540,7.888064,7.051798,0.001453,17.681869
0.000000,0.000000,10.947579,3.899630,0.040186,2.311277,4.016081,0.000413,17.363787
0.000000,0.000000,9.678793,4.114016,0.031109,1.952891,3.660326,0.000525,15.885135
0.000000,0.000000,10.749917,3.585711,0.032565,1.193680,3.687509,0.000542,16.653515
0.000000,0.000000,10.124419,4.404677,0.041094,0.736042,3.210456,1.559705,22.755902
0.000000,0.000000,10.328816,7.611683,0.075459,1.735146,3.549371,0.000527,36.212953
0.000000,0.000000,9.716267,3.702555,0.079437,1.075252,3.018760,0.000454,22.298915
0.000000,0.000000,9.930148,3.473970,0.049626,0.897853,3.392364,0.000387,21.447822
0.000000,0.000000,9.466240,2.713693,0.044808,0.474795,2.355336,0.000468,19.497127
0.000000,0.000000,8.449921,2.071860,0.038603,0.490138,2.866433,0.676068,18.440537
0.000000,0.000000,10.651046,2.458933,0.054570,4.171786,0.619822,0.000356,21.113007
0.000000,0.000000,10.584474,1.793308,0.048415,0.484711,0.536257,0.000344,19.222430
0.000000,0.000000,9.322316,2.059813,0.056572,0.601327,0.721593,0.000486,18.227709
0.000000,0.000000,8.762050,1.402821,0.060289,3.406931,1.405803,0.000510,15.899814
0.000000,0.000000,10.571728,1.306644,0.057250,1.724184,3.361473,0.000910,19.123414
0.000000,0.000000,9.236132,1.548496,0.049517,1.611004,3.000923,0.000873,23.552362
0.000000,0.000000,8.871393,1.267943,0.049578,1.224889,2.891338,0.000744,14.015064
0.000000,0.000000,10.873309,1.247014,0.043272,5.616193,5.368098,0.000620,20.340505
0.000000,0.000000,9.154375,1.390686,0.082825,2.172527,3.041495,0.000467,14.136081
0.000000,0.000000,9.364512,1.925911,0.048456,2.040058,3.347407,0.000417,15.350180
0.000000,0.000000,9.262763,2.043501,0.047427,2.234596,4.229971,0.000477,24.097263
0.000000,0.000000,9.564639,2.279113,0.046650,3.518120,6.187062,4.189213,17.152973
0.000000,0.000000,8.524496,1.959064,0.036397,7.233073,4.522089,0.000483,18.539847
0.000000,0.000000,8.406723,6.230062,0.139244,4.263967,6.317923,0.000504,23.478754
0.000000,0.000000,11.551705,7.536801,0.109831,3.459176,5.103760,0.000425,26.384218
0.000000,0.000000,10.679182,8.575873,0.113183,4.051806,6.617819,0.000521,26.268207
0.000000,0.000000,9.373301,9.280809,0.099482,5.276275,8.734349,0.000597,31.689665
0.000000,0.000000,9.338072,10.573320,0.092648,3.120096,6.913171,2.869725,36.501238
0.000000,0.000000,10.504438,5.422274,0.048391,3.211669,4.922963,0.000393,29.990978
0.000000,0.000000,8.835740,3.957967,0.056552,3.739740,8.158736,0.000571,20.468238
0.000000,0.000000,9.995794,4.183736,0.036426,1.495667,4.552759,0.000366,21.764993
0.000000,0.000000,9.880205,5.989651,0.047668,1.070589,4.744196,0.000346,25.444948
0.000000,0.000000,10.166773,10.405657,0.065327,1.010874,8.056198,0.000636,37.679742
0.000000,0.000000,10.110128,8.078688,0.073401,0.572268,5.022391,1.604622,32.563408
0.000000,0.000000,11.299154,5.911408,0.057902,3.007970,7.620771,0.000704,30.272182
0.000000,0.000000,10.792983,4.152248,0.046025,0.946834,4.738652,0.000477,25.742299
0.000000,0.000000,10.040485,5.929058,0.058811,0.749303,4.877444,0.000375,29.692003
0.000000,0.000000,10.151514,7.757492,0.078714,0.356772,3.700902,0.000328,34.724570
0.000000,0.000000,11.083753,5.292170,0.059919,0.753013,8.364005,3.148867,31.805668
0.000000,0.000000,10.510422,3.160294,0.058666,2.337493,7.430459,0.000688,25.121556
0.000000,0.000000,8.484891,5.860502,0.098048,2.139792,7.783340,0.000615,29.360773
0.000000,0.000000,9.747317,2.832565,0.071781,1.706921,6.780238,0.000595,21.293381
0.000000,0.000000,9.368282,2.709691,0.059744,0.429977,4.678348,0.000601,20.517176
0.000000,0.000000,9.249806,3.210787,0.075431,0.533999,4.579803,1.602743,24.517131
0.000000,0.000000,8.877853,2.069256,0.067048,0.961315,3.474124,0.000366,20.631323
0.000000,0.000000,8.704734,4.620757,0.133725,1.749523,8.690881,0.000727,27.250403
0.000000,0.000000,8.947374,2.276398,0.094274,1.523979,8.862182,0.000850,19.880832
0.000000,0.000000,10.459302,2.384870,0.074311,0.551402,5.524958,0.000715,20.990750
0.000000,0.000000,9.532870,1.600662,0.069660,0.528383,4.227584,4.335244,18.578775
0.000000,0.000000,9.740019,4.489188,0.142842,5.519304,9.711970,0.000737,29.649467
0.000000,0.000000,9.091610,3.781310,0.121988,1.388711,4.902389,0.000600,25.514644
0.000000,0.000000,9.607114,4.195325,0.125620,1.136216,5.570975,0.000503,26.524953
0.000000,0.000000,8.834885,4.880527,0.156317,1.696461,4.945525,0.000485,25.102581
0.000000,0.000000,9.881116,2.174452,0.086892,2.278870,5.173071,3.754136,19.816924
0.000000,0.000000,9.328922,2.410334,0.077013,4.714887,5.449559,0.000561,20.959303
0.000000,0.000000,8.430085,2.579378,0.040924,5.715703,9.314695,0.000964,17.977266
0.000000,0.000000,9.987089,6.883320,0.121425,2.568659,4.815667,0.000488,30.232736
0.000000,0.000000,9.859254,7.418007,0.119621,3.529691,6.093113,0.000473,31.503374
0.000000,0.000000,9.879440,4.159224,0.081643,2.275052,4.536093,2.837814,22.969551
0.000000,0.000000,9.689536,3.961424,0.077213,7.126807,7.314104,0.000923,25.514683
0.000000,0.000000,10.118163,8.952638,0.121530,3.077587,5.029296,0.000398,37.239287
0.000000,0.000000,9.802888,3.637934,0.078585,4.414790,4.579287,0.000460,22.418119
0.000000,0.000000,10.021899,4.446854,0.071384,4.626699,7.597390,0.000591,23.790210
0.000000,0.000000,10.227962,9.558308,0.128216,3.030275,6.744942,3.109549,29.105435
0.000000,0.000000,10.127915,9.397167,0.058586,4.331152,7.242187,0.000541,33.653317
0.000000,0.000000,9.846953,5.590677,0.078978,0.043252,10.688503,0.077490,28.794068
0.000000,0.000000,10.718630,9.024938,0.090064,0.022564,7.090447,2.236868,37.756411
0.000000,0.000000,9.632187,4.566848,0.048805,0.036286,8.473352,0.056074,24.315051
0.000000,0.000000,10.441926,5.935768,0.066932,0.029630,11.440949,1.885591,28.594664
0.000000,0.000000,10.370703,4.305197,0.051876,0.030610,10.113790,2.061987,26.551444
0.000000,0.000000,9.737607,8.009884,0.088517,0.037325,9.140795,2.097924,34.947040
0.000000,0.000000,9.818347,4.062536,0.048854,0.030209,9.902418,1.563702,24.385570
0.000000,0.000000,9.098449,7.929301,0.095639,0.031594,10.059179,1.734364,28.518148
0.000000,0.000000,8.661545,7.818990,0.088126,0.015366,3.750348,0.655868,31.223320
0.000000,0.000000,11.664574,5.041920,0.069296,0.025986,4.843312,1.279393,32.032861
0.000000,0.000000,10.289793,4.872798,0.070498,0.016094,3.755352,0.784554,29.315042
0.000000,0.000000,9.135915,6.362386,0.096150,0.022556,5.295780,0.684120,29.038586
0.000000,0.000000,9.797291,3.683393,0.083281,0.015578,3.887226,0.485818,25.678717
0.000000,0.000000,9.777435,3.038245,0.085828,0.031551,6.671239,0.522872,24.041771
0.000000,0.000000,8.291239,4.815762,0.138213,0.035267,10.475022,0.820502,29.518766
0.000000,0.000000,8.383912,4.360786,0.179803,0.036631,10.744916,0.053720,27.976956
