#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008305,3,1,0,777
0.002069,4,1,0,742
0.329801,5,1,0,1359
0.277828,6,1,0,1873
0.637382,7,1,0,2292
0.404655,8,1,0,2627
0.896409,9,1,0,2887
0.871332,10,1,0,2848
1.169377,0,0,0,0
58.495931,0,0,0,0
1.157395,0,0,0,0
1.340753,0,0,0,0
1.294929,0,0,0,0
1.331552,0,0,0,0
1.645886,0,0,0,0
2.152436,0,0,0,0
2.545122,0,0,0,0
2.092904,0,0,0,0
2.644435,0,0,0,0
2.746855,0,0,0,0
2.770787,0,0,0,0
3.430887,0,0,0,0
3.524144,0,0,0,0
3.328053,0,0,0,0
3.325140,0,0,0,0
4.064209,0,0,0,0
3.657014,0,0,0,0
3.283657,0,0,0,0
3.304367,0,0,0,0
3.591464,0,0,0,0
3.501385,0,0,0,0
3.481902,3,1,0,1120
3.643233,4,1,0,1511
0.001568,5,1,0,1941
0.001945,6,1,0,2269
0.229720,7,1,0,2771
0.504177,8,1,0,3051
2.293694,9,1,0,3295
0.964378,10,1,0,3656
0.833777,0,0,0,0
1.548861,0,0,0,0
1.332052,0,0,0,0
59.265111,0,0,0,0
1.035024,0,0,0,0
1.182464,0,0,0,0
1.381996,0,0,0,0
1.444109,0,0,0,0
2.608625,0,0,0,0
2.357938,0,0,0,0
2.230001,0,0,0,0
2.232242,0,0,0,0
2.351931,0,0,0,0
2.311678,0,0,0,0
3.033959,0,0,0,0
2.946224,0,0,0,0
3.551274,0,0,0,0
3.109115,0,0,0,0
4.982014,0,0,0,0
4.170101,0,0,0,0
2.662631,0,0,0,0
3.515934,0,0,0,0
3.117810,0,0,0,0
2.709127,0,0,0,0
3.221230,0,0,0,0
2.780229,0,0,0,0
2.288343,0,0,0,0
3.192013,0,0,0,0
3.198721,0,0,0,0
2.165700,0,0,0,0
2.885048,0,0,0,0
3.287937,0,0,0,0
1.945354,0,0,0,0
3.194975,0,0,0,0
2.297904,0,0,0,0
3.654526,0,0,0,0
2.211363,0,0,0,0
2.295206,0,0,0,0
2.325928,0,0,0,0
2.236802,0,0,0,0
2.264430,0,0,0,0
2.319196,0,0,0,0
1.957526,0,0,0,0
3.330299,0,0,0,0
3.047518,0,0,0,0
2.005588,0,0,0,0
3.468750,0,0,0,0
4.595209,0,0,0,0
2.428349,0,0,0,0
2.313429,0,0,0,0
2.476241,0,0,0,0
2.797385,0,0,0,0
2.872448,0,0,0,0
2.836074,0,0,0,0
2.466621,0,0,0,0
3.337646,0,0,0,0
2.895282,0,0,0,0
2.461359,0,0,0,0
2.563392,0,0,0,0
3.100006,0,0,0,0
2.272308,0,0,0,0
2.636712,0,0,0,0
1.975418,0,0,0,0
4.025800,0,0,0,0
1.823049,0,0,0,0
2.162469,0,0,0,0
2.247435,0,0,0,0
2.352039,0,0,0,0
2.920851,0,0,0,0
2.459350,0,0,0,0
3.495425,0,0,0,0
2.655280,0,0,0,0
4.160938,0,0,0,0
2.934964,0,0,0,0
2.759665,0,0,0,0
4.553862,0,0,0,0
2.491984,0,0,0,0
3.254838,0,0,0,0
2.602384,0,0,0,0
3.168496,0,0,0,0
3.081614,0,0,0,0
1.839261,0,0,0,0
4.292267,0,0,0,0
3.012616,0,0,0,0
2.613674,0,0,0,0
1.789412,0,0,0,0
2.819957,0,0,0,0
1.935347,0,0,0,0
2.694748,0,0,0,0
3.120565,0,0,0,0
2.328851,0,0,0,0
1.806652,0,0,0,0
2.845214,0,0,0,0
2.340278,0,0,0,0
2.763322,0,0,0,0
2.821879,0,0,0,0
2.966778,0,0,0,0
2.886548,0,0,0,0
2.942614,0,0,0,0
3.622218,0,0,0,0
4.788807,0,0,0,0
2.978236,0,0,0,0
2.885388,0,0,0,0
5.548351,0,0,0,0
3.022404,0,0,0,0
4.569784,0,0,0,0
3.039567,0,0,0,0
3.856356,0,0,0,0
2.985766,0,0,0,0
3.156927,0,0,0,0
2.071425,0,0,0,0
3.312109,0,0,0,0
3.336287,0,0,0,0
3.092193,0,0,0,0
3.677416,0,0,0,0
3.530141,0,0,0,0
3.522239,0,0,0,0
3.914100,0,0,0,0
4.612430,0,0,0,0
3.644334,0,0,0,0
3.807279,0,0,0,0
4.530272,0,0,0,0
4.654948,0,0,0,0
4.225616,0,0,0,0
5.100197,0,0,0,0
2.210905,0,0,0,0
3.836746,0,0,0,0
4.198171,0,0,0,0
3.516568,0,0,0,0
5.595770,0,0,0,0
3.367246,0,0,0,0
5.157091,0,0,0,0
4.497061,0,0,0,0
3.561634,0,0,0,0
