#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.757858,0.034556,0.357915,0.008699,0.008699,7.166779
7.252896,0.116835,1.318194,0.002988,0.002988,8.694075
7.286585,0.197733,5.254114,0.114180,0.114180,19.736576
7.341846,0.260552,9.486332,0.710678,0.710678,31.951584
8.495304,0.399159,10.802788,0.679248,0.679248,44.810186
4.996186,0.137554,4.372214,0.376347,0.376347,19.683989
6.377605,0.360991,14.515708,0.626516,0.626516,54.213148
6.008171,0.217218,7.876595,1.189804,1.189804,36.979179
7.689655,0.109624,5.870934,0.806569,0.806569,33.288702
8.831384,0.281624,23.160635,56.157847,56.157847,125.334341
9.063857,0.244330,29.381278,0.600907,0.600907,67.538811
10.076794,0.393646,20.783802,0.850724,0.850724,69.861419
8.853910,0.252211,19.232459,1.203455,1.203455,67.353311
9.602723,0.224926,15.917002,1.176520,1.176520,64.899114
9.609302,0.323784,22.908518,1.253726,1.253726,66.836061
5.541366,0.080944,7.959391,1.289744,1.289744,41.881814
10.932774,0.235348,28.004413,1.344241,1.344241,69.041881
7.611692,0.112318,18.684517,1.562726,1.562726,71.766059
8.438695,0.181203,22.326122,1.832027,1.832027,70.571341
7.190539,0.128221,15.206360,2.216389,2.216389,69.904904
13.366565,0.360314,37.417629,2.430580,2.430580,117.733609
7.034864,0.095065,16.906330,2.842991,2.842991,72.481561
9.549236,0.203277,26.350652,2.719923,2.719923,114.648252
6.413563,0.103646,13.929604,2.979742,2.979742,78.071120
6.073982,0.091773,16.614578,3.010353,3.010353,81.513579
12.187812,0.157531,32.193829,3.177108,3.177108,183.025033
8.976618,0.141484,20.636659,3.374052,3.374052,97.661035
10.112982,0.108926,21.756641,3.430988,3.430988,90.909751
7.215176,0.196364,27.693564,3.351252,3.351252,106.774182
9.883157,0.233631,28.290271,4.576491,4.576491,109.481349
12.139553,0.154249,28.845677,2.963954,2.963954,97.685253
8.544053,0.146327,27.899696,2.819121,2.819121,103.205264
12.207800,0.165966,35.437204,2.571422,2.571422,106.286678
12.188863,0.236288,37.838363,2.930921,2.930921,104.935265
13.855737,0.268850,38.034326,3.369326,3.369326,130.762886
6.726351,0.175263,13.366849,3.694192,3.694192,90.263795
12.883343,0.242809,28.540127,3.624956,3.624956,106.571511
12.220633,0.219983,33.704330,3.560503,3.560503,142.559929
6.317830,0.084397,11.771377,3.934243,3.934243,70.785836
5.843141,0.122306,11.928457,4.362022,4.362022,75.418884
4.548087,0.106683,9.093926,2.458006,2.458006,66.318159
5.109509,0.125747,9.791799,3.229433,3.229433,78.836834
6.333744,0.065603,0.681266,0.002691,0.002691,7.085086
7.879935,0.208823,1.788478,0.002658,0.002658,9.882169
7.240396,0.262597,2.794835,0.225733,0.225733,26.709561
7.782457,0.285256,3.990841,0.953361,0.953361,27.141317
8.015854,0.201208,5.305129,1.144154,1.144154,30.946778
8.347675,0.243892,5.972981,0.941327,0.941327,35.053713
8.827498,0.104229,3.173982,0.845658,0.845658,22.177229
8.260788,0.095913,3.517595,0.954953,0.954953,22.645929
8.740544,0.284829,25.461712,1.743060,1.743060,66.507644
7.874552,0.314959,22.548736,68.037340,68.037340,143.508155
4.927043,0.210003,10.819320,1.566350,1.566350,44.267332
8.101852,0.518518,24.516343,1.677333,1.677333,82.230006
8.378461,0.289369,25.667591,1.627474,1.627474,71.004677
8.524173,0.354708,25.594359,1.406427,1.406427,75.165182
8.812224,0.248485,20.382359,1.208062,1.208062,73.079996
7.054313,0.190542,16.228041,1.362756,1.362756,63.712716
7.648346,0.192055,18.948850,1.488232,1.488232,71.821082
9.099507,0.267614,23.786105,2.055530,2.055530,82.358622
5.117974,0.158106,13.035917,1.760594,1.760594,67.058712
6.120509,0.186969,20.666558,1.731570,1.731570,75.326271
6.169651,0.182320,12.483700,1.959621,1.959621,71.544119
5.251321,0.147317,7.799339,3.064311,3.064311,66.205664
5.879612,0.129851,10.656575,3.293774,3.293774,77.256730
7.912137,0.173072,13.286990,2.596543,2.596543,79.026173
5.413804,0.109048,14.365623,2.348704,2.348704,74.137583
9.720225,0.250713,33.110683,2.769015,2.769015,115.018580
10.374891,0.216797,23.818992,2.895341,2.895341,94.090453
10.736358,0.217434,32.792035,2.942073,2.942073,118.004115
6.999706,0.119731,19.389836,2.826346,2.826346,80.609721
6.581125,0.151298,18.573593,2.351654,2.351654,68.721299
6.554475,0.147920,17.710342,2.382591,2.382591,206.775360
5.686771,0.160060,9.884491,2.308722,2.308722,62.597295
7.273620,0.129093,15.704838,2.754475,2.754475,69.972086
9.975252,0.267192,26.161225,3.343994,3.343994,119.042257
9.709975,0.116787,9.976670,2.636726,2.636726,84.964979
7.687396,0.135807,10.603573,2.504858,2.504858,69.785713
8.811128,0.226194,21.219402,2.820562,2.820562,89.164155
6.618832,0.125247,12.023030,2.279975,2.279975,68.189671
6.197298,0.194399,18.304651,2.314842,2.314842,74.414323
5.060557,0.153047,12.331128,2.505424,2.505424,69.228657
8.229870,0.283328,20.667992,2.959516,2.959516,79.269937
5.937822,0.167013,11.783713,2.411974,2.411974,71.340614
8.422811,0.183532,20.489355,2.647695,2.647695,73.091361
6.466712,0.124901,14.702471,2.826377,2.826377,75.113544
6.936296,0.133248,15.365863,2.443346,2.443346,76.470761
