#Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
0.000000,0.000000,16.849200,3.415181,0.002044,5.664019,3.349111,0.001396,22.343816
0.000000,0.000000,15.376382,3.415869,0.041221,1.867920,3.167232,0.000415,21.116980
0.000000,0.000000,16.545530,5.764426,0.040097,4.007748,5.640942,0.000993,24.790976
0.000000,0.000000,17.691518,4.230316,0.041687,3.177859,7.017112,0.000666,24.243873
0.000000,0.000000,17.140802,7.024376,0.064624,2.438674,6.454012,0.634308,28.162487
0.000000,0.000000,19.167259,3.774019,0.040860,1.819893,2.658001,0.000683,34.505127
0.000000,0.000000,17.543719,3.591542,0.067224,1.661160,3.355151,0.000260,29.066230
0.000000,0.000000,17.067444,7.493002,0.095316,1.614716,3.430799,0.000382,37.031343
0.000000,0.000000,17.710395,7.339397,0.092418,1.108042,3.390591,0.000351,37.951944
0.000000,0.000000,16.704406,9.232332,0.093292,1.048517,3.074922,0.242094,38.492714
0.000000,0.000000,17.362188,2.539521,0.031885,1.075204,1.603440,0.000873,27.063086
0.000000,0.000000,16.775112,3.395916,0.035830,0.721008,1.469579,0.000239,27.509795
0.000000,0.000000,16.073524,3.268210,0.050769,0.905190,1.929004,0.000310,27.024452
0.000000,0.000000,17.217202,2.945774,0.051303,0.909658,2.266820,0.000322,27.111532
0.000000,0.000000,17.306330,2.608174,0.050113,0.975745,2.218763,0.279914,26.834781
0.000000,0.000000,16.181540,1.885052,0.050175,1.362002,1.634741,0.000310,23.339671
0.000000,0.000000,12.971767,1.816291,0.032066,1.113334,1.536592,0.000213,19.407141
0.000000,0.000000,18.833638,2.616260,0.058144,1.264581,2.222318,0.000266,26.817392
0.000000,0.000000,15.361997,2.844487,0.057368,1.230288,2.067098,0.000262,24.526900
0.000000,0.000000,16.898674,3.055474,0.055409,1.330217,2.096186,0.483997,25.756641
0.000000,0.000000,15.652405,2.689785,0.036202,5.428833,3.571186,0.000398,23.821134
0.000000,0.000000,16.201262,2.648296,0.038726,3.773862,5.837368,0.000658,24.173235
0.000000,0.000000,16.619023,3.709348,0.050101,2.511208,3.804773,0.000416,26.607009
0.000000,0.000000,17.111214,4.163121,0.051226,2.805137,5.095858,0.000321,27.308484
0.000000,0.000000,16.000743,4.332626,0.051135,1.222701,3.267743,0.553276,26.673370
0.000000,0.000000,16.534831,10.076107,0.084336,4.922665,5.984023,0.000666,38.278881
0.000000,0.000000,16.238480,9.103616,0.098602,2.552369,4.082569,0.000349,37.729344
0.000000,0.000000,15.857554,9.888403,0.092131,1.983848,3.411255,0.000221,35.021248
0.000000,0.000000,16.686374,10.808079,0.100776,1.762942,2.957088,0.000308,38.073085
0.000000,0.000000,19.426241,7.308330,0.063714,1.961161,3.772459,0.391022,34.192470
0.000000,0.000000,16.458516,9.516304,0.069875,2.959270,4.448872,0.000463,39.810031
0.000000,0.000000,15.874073,4.858381,0.038651,2.639848,4.169918,0.000356,29.891466
0.000000,0.000000,16.382061,3.696640,0.041459,1.955182,3.061993,0.000248,27.734098
0.000000,0.000000,16.171930,3.640923,0.043686,4.002681,7.472707,0.000634,26.778789
0.000000,0.000000,16.424754,4.254400,0.052048,3.508698,8.373906,0.701415,29.540200
0.000000,0.000000,16.922320,8.549118,0.057166,3.142890,4.109392,0.001066,35.341928
0.000000,0.000000,17.224879,4.483217,0.051645,2.030991,3.585390,0.000316,30.820572
0.000000,0.000000,16.723523,3.473393,0.044804,1.799532,3.453300,0.000293,27.652944
0.000000,0.000000,15.638587,8.143037,0.094787,1.569878,3.496042,0.000248,38.131989
0.000000,0.000000,14.902652,8.004908,0.100841,1.374239,3.443299,0.261007,38.997237
0.000000,0.000000,15.418601,3.842226,0.043135,2.077015,4.287704,0.000375,28.563263
0.000000,0.000000,16.198636,3.184241,0.050670,1.656762,4.744859,0.000415,27.900997
0.000000,0.000000,16.514044,3.050019,0.048211,1.275326,3.711065,0.000266,27.125693
0.000000,0.000000,15.783359,2.903644,0.051010,2.304845,8.780747,0.000834,26.859515
0.000000,0.000000,16.342760,2.775396,0.051607,1.003854,3.299237,0.242220,26.401429
0.000000,0.000000,16.004106,3.543391,0.065959,1.552989,3.198562,0.000386,29.374051
0.000000,0.000000,16.728843,3.490915,0.060410,0.021652,4.369643,0.031223,29.105455
0.000000,0.000000,16.772058,2.496282,0.048603,0.025257,4.707045,0.023703,26.590295
0.000000,0.000000,17.025073,6.036718,0.109500,0.018828,5.225375,0.029991,37.161605
0.000000,0.000000,17.186822,2.279122,0.054659,0.016004,4.396026,0.273022,27.393536
0.000000,0.000000,16.315719,2.386922,0.082473,0.029644,4.523758,0.035294,26.119598
0.000000,0.000000,16.874376,2.870265,0.065984,0.018761,4.496723,0.031068,26.658280
0.000000,0.000000,14.653934,2.450089,0.057740,0.019255,4.819839,0.025736,24.399481
0.000000,0.000000,15.576138,3.321611,0.064273,0.044311,11.772743,0.058700,27.463098
0.000000,0.000000,15.734882,2.734721,0.053742,0.040560,11.442996,0.059685,25.735035
0.000000,0.000000,16.293483,3.485261,0.039637,0.032066,5.542477,0.035652,27.307802
0.000000,0.000000,15.768304,3.100490,0.054016,0.038531,10.273878,0.063108,25.773053
0.000000,0.000000,15.689433,3.109627,0.053963,0.029019,5.880672,0.037289,26.597099
0.000000,0.000000,17.459483,9.109307,0.136501,0.032320,4.348635,0.028658,41.407129
0.000000,0.000000,15.332193,9.044097,0.128300,0.035028,9.571440,0.911072,38.975188
0.000000,0.000000,19.662476,4.402395,0.074372,0.068301,8.110753,0.059918,32.467415
0.000000,0.000000,16.032700,8.653443,0.118839,0.034237,4.926634,0.435614,38.383718
0.000000,0.000000,16.416429,4.938030,0.080185,0.036806,7.386283,0.062333,29.732148
0.000000,0.000000,15.827550,3.654453,0.055101,0.054265,11.228971,0.086922,26.240987
0.000000,0.000000,14.949538,8.282144,0.058459,0.049502,7.473873,0.053975,36.339745
0.000000,0.000000,16.632516,10.479561,0.088373,0.052241,11.893918,0.080000,38.219920
0.000000,0.000000,16.227204,9.183359,0.070242,0.050694,11.981642,0.044100,33.212158
0.000000,0.000000,17.137457,4.724241,0.046295,0.029779,5.822934,0.039527,31.939000
0.000000,0.000000,17.252357,9.074554,0.084204,0.046582,11.976236,0.080265,40.552647
0.000000,0.000000,17.278992,4.691368,0.077061,0.031893,7.511406,0.443445,32.178711
0.000000,0.000000,16.238703,8.777021,0.123698,0.032564,6.008893,0.054868,40.337359
0.000000,0.000000,16.729166,8.292636,0.117451,0.023433,5.485312,0.363141,39.698289
0.000000,0.000000,15.542676,3.580531,0.057859,0.058753,11.083895,0.081171,27.815076
0.000000,0.000000,16.846537,6.798518,0.109211,0.045556,7.469743,0.379579,39.247646
0.000000,0.000000,16.370486,4.789352,0.080262,0.048949,6.486635,0.051508,32.134720
0.000000,0.000000,15.748314,5.945473,0.067358,0.033881,4.859108,0.281109,30.326435
0.000000,0.000000,16.089890,3.917009,0.071988,0.062704,12.086718,0.080879,28.415005
0.000000,0.000000,16.207830,5.995363,0.086886,0.044277,11.238059,0.335444,36.419877
0.000000,0.000000,16.185279,4.207924,0.080466,0.041720,7.853161,0.042644,30.961306
0.000000,0.000000,15.483160,4.256705,0.081853,0.039054,10.117595,0.542909,29.451952
0.000000,0.000000,16.300100,2.789974,0.081651,0.031596,5.352985,0.038719,27.409029
0.000000,0.000000,15.743106,6.922733,0.088409,0.025998,6.416207,0.315773,37.862874
0.000000,0.000000,15.944862,6.800192,0.138239,0.029692,6.149321,0.035914,37.190557
0.000000,0.000000,16.380550,5.319136,0.080224,0.026635,5.527473,0.023842,32.443880
0.000000,0.000000,16.290859,6.084215,0.133007,0.034709,11.974646,0.025566,36.066996
0.000000,0.000000,20.853928,3.821396,0.046760,0.020728,6.607995,0.031395,32.558579
0.000000,0.000000,17.222028,3.081775,0.093788,0.026533,5.552778,0.025841,30.672004
0.000000,0.000000,15.555531,2.605462,0.076972,0.027651,6.887190,0.033576,26.967293
0.000000,0.000000,17.546598,2.821536,0.076539,0.036127,12.494155,0.053710,28.631873
0.000000,0.000000,15.486050,6.261241,0.150356,0.020392,5.300171,0.027073,36.505219
0.000000,0.000000,16.978501,5.466026,0.080695,0.025175,6.298993,0.376857,31.691990
0.000000,0.000000,14.934037,5.211420,0.070793,0.035789,5.456930,0.040302,28.932824
0.000000,0.000000,15.787181,3.599412,0.074789,0.029208,4.934353,0.031551,29.599646
0.000000,0.000000,15.179354,7.305475,0.138012,0.040019,6.834577,0.403952,38.349761
0.000000,0.000000,15.433673,2.801338,0.069074,0.071216,12.826098,0.091309,26.106344
0.000000,0.000000,15.671118,3.714604,0.074699,0.041813,6.785270,0.043432,28.592798
0.000000,0.000000,16.002835,2.995397,0.064380,0.052079,7.863080,0.044420,27.110246
0.000000,0.000000,14.273432,3.291836,0.064186,0.035540,5.732290,0.034484,25.053380
0.000000,0.000000,15.828051,4.280314,0.073131,0.023902,5.535281,0.348530,29.953013
0.000000,0.000000,15.346556,8.454828,0.114840,0.059002,12.302171,0.087664,39.785290
0.000000,0.000000,14.927980,7.302823,0.079467,0.042010,6.209465,0.047420,31.659620
0.000000,0.000000,15.686957,4.823709,0.080650,0.048413,6.382507,0.045871,31.016021
0.000000,0.000000,16.078919,3.627660,0.063222,0.033700,7.344474,0.046288,28.202456
0.000000,0.000000,15.983890,3.653236,0.060958,0.031650,7.531564,0.047432,28.310646
0.000000,0.000000,16.959838,8.797743,0.117767,0.033291,7.615192,0.048027,41.200617
0.000000,0.000000,17.471246,3.647784,0.079571,0.036462,6.004135,0.036688,30.049018
0.000000,0.000000,17.617783,4.574388,0.081096,0.037560,5.804619,0.035244,31.428540
0.000000,0.000000,18.008808,4.576412,0.075094,0.030439,6.943823,0.042082,32.995319
0.000000,0.000000,17.266154,4.745563,0.075048,0.029844,7.280947,0.436434,32.471626
0.000000,0.000000,17.982581,4.643900,0.077522,0.037983,6.011620,0.052392,32.772898
0.000000,0.000000,17.179577,3.488882,0.068765,0.049775,6.237610,0.045841,29.288857
0.000000,0.000000,14.541793,3.577029,0.062934,0.045345,6.910390,0.045587,26.817478
0.000000,0.000000,16.156187,4.244603,0.072460,0.041916,7.598426,0.046466,30.214114
0.000000,0.000000,16.746616,4.345387,0.076723,0.035409,5.794533,0.034843,31.263475
0.000000,0.000000,15.566407,3.367749,0.043453,0.039062,5.224896,0.319899,28.084315
0.000000,0.000000,15.350123,3.162396,0.071238,0.054124,7.541916,0.054960,27.369786
0.000000,0.000000,16.827442,4.247186,0.087290,0.050126,11.100646,0.073448,30.941739
0.000000,0.000000,15.928656,4.247335,0.092904,0.039168,7.045466,0.364123,30.594015
0.000000,0.000000,15.549032,3.018421,0.071631,0.053662,6.696752,0.044532,26.975882
0.000000,0.000000,17.295408,2.882635,0.075884,0.023306,6.928559,0.060792,28.539031
0.000000,0.000000,17.055817,3.837982,0.086126,0.027600,6.616291,0.038878,31.740216
0.000000,0.000000,16.875379,6.907148,0.140206,0.023453,6.243443,0.038995,38.102044
0.000000,0.000000,17.752547,3.532021,0.088202,0.030337,5.178164,0.341644,31.419343
0.000000,0.000000,15.957062,5.478703,0.112456,0.060147,8.401708,0.061142,31.617520
0.000000,0.000000,17.190733,3.365734,0.072426,0.033091,4.817788,0.034727,30.379610
0.000000,0.000000,16.994037,3.408095,0.085130,0.026959,4.998557,0.030766,29.583059
0.000000,0.000000,15.554808,3.296379,0.073840,0.030197,6.053507,0.039870,27.648540
0.000000,0.000000,16.812982,3.091345,0.071338,0.029447,4.713678,0.307034,28.034626
0.000000,0.000000,16.676719,4.744091,0.045432,0.039732,6.027042,0.045912,32.862297
0.000000,0.000000,16.922418,2.966478,0.071023,0.034477,6.477463,0.031319,27.262548
0.000000,0.000000,17.894638,2.491882,0.066437,0.026955,5.535093,0.036063,28.460424
0.000000,0.000000,17.411992,3.226450,0.074259,0.019416,4.682247,0.029790,29.247882
0.000000,0.000000,16.450918,2.328503,0.060354,0.025396,5.575116,0.037512,26.844474
0.000000,0.000000,15.704942,3.404749,0.073515,0.037232,11.300561,0.070516,27.816571
0.000000,0.000000,16.053821,6.591786,0.122938,0.023020,5.310954,0.449499,31.912489
0.000000,0.000000,16.628387,4.314596,0.071400,0.049178,6.496985,0.051284,29.280497
0.000000,0.000000,17.030440,2.924100,0.057744,0.020106,4.236029,0.030798,27.015434
0.000000,0.000000,18.671736,3.412176,0.069264,0.039157,12.048755,0.072475,30.633056
0.000000,0.000000,17.644225,7.636442,0.133720,0.049776,9.794309,0.061896,39.632425
0.000000,0.000000,15.920909,3.270209,0.071010,0.037301,11.323499,0.067256,27.440190
0.000000,0.000000,16.922053,5.380699,0.065970,0.028242,6.100380,0.040617,31.577317
0.000000,0.000000,15.854728,5.040898,0.060058,0.025709,5.174778,0.030627,27.676915
0.000000,0.000000,16.801539,7.176183,0.066422,0.027063,6.127668,0.039034,39.387970
0.000000,0.000000,15.869176,6.048128,0.128488,0.038834,6.418152,0.039866,34.695428
0.000000,0.000000,16.013935,6.328020,0.117843,0.027811,5.429350,0.368213,36.258293
0.000000,0.000000,16.521864,2.864570,0.065959,0.050578,6.650274,0.051292,28.460001
0.000000,0.000000,14.687042,2.940706,0.061623,0.044454,11.345785,0.083592,25.176936
0.000000,0.000000,16.620509,3.798216,0.072811,0.030977,7.104764,0.042157,29.182513
0.000000,0.000000,17.361325,3.452660,0.079865,0.032756,5.883163,0.034522,30.216818
0.000000,0.000000,15.502535,2.816677,0.064966,0.031475,5.767906,0.034630,27.036141
0.000000,0.000000,16.385038,3.092411,0.043450,0.023745,5.223044,0.364977,28.820432
0.000000,0.000000,15.957780,6.986389,0.128925,0.056621,7.875098,0.054095,37.726463
0.000000,0.000000,16.774666,5.659322,0.078897,0.055225,11.622673,0.045962,32.177310
0.000000,0.000000,15.659688,2.834153,0.066683,0.022873,5.547373,0.033869,26.968997
0.000000,0.000000,16.290556,5.546569,0.063819,0.021034,5.434335,0.375000,30.469116
0.000000,0.000000,16.452574,6.267814,0.063406,0.059505,15.498338,0.106717,30.856695
0.000000,0.000000,15.160310,3.587044,0.050294,0.038299,10.689201,0.072228,29.917652
0.000000,0.000000,15.405656,8.156409,0.143845,0.043366,11.348459,0.680645,38.281022
0.000000,0.000000,15.677234,2.806847,0.062438,0.049430,13.230179,0.088351,26.947632
0.000000,0.000000,15.281353,2.770674,0.063008,0.040239,12.599589,0.082913,26.648552
0.000000,0.000000,15.763621,8.361383,0.097054,0.030043,6.371514,0.038397,43.439200
0.000000,0.000000,16.549142,8.080592,0.094533,0.020544,5.684033,0.035447,38.491647
0.000000,0.000000,15.140704,5.758737,0.142204,0.041053,7.354625,0.045564,35.943432
0.000000,0.000000,15.178426,7.164685,0.126740,0.032380,7.231075,0.561942,38.783383
0.000000,0.000000,14.305752,7.285323,0.139259,0.038040,6.515432,0.056877,37.625789
0.000000,0.000000,15.272566,3.549249,0.078086,0.042406,6.400869,0.049228,27.831660
0.000000,0.000000,14.855640,2.887272,0.063546,0.037721,5.507386,0.039424,25.872362
0.000000,0.000000,15.997674,3.575174,0.087211,0.033721,7.048325,0.045589,29.797104
0.000000,0.000000,14.844331,3.869946,0.080741,0.044148,8.338170,0.052479,29.104274
0.000000,0.000000,13.107937,3.822362,0.049526,0.039812,6.240199,0.040298,27.074363
0.000000,0.000000,15.010348,3.538243,0.043766,0.024374,6.052257,0.039859,28.205182
0.000000,0.000000,13.607186,2.692348,0.071653,0.032340,7.939556,0.049273,24.388216
0.000000,0.000000,15.643077,3.465032,0.080099,0.043731,7.244123,0.039526,28.946922
0.000000,0.000000,14.761455,4.177269,0.089621,0.036229,8.175811,0.422919,30.171207
0.000000,0.000000,15.100104,2.765937,0.073270,0.061272,13.778094,0.099737,26.781784
0.000000,0.000000,16.963889,2.697694,0.070557,0.042283,12.472413,0.084581,28.935487
0.000000,0.000000,15.370881,3.666956,0.080687,0.055979,13.517327,0.858060,29.936620
0.000000,0.000000,13.283488,6.442465,0.137500,0.033071,6.982409,0.051671,29.775136
0.000000,0.000000,16.167820,6.630230,0.083141,0.041288,11.763640,0.048300,33.954799
0.000000,0.000000,16.005763,7.899907,0.092993,0.028964,6.252718,0.035622,40.960606
0.000000,0.000000,15.050110,7.546418,0.138354,0.037739,6.279560,0.332751,39.018851
0.000000,0.000000,16.109641,8.266698,0.180280,0.059062,9.675306,0.066720,42.111006
0.000000,0.000000,16.710341,4.287271,0.081001,0.046235,9.004642,0.055095,30.898844
0.000000,0.000000,15.432198,7.502868,0.172458,0.051062,11.837140,0.067597,38.597144
0.000000,0.000000,13.805542,2.762513,0.071023,0.022510,12.602838,0.070865,25.599237
0.000000,0.000000,13.797078,2.948220,0.073137,0.024772,6.040658,0.291907,26.353081
0.000000,0.000000,15.547187,4.414766,0.059677,0.056900,7.854615,0.060131,32.811704
0.000000,0.000000,15.341062,6.714417,0.130995,0.038630,6.468037,0.041069,34.086772
0.000000,0.000000,14.559981,7.127889,0.132945,0.026946,6.874862,0.388112,36.600875
0.000000,0.000000,14.734481,5.919045,0.070256,0.046671,5.905105,0.041082,35.980851
0.000000,0.000000,15.258448,2.838433,0.070299,0.033082,4.720201,0.313578,26.854930
0.000000,0.000000,15.413739,3.534920,0.086111,0.046470,5.778388,0.040856,29.754511
0.000000,0.000000,16.465451,3.734819,0.089061,0.045841,10.305545,0.612575,29.328146
0.000000,0.000000,15.174618,3.392899,0.080821,0.038269,6.682916,0.048187,28.238844
0.000000,0.000000,16.703360,2.649111,0.073433,0.020343,5.410730,0.385998,28.384264
0.000000,0.000000,14.614190,2.602108,0.069600,0.042481,5.799728,0.040085,24.759652
0.000000,0.000000,15.973154,2.487552,0.040904,0.027500,6.702406,0.682912,27.089618
0.000000,0.000000,16.915680,6.301648,0.136639,0.047870,7.277195,0.054137,37.174275
0.000000,0.000000,16.610455,3.436245,0.054782,0.026496,4.483571,0.329595,29.506094
0.000000,0.000000,16.648491,3.652023,0.079031,0.050114,5.690674,0.040489,28.846373
0.000000,0.000000,16.639329,3.588358,0.078418,0.024548,4.325703,0.289609,28.773868
0.000000,0.000000,16.963652,3.455858,0.090179,0.044725,6.916616,0.048246,30.521094
0.000000,0.000000,17.648266,3.242164,0.047649,0.041060,9.618374,0.070210,30.978498
0.000000,0.000000,16.178396,2.652947,0.068898,0.018021,11.346812,0.738263,26.450789
0.000000,0.000000,16.659621,2.480561,0.066441,0.051931,14.346806,0.098000,27.502060
0.000000,0.000000,16.595614,2.349925,0.069117,0.032491,6.711642,0.043249,26.390399
0.000000,0.000000,19.497293,3.252673,0.048123,0.043835,6.727046,0.035868,32.477648
0.000000,0.000000,19.524795,6.698479,0.093161,0.024868,5.644464,0.027928,39.150022
0.000000,0.000000,17.906708,6.549725,0.089396,0.038840,11.847314,0.030971,39.829780
0.000000,0.000000,17.021901,6.879148,0.159765,0.028810,7.310179,0.036298,42.066506
0.000000,0.000000,18.809054,2.610132,0.074406,0.045631,8.292235,0.033528,31.171604
0.000000,0.000000,17.715334,4.740806,0.139035,0.023073,6.788626,0.037892,32.118789
0.000000,0.000000,17.203430,2.408477,0.065284,0.022301,6.122424,0.024344,28.393056
0.000000,0.000000,17.640486,6.835222,0.136660,0.025766,7.639256,0.362358,39.189122
0.000000,0.000000,17.438463,3.150788,0.075448,0.032636,10.356349,0.085428,30.404622
0.000000,0.000000,17.552678,5.850109,0.131636,0.054991,12.033701,0.055525,34.499076
0.000000,0.000000,19.205313,3.937987,0.080339,0.042750,10.849577,0.032637,32.855053
0.000000,0.000000,14.716447,3.090951,0.062772,0.024248,6.295373,0.029849,26.863199
0.000000,0.000000,17.305095,3.323875,0.079275,0.036543,12.644828,0.059089,31.963364
0.000000,0.000000,16.949902,3.514510,0.081680,0.023822,6.238530,0.030023,34.450087
0.000000,0.000000,14.266909,6.846564,0.145219,0.026916,7.989913,0.035558,36.197114
0.000000,0.000000,14.794407,4.837228,0.112796,0.033422,7.773565,0.033266,33.464518
0.000000,0.000000,16.563392,2.697068,0.069706,0.030872,6.085508,0.026324,28.536751
0.000000,0.000000,17.214495,5.383256,0.126811,0.026281,7.933420,0.416699,38.351500
0.000000,0.000000,14.620761,2.619504,0.069576,0.054720,13.693865,0.090614,26.326859
0.000000,0.000000,16.576204,3.527349,0.089192,0.038794,6.574310,0.035730,30.876679
0.000000,0.000000,16.536296,3.430463,0.085919,0.034141,6.224383,0.033482,30.759361
0.000000,0.000000,15.088217,2.450880,0.075392,0.022988,6.160133,0.033672,26.230253
0.000000,0.000000,15.808090,3.567798,0.088860,0.028963,7.832545,0.043164,30.773279
0.000000,0.000000,16.086042,7.770633,0.092510,0.026338,7.701142,0.043799,41.572469
0.000000,0.000000,14.890807,6.087102,0.092468,0.026234,7.827055,0.449521,30.485127
0.000000,0.000000,15.207637,2.719822,0.074133,0.057605,14.287518,0.098287,26.755492
0.000000,0.000000,15.204913,2.687555,0.045100,0.056187,14.450549,0.102868,27.085353
0.000000,0.000000,16.403253,3.593356,0.054187,0.050106,9.314460,0.047950,30.555259
0.000000,0.000000,15.025893,3.610314,0.056234,0.023758,6.129905,0.033983,28.928529
0.000000,0.000000,15.650684,3.717312,0.083410,0.027405,7.652083,0.044194,30.801057
0.000000,0.000000,16.585834,7.076829,0.143362,0.044976,12.147846,0.043162,41.454095
0.000000,0.000000,15.139163,7.434557,0.139443,0.025339,10.508822,0.039071,40.889116
0.000000,0.000000,15.842805,6.920316,0.138255,0.036581,9.797811,0.050105,35.647408
0.000000,0.000000,13.330872,2.708740,0.068966,0.029745,7.515302,0.033621,24.763756
0.000000,0.000000,15.754950,3.571602,0.081829,0.039933,12.190342,0.614723,30.292266
0.000000,0.000000,15.771589,7.569119,0.151452,0.063582,14.118018,0.091055,38.617442
0.000000,0.000000,15.786489,6.693364,0.084351,0.085421,10.089497,0.055765,35.448810
0.000000,0.000000,14.607704,6.529000,0.127499,0.041513,6.204318,0.040973,34.079211
0.000000,0.000000,15.070402,3.524475,0.080487,0.034072,9.676918,0.702186,28.701844
0.000000,0.000000,15.784685,6.813792,0.130606,0.037753,6.997659,0.055032,39.135931
0.000000,0.000000,15.051643,7.073526,0.138186,0.030340,5.886013,0.038464,39.486009
0.000000,0.000000,16.726775,7.649414,0.154963,0.052972,9.695759,0.054759,37.464650
0.000000,0.000000,14.042849,4.340546,0.080912,0.044451,11.581119,0.357478,27.249816
0.000000,0.000000,15.170743,3.222955,0.079489,0.063452,9.172762,0.048059,31.753288
0.000000,0.000000,15.260226,5.178410,0.077655,0.022464,4.986390,0.033525,30.137144
0.000000,0.000000,15.074384,4.077225,0.079392,0.025756,6.583477,0.482378,27.665474
0.000000,0.000000,13.902060,4.124604,0.108651,0.059090,14.213300,0.105206,30.563871
0.000000,0.000000,14.788626,5.969173,0.123730,0.045114,12.855621,0.084225,35.949383
0.000000,0.000000,14.501700,5.455092,0.123538,0.025239,5.380397,0.033203,32.518249
0.000000,0.000000,14.341244,2.628393,0.065132,0.029808,6.200880,0.434461,24.678334
0.000000,0.000000,15.338999,4.043880,0.030996,0.060211,11.856138,0.086801,29.194448
0.000000,0.000000,15.513691,7.507013,0.135489,0.017488,4.350341,0.032497,40.691494
0.000000,0.000000,15.316132,8.364135,0.152875,0.023468,6.044985,0.448473,39.811960
0.000000,0.000000,16.008847,3.288715,0.073747,0.077674,12.632975,0.092579,27.116186
0.000000,0.000000,15.752674,3.627942,0.073001,0.025993,5.450967,0.392139,28.477023
0.000000,0.000000,15.352863,7.834927,0.091963,0.057817,5.441528,0.042428,38.413315
0.000000,0.000000,15.015703,3.278198,0.042333,0.034769,4.697805,0.337508,25.727136
0.000000,0.000000,15.758075,4.158726,0.072424,0.043761,6.082264,0.050268,28.988610
0.000000,0.000000,15.690895,7.635386,0.135450,0.022138,4.449150,0.330393,40.214262
0.000000,0.000000,14.300708,3.530491,0.087851,0.040230,11.697869,0.089209,26.498775
0.000000,0.000000,14.686299,6.329520,0.067535,0.044165,7.830969,0.364479,29.688243
0.000000,0.000000,12.817742,6.827114,0.136070,0.054678,12.705886,0.113699,27.636909
0.000000,0.000000,15.053336,6.427230,0.073319,0.038831,9.159222,0.320509,30.533722
