#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.254103,0.113022,1.029795,0.007955,0.007955,7.411572
7.170939,0.270209,3.168405,0.001190,0.001190,10.612039
7.251627,0.361259,3.917929,0.253787,0.253787,26.110737
7.432736,0.247814,4.883459,0.506774,0.506774,28.100472
7.345139,0.106216,3.874777,0.261900,0.261900,19.847912
7.925279,0.265266,9.460996,0.830450,0.830450,49.182356
8.554113,0.383571,15.606049,0.896596,0.896596,60.001731
8.985523,0.342499,13.066980,0.668016,0.668016,55.255878
8.920110,0.172708,7.164296,2.045637,2.045637,47.107214
8.449187,0.258570,12.387220,56.550428,56.550428,120.725384
7.481500,0.076325,9.769852,1.151986,1.151986,52.971166
8.278141,0.143562,10.570997,1.261419,1.261419,53.820404
9.659470,0.212303,28.865646,1.628644,1.628644,88.320215
5.973473,0.138099,9.735807,1.442000,1.442000,58.313475
9.499317,0.260237,29.970504,1.648124,1.648124,87.491274
7.749193,0.143509,10.684480,1.597758,1.597758,60.575807
8.627314,0.119306,11.759178,1.738660,1.738660,74.525113
7.388897,0.118172,15.645396,1.792937,1.792937,68.891268
8.637216,0.134380,22.760312,2.144084,2.144084,80.675181
8.473073,0.132714,20.029196,2.205163,2.205163,88.243299
10.613556,0.130859,22.300031,2.580036,2.580036,102.104780
10.837779,0.078288,14.699290,2.963944,2.963944,95.876347
12.909147,0.205740,40.929827,3.160120,3.160120,143.489825
6.334450,0.110791,12.956004,2.782505,2.782505,241.562515
7.714601,0.150003,19.917951,2.797109,2.797109,78.785419
6.186065,0.099324,11.252051,3.023065,3.023065,76.667520
6.761764,0.096801,12.521371,3.006211,3.006211,76.937763
5.663325,0.089095,10.485097,2.653580,2.653580,80.283021
11.045718,0.176051,24.442956,3.143635,3.143635,107.624211
10.180194,0.263128,25.819942,2.982525,2.982525,97.402483
10.168567,0.239393,11.300529,2.623062,2.623062,99.609547
11.022472,0.225708,30.123172,3.211501,3.211501,125.545771
10.845054,0.232952,38.523050,4.091201,4.091201,135.937153
6.669989,0.151867,18.117783,3.781130,3.781130,100.515060
6.010319,0.217196,11.975032,4.563931,4.563931,93.731639
10.387993,0.198033,30.139986,3.664474,3.664474,123.228589
8.701471,0.289898,34.019919,3.606485,3.606485,123.509950
6.606112,0.111239,15.962940,3.725953,3.725953,88.058336
5.646556,0.106664,11.196546,3.387924,3.387924,71.943981
5.517912,0.088394,12.903245,4.171507,4.171507,82.172806
6.609274,0.127969,20.310495,3.222560,3.222560,86.929945
5.916713,0.129231,14.959010,2.884789,2.884789,77.361247
5.079391,0.108198,10.928880,2.225180,2.225180,72.179080
5.622247,0.115277,17.945664,3.590290,3.590290,80.980481
9.974727,0.271104,37.211810,3.991884,3.991884,150.937466
11.408909,0.251506,39.336562,2.462013,2.462013,128.995256
7.963066,0.134546,11.689313,4.771099,4.771099,100.334006
7.080511,0.127678,20.042524,3.571077,3.571077,103.320097
6.729631,0.094844,17.627857,3.371983,3.371983,88.486907
9.965724,0.140602,24.674563,4.114487,4.114487,122.276533
11.597573,0.270493,21.309835,3.496658,3.496658,104.584820
9.314309,0.205171,19.699368,4.187979,4.187979,104.248056
9.973336,0.254516,16.456982,3.410254,3.410254,94.207938
5.646018,0.129471,12.955895,2.953721,2.953721,80.065922
5.676578,0.122149,13.105745,3.938088,3.938088,77.770861
7.636317,0.172986,22.581426,3.538177,3.538177,97.967878
5.797741,0.120236,18.606099,4.079942,4.079942,84.845356
5.566668,0.130159,14.384250,3.330679,3.330679,76.772885
6.766064,0.146823,21.305560,4.325277,4.325277,93.363075
5.837638,0.129912,15.619586,3.685701,3.685701,81.790578
10.009852,0.170395,13.910239,4.215812,4.215812,98.832556
6.126355,0.100619,15.700985,4.260007,4.260007,87.171937
7.052059,0.143751,19.055317,3.888971,3.888971,91.973125
8.534844,0.123939,15.805472,3.715488,3.715488,80.046683
6.686615,0.129378,14.727862,3.225677,3.225677,75.863607
7.216659,0.145363,14.662176,5.425850,5.425850,88.041701
10.897501,0.136388,13.954286,3.187792,3.187792,83.771657
12.262644,0.369874,23.561449,4.265181,4.265181,120.417213
11.676701,0.346455,34.762080,3.628312,3.628312,124.081086
10.022919,0.228724,27.414931,4.505183,4.505183,104.571737
5.672657,0.148897,14.382249,2.723336,2.723336,71.382169
6.570436,0.163049,22.314046,4.545325,4.545325,90.044434
5.727217,0.126549,14.585843,3.175709,3.175709,79.040728
6.172725,0.123128,14.163708,3.428180,3.428180,76.177774
6.390177,0.115798,20.866620,2.204918,2.204918,81.748826
5.021089,0.116990,13.062484,4.860818,4.860818,79.959897
9.983603,0.248620,29.656488,3.230295,3.230295,95.303800
6.634319,0.141853,18.848680,3.596495,3.596495,78.815713
7.391078,0.133911,21.198484,2.608946,2.608946,81.876634
7.050219,0.131693,21.619822,4.865337,4.865337,197.291073
5.179121,0.153536,13.463693,3.120755,3.120755,71.132489
5.973313,0.149728,17.351254,2.661542,2.661542,79.664677
8.301226,0.387109,42.486291,3.545823,3.545823,125.263084
8.430569,0.288309,31.525424,3.158665,3.158665,109.768744
10.092298,0.165108,17.396096,3.170433,3.170433,99.267442
5.986958,0.159684,31.804427,4.194212,4.194212,98.544713
5.426774,0.149379,13.997445,3.188591,3.188591,76.811373
10.653222,0.306643,38.173237,3.798994,3.798994,130.637246
5.183764,0.095216,12.565878,2.214292,2.214292,71.613573
10.707336,0.247377,34.400622,3.827126,3.827126,111.320298
5.115259,0.127300,12.571283,2.287329,2.287329,78.107873
10.255484,0.337920,37.760354,2.900249,2.900249,123.093085
