#Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
0.000000,0.000000,17.740017,1.566406,0.002095,5.050804,1.315490,0.001113,21.242136
0.000000,0.000000,17.450997,1.556639,0.038624,0.931582,1.104050,0.000407,22.302637
0.000000,0.000000,16.789696,1.415492,0.033493,0.850413,0.976334,0.000308,20.944023
0.000000,0.000000,18.962884,1.881933,0.040901,0.777011,0.986857,0.000343,23.589025
0.000000,0.000000,17.595522,1.591286,0.034859,0.766923,1.126622,0.328508,21.414193
0.000000,0.000000,17.518455,2.103380,0.043166,1.844891,1.586202,0.000395,22.033874
0.000000,0.000000,18.583538,2.276201,0.040623,3.421749,4.741385,0.000797,23.126238
0.000000,0.000000,18.323224,1.809969,0.036608,1.280257,1.920117,0.000380,22.349084
0.000000,0.000000,19.336323,2.144237,0.037372,1.001952,1.470902,0.000330,24.287065
0.000000,0.000000,18.765926,2.615490,0.043804,1.110895,1.929324,0.355585,30.573790
0.000000,0.000000,19.699025,2.361766,0.067695,1.996605,2.234404,0.000331,27.110886
0.000000,0.000000,17.559351,2.433517,0.043579,1.734776,2.610734,0.000348,24.150661
0.000000,0.000000,17.525292,2.545725,0.044905,1.213166,2.003530,0.000275,24.234825
0.000000,0.000000,17.639080,2.621556,0.042395,1.179905,2.157828,0.000294,25.531215
0.000000,0.000000,19.971602,2.835062,0.045797,0.998175,2.059823,0.441401,28.619752
0.000000,0.000000,18.054929,7.797901,0.103087,1.934994,2.312565,0.000299,37.457921
0.000000,0.000000,18.566965,3.621433,0.032873,3.168334,2.514377,0.000384,27.694739
0.000000,0.000000,17.448396,4.333674,0.030080,1.459406,2.597582,0.000335,27.508484
0.000000,0.000000,18.322461,3.215453,0.035179,1.528969,2.881330,0.000354,27.710607
0.000000,0.000000,15.351101,3.300700,0.033843,1.792235,2.727984,0.394597,25.358068
0.000000,0.000000,17.544839,3.410496,0.044965,5.758109,6.158806,0.000743,28.086713
0.000000,0.000000,17.571228,2.971294,0.038510,2.081897,3.208051,0.000399,26.127930
0.000000,0.000000,18.231851,3.822983,0.048034,1.767968,2.608475,0.000337,28.492891
0.000000,0.000000,16.429058,4.002363,0.049502,4.051951,2.615417,0.000384,26.462898
0.000000,0.000000,16.938057,3.119955,0.045385,1.868252,3.151057,0.389616,26.771855
0.000000,0.000000,18.228489,9.367284,0.112369,2.442998,3.254242,0.000402,36.315467
0.000000,0.000000,16.739092,3.937918,0.048067,3.096251,6.524080,0.000648,27.483491
0.000000,0.000000,17.587195,4.191267,0.059874,1.134035,2.560590,0.000329,28.900143
0.000000,0.000000,18.979052,10.429403,0.118870,0.852596,2.570939,0.000379,37.056101
0.000000,0.000000,17.361489,9.397140,0.114666,2.070043,6.726567,0.731248,42.046512
0.000000,0.000000,17.779879,4.454250,0.058213,4.258864,6.634548,0.000769,30.727215
0.000000,0.000000,17.972211,3.126955,0.044563,2.854633,7.116268,0.000615,27.826111
0.000000,0.000000,17.038868,9.093041,0.114494,2.724996,7.477198,0.000655,35.350801
0.000000,0.000000,16.607511,7.109641,0.052354,2.327353,7.194706,0.000671,31.960415
0.000000,0.000000,15.674390,3.832272,0.064409,0.841850,2.654589,0.203427,27.857930
0.000000,0.000000,16.374755,8.194201,0.098185,3.847024,7.033999,0.000847,37.032196
