#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.006408,3,1,0,793
0.001999,4,1,0,1125
0.097326,5,1,0,1317
0.289994,6,1,0,1651
0.282556,7,1,0,1871
0.362581,8,1,0,1903
0.472918,9,1,0,2180
0.553881,10,1,0,2600
0.916023,0,0,0,0
81.302219,0,0,0,0
1.158151,0,0,0,0
1.708054,0,0,0,0
1.094095,0,0,0,0
1.546425,0,0,0,0
1.610361,0,0,0,0
1.852833,0,0,0,0
2.120444,0,0,0,0
1.578514,0,0,0,0
2.711937,0,0,0,0
3.057555,0,0,0,0
2.458703,0,0,0,0
3.582381,0,0,0,0
3.395664,0,0,0,0
3.914510,0,0,0,0
3.713745,0,0,0,0
4.818947,0,0,0,0
3.997271,0,0,0,0
3.054306,0,0,0,0
3.923830,0,0,0,0
4.200366,0,0,0,0
4.523731,0,0,0,0
4.129356,0,0,0,0
4.319223,3,1,0,1101
2.942091,4,1,0,1410
0.002452,5,1,0,1678
0.001684,6,1,0,1975
0.344191,7,1,0,2381
0.411864,8,1,0,2764
0.646367,9,1,0,3023
0.895614,10,1,0,3124
1.039233,0,0,0,0
1.139878,0,0,0,0
0.847362,0,0,0,0
64.727259,0,0,0,0
1.588465,0,0,0,0
1.162498,0,0,0,0
2.443573,0,0,0,0
1.422123,0,0,0,0
1.763983,0,0,0,0
1.891416,0,0,0,0
2.695618,0,0,0,0
1.545079,0,0,0,0
2.168429,0,0,0,0
4.380898,0,0,0,0
2.618297,0,0,0,0
3.828304,0,0,0,0
3.037509,0,0,0,0
3.695331,0,0,0,0
3.374330,0,0,0,0
3.229164,0,0,0,0
3.180104,0,0,0,0
4.491385,0,0,0,0
4.596292,0,0,0,0
4.494889,0,0,0,0
2.991808,0,0,0,0
3.288275,0,0,0,0
3.019141,0,0,0,0
3.240757,0,0,0,0
3.733783,0,0,0,0
3.291796,0,0,0,0
3.114113,0,0,0,0
3.559650,0,0,0,0
3.216178,0,0,0,0
4.060974,0,0,0,0
4.695691,0,0,0,0
2.887841,0,0,0,0
3.305281,0,0,0,0
4.109356,0,0,0,0
4.615602,0,0,0,0
5.921839,0,0,0,0
4.299501,0,0,0,0
4.451367,0,0,0,0
4.602384,0,0,0,0
3.001750,0,0,0,0
3.596559,0,0,0,0
3.567569,0,0,0,0
2.384827,0,0,0,0
3.586388,0,0,0,0
3.505565,0,0,0,0
2.482501,0,0,0,0
2.914041,0,0,0,0
4.444908,0,0,0,0
4.900447,0,0,0,0
2.640201,0,0,0,0
2.719572,0,0,0,0
3.500213,0,0,0,0
2.162048,0,0,0,0
3.023689,0,0,0,0
2.936810,0,0,0,0
3.950865,0,0,0,0
3.854061,0,0,0,0
2.869717,0,0,0,0
3.621821,0,0,0,0
7.060348,0,0,0,0
3.825230,0,0,0,0
4.106928,0,0,0,0
3.330739,0,0,0,0
2.971386,0,0,0,0
3.691136,0,0,0,0
3.828062,0,0,0,0
2.789889,0,0,0,0
4.138956,0,0,0,0
4.739157,0,0,0,0
3.772752,0,0,0,0
5.084162,0,0,0,0
4.487221,0,0,0,0
3.437347,0,0,0,0
4.132226,0,0,0,0
4.113156,0,0,0,0
5.062127,0,0,0,0
2.651593,0,0,0,0
4.277234,0,0,0,0
4.493700,0,0,0,0
4.542650,0,0,0,0
4.096215,0,0,0,0
3.307219,0,0,0,0
3.109995,0,0,0,0
2.662046,0,0,0,0
3.418079,0,0,0,0
5.736754,0,0,0,0
3.418218,0,0,0,0
4.110106,0,0,0,0
4.713610,0,0,0,0
4.592782,0,0,0,0
2.781943,0,0,0,0
4.052268,0,0,0,0
3.598613,0,0,0,0
3.804219,0,0,0,0
2.499632,0,0,0,0
3.659450,0,0,0,0
3.121564,0,0,0,0
3.893149,0,0,0,0
4.090471,0,0,0,0
5.529345,0,0,0,0
4.947160,0,0,0,0
4.629991,0,0,0,0
4.036231,0,0,0,0
3.822434,0,0,0,0
2.779499,0,0,0,0
3.446663,0,0,0,0
3.993402,0,0,0,0
4.828733,0,0,0,0
6.334504,0,0,0,0
3.166272,0,0,0,0
4.808701,0,0,0,0
4.768068,0,0,0,0
4.909209,0,0,0,0
5.660196,0,0,0,0
3.026913,0,0,0,0
