#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,17.375606,2.806530,0.002922,5.008080,2.079204,0.001488,22.315660
1403637130588318976.000000,0.000000,0.000000,15.525090,3.982355,0.047144,2.758191,1.986704,0.000597,21.715780
1403637130638319104.000000,0.000000,0.000000,15.865702,3.141659,0.037483,1.764505,0.985098,0.000825,21.151860
1403637130688318976.000000,0.000000,0.000000,16.326704,2.441450,0.052672,1.476950,1.420586,0.000501,20.585665
1403637130738319104.000000,0.000000,0.000000,15.471956,3.465278,0.056453,1.594120,1.442966,0.000561,23.372373
1403637130788318976.000000,0.000000,0.000000,17.419679,2.287757,0.041116,1.731681,1.816414,0.193257,29.342703
1403637130838319104.000000,0.000000,0.000000,18.276415,3.178706,0.094469,2.796177,2.065938,0.000662,28.934427
1403637130888318976.000000,0.000000,0.000000,14.616890,3.015131,0.056382,2.095428,1.244267,0.000799,23.198526
1403637130938319104.000000,0.000000,0.000000,15.727013,2.393886,0.043750,2.168284,2.403446,0.000546,22.697270
1403637130988318976.000000,0.000000,0.000000,15.645720,3.373279,0.049517,1.474961,0.915184,0.000386,26.370948
1403637131038319104.000000,0.000000,0.000000,18.836101,1.895409,0.039148,2.200501,3.126681,0.000725,26.583911
1403637131088318976.000000,0.000000,0.000000,18.499908,3.927012,0.086308,2.015401,1.352719,0.225214,30.279508
1403637131138319104.000000,0.000000,0.000000,17.153851,3.158489,0.058485,1.427528,1.442559,0.000704,26.124166
1403637131188318976.000000,0.000000,0.000000,17.268356,2.651976,0.052063,2.257938,1.587972,0.000530,26.283892
1403637131238319104.000000,0.000000,0.000000,16.966666,2.176926,0.045628,1.447327,1.705057,0.000522,25.713393
1403637131288318976.000000,0.000000,0.000000,17.092730,3.271774,0.046756,1.719446,1.547374,0.000409,28.172457
1403637131338319104.000000,0.000000,0.000000,16.428524,3.279965,0.057001,1.553067,1.241017,0.137442,25.631868
1403637131388318976.000000,0.000000,0.000000,15.512284,2.589215,0.052062,1.465656,1.438159,0.000683,23.401960
1403637131438319104.000000,0.000000,0.000000,20.660930,3.323453,0.062050,1.491764,1.123005,0.000482,30.532755
1403637131488318976.000000,0.000000,0.000000,16.190687,2.101709,0.042359,1.412674,1.368455,0.001008,23.219106
1403637131538319104.000000,0.000000,0.000000,23.658026,2.437341,0.042727,2.014799,1.661131,0.000701,31.590383
1403637131588318976.000000,0.000000,0.000000,16.612985,2.539427,0.045919,1.787080,1.454440,0.139401,23.977488
