#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.640161,0.012028,0.114505,0.005654,0.005654,4.776123
4.659538,0.038231,0.265737,0.001882,0.001882,4.967114
5.471966,0.084412,1.668955,0.064757,0.064757,9.906265
4.554944,0.096079,5.173295,0.101507,0.101507,19.240834
6.739372,0.188152,6.481509,0.193988,0.193988,26.135517
7.440519,0.159569,5.433202,0.427596,0.427596,28.824665
5.550639,0.189572,8.156907,0.503368,0.503368,33.372078
6.362994,0.147491,14.040873,0.657340,0.657340,49.781018
6.269226,0.123180,6.233768,0.613682,0.613682,44.404157
7.203428,0.072400,9.007576,75.380993,75.380993,120.617100
6.135301,0.091308,12.237905,0.748172,0.748172,54.070758
7.212087,0.106790,16.703630,0.518947,0.518947,57.897587
6.678067,0.164027,12.847466,1.053195,1.053195,62.247158
6.254339,0.186510,15.072787,1.483156,1.483156,70.005243
6.676533,0.126330,13.340361,1.024948,1.024948,73.511973
9.444016,0.083842,14.258185,1.327687,1.327687,80.571301
8.568507,0.094517,15.423392,2.596628,2.596628,84.509724
8.457855,0.106637,15.626279,1.760616,1.760616,92.021081
8.396952,0.098797,14.636279,2.128957,2.128957,93.791573
8.089762,0.083304,15.196950,1.672144,1.672144,92.339155
7.664524,0.080096,14.844382,1.414898,1.414898,103.584386
9.353029,0.081827,17.965250,2.538674,2.538674,126.286637
7.604700,0.051524,18.479855,2.026322,2.026322,122.067623
7.984216,0.117994,21.141556,2.683705,2.683705,114.461157
10.534109,0.121279,22.983532,2.500658,2.500658,123.183771
7.877495,0.108145,21.351826,2.367053,2.367053,124.749892
7.432899,0.152722,21.870750,2.677118,2.677118,134.956778
7.391909,0.096851,20.299477,2.756761,2.756761,111.380058
7.357183,0.136936,18.032147,2.477696,2.477696,104.901967
7.412648,0.091951,19.510399,2.083642,2.083642,302.851637
7.979946,0.168276,16.630934,2.838556,2.838556,110.719265
7.966072,0.072938,18.437707,2.624797,2.624797,101.025880
9.090983,0.106544,18.955109,2.554797,2.554797,122.094427
9.361259,0.118789,20.628286,2.281824,2.281824,107.098488
8.497257,0.109855,18.406765,2.455481,2.455481,126.483899
8.942298,0.125282,21.960624,2.135268,2.135268,114.367717
9.739294,0.179638,23.072172,2.161657,2.161657,122.949783
9.477720,0.210732,27.311850,3.860671,3.860671,145.072216
9.809739,0.138781,23.381266,2.283684,2.283684,125.591360
11.310699,0.144569,21.870073,2.550383,2.550383,165.750917
9.736769,0.225847,24.461028,2.005314,2.005314,125.517167
10.145599,0.109433,23.260835,2.685941,2.685941,157.431945
7.615982,0.114776,17.002004,3.498612,3.498612,121.890134
8.376524,0.095441,15.833199,2.495294,2.495294,124.566469
7.581123,0.082271,16.055809,3.114147,3.114147,119.347502
7.270558,0.083494,12.633363,2.891270,2.891270,124.807611
8.919425,0.126583,19.000269,2.483416,2.483416,141.532512
6.908105,0.054615,14.128007,3.709138,3.709138,135.666824
7.028116,0.057784,13.802857,3.827114,3.827114,119.490026
7.599260,0.038186,12.234979,3.843650,3.843650,104.121510
4.339304,0.013134,0.115231,0.001884,0.001884,4.471056
4.221725,0.035967,0.291817,0.001379,0.001379,4.552176
6.857905,0.108265,0.863460,0.188061,0.188061,13.744728
6.605169,0.131208,3.398318,0.287029,0.287029,19.283100
5.055302,0.075589,5.814477,0.349883,0.349883,20.550723
4.653344,0.121389,5.635338,0.445839,0.445839,23.707314
4.808361,0.149421,10.745586,0.640475,0.640475,33.163743
7.717831,0.257726,8.438466,0.821370,0.821370,35.780527
6.068342,0.174319,10.911039,1.054926,1.054926,42.617296
7.168827,0.163375,12.781859,55.683243,55.683243,116.524757
6.567410,0.144477,10.872968,0.850791,0.850791,52.260135
6.944955,0.215661,13.325824,1.303965,1.303965,67.845553
6.321336,0.159077,13.848911,1.415801,1.415801,68.222175
6.870836,0.203102,15.104023,1.325253,1.325253,71.783413
6.527756,0.196797,15.754963,1.827100,1.827100,81.728281
7.468337,0.215803,15.679844,1.505362,1.505362,86.674196
7.764772,0.190414,17.943659,1.458468,1.458468,106.217677
7.124890,0.258184,16.082775,2.093197,2.093197,104.866247
6.349151,0.124810,16.960856,2.079687,2.079687,102.947660
7.895946,0.199924,17.220841,2.156817,2.156817,106.865605
7.172388,0.152529,17.399835,3.035038,3.035038,127.474593
7.265593,0.181096,20.309857,3.366191,3.366191,125.293519
8.006172,0.265871,18.659894,4.382667,4.382667,138.203249
7.397075,0.163081,17.931207,3.392571,3.392571,127.896764
7.509902,0.143512,17.649460,3.637158,3.637158,153.560409
6.644070,0.186571,14.077913,2.876682,2.876682,130.836758
6.612882,0.143343,14.679372,3.367484,3.367484,330.749468
6.888763,0.288905,14.466168,3.464794,3.464794,126.141725
5.788086,0.151217,15.224733,2.893613,2.893613,113.950057
6.959117,0.191666,14.530546,2.833032,2.833032,134.849386
7.622425,0.195911,13.929937,2.910381,2.910381,127.905886
7.237931,0.207936,15.605588,2.092069,2.092069,128.776345
7.802290,0.177157,18.997254,4.217766,4.217766,134.329226
6.146089,0.153694,14.116015,2.566877,2.566877,129.324472
5.954679,0.135491,14.828900,2.878668,2.878668,146.699140
7.435529,0.245474,18.533532,2.125865,2.125865,140.471204
7.025022,0.192511,15.248437,2.665744,2.665744,144.401570
6.454259,0.157414,16.270408,2.671622,2.671622,142.513495
6.109421,0.144242,17.336666,2.768847,2.768847,153.288499
6.745912,0.183733,17.984371,3.554722,3.554722,155.543441
6.986901,0.216541,15.705318,3.539458,3.539458,157.780785
6.848704,0.222949,17.228060,2.463192,2.463192,152.147851
7.830012,0.145530,18.233401,3.891317,3.891317,194.397866
6.110952,0.193192,16.653651,2.090141,2.090141,160.519402
6.799012,0.164344,15.603569,4.158513,4.158513,158.857115
7.622834,0.125789,17.193010,2.634399,2.634399,169.483607
7.405459,0.123477,17.117144,3.363481,3.363481,164.362683
6.995591,0.166368,21.645314,3.488919,3.488919,163.297091
8.854886,0.169865,19.877345,4.401339,4.401339,170.916408
8.004874,0.148857,17.349838,3.780815,3.780815,168.583332
7.081383,0.132609,21.822217,3.776704,3.776704,199.607420
9.477745,0.158432,18.296709,2.835739,2.835739,166.942597
8.177213,0.156398,18.383432,2.477767,2.477767,169.505560
7.938473,0.190965,19.093137,3.445397,3.445397,162.902037
7.287374,0.114102,16.725058,5.068611,5.068611,169.670821
6.484918,0.139833,21.322915,7.297433,7.297433,196.265512
8.245664,0.159154,18.573616,3.903957,3.903957,167.412498
7.562828,0.119385,19.851217,6.841270,6.841270,197.608381
7.129027,0.213342,19.658645,4.993556,4.993556,209.279113
7.982483,0.181443,22.371668,3.328729,3.328729,167.607423
7.306048,0.121761,17.325308,3.418040,3.418040,159.601452
7.844137,0.138637,19.402223,3.721453,3.721453,171.837210
7.180095,0.258080,22.201729,6.532599,6.532599,167.012952
7.848371,0.190357,21.094186,4.002733,4.002733,163.926144
6.987845,0.196123,18.335262,5.227103,5.227103,165.581219
8.042589,0.284121,21.271310,9.324147,9.324147,173.163216
