#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,11.770746,2.036117,0.003912,3.638353,0.458151,0.001101,16.122476
1403637130588318976.000000,0.000000,0.000000,10.606757,1.746254,0.047097,0.713091,0.505030,0.000378,14.965998
1403637130638319104.000000,0.000000,0.000000,8.600210,1.460899,0.039512,0.787246,0.557239,0.000447,12.262818
1403637130688318976.000000,0.000000,0.000000,8.437651,1.236583,0.037238,0.821770,0.712316,0.000444,11.065992
1403637130738319104.000000,0.000000,0.000000,8.941789,1.448932,0.037739,1.184486,0.922761,0.000642,14.129225
1403637130788318976.000000,0.000000,0.000000,10.648719,1.290075,0.038960,1.166436,0.769009,1.709508,18.158496
1403637130838319104.000000,0.000000,0.000000,8.808063,1.465961,0.057963,0.907041,0.550094,0.000476,13.757093
1403637130888318976.000000,0.000000,0.000000,7.199712,1.517042,0.042988,1.556200,0.769236,0.000640,15.619239
1403637130938319104.000000,0.000000,0.000000,10.251760,1.963730,0.050706,0.905234,0.970437,0.011165,16.266564
1403637130988318976.000000,0.000000,0.000000,10.199961,2.333864,0.059933,0.907590,0.670377,0.000465,17.030699
1403637131038319104.000000,0.000000,0.000000,8.119636,5.120331,0.074929,0.724357,0.670008,0.000403,18.950524
1403637131088318976.000000,0.000000,0.000000,8.315319,1.330968,0.043887,1.220349,0.998967,0.382671,15.752778
1403637131138319104.000000,0.000000,0.000000,7.362715,4.482196,0.098237,0.902390,0.687468,0.000464,16.849118
1403637131188318976.000000,0.000000,0.000000,8.432961,1.521741,0.045712,0.924382,0.808979,0.000423,16.080600
1403637131238319104.000000,0.000000,0.000000,9.553353,1.417109,0.043896,1.102938,0.978458,0.000838,14.714755
1403637131288318976.000000,0.000000,0.000000,8.499670,1.339973,0.042174,0.747769,0.631016,0.000397,14.347901
1403637131338319104.000000,0.000000,0.000000,7.099329,1.318197,0.060067,1.081645,1.107014,0.530829,13.161151
1403637131388318976.000000,0.000000,0.000000,9.452743,1.444236,0.041470,0.875425,0.726625,0.000380,14.965388
1403637131438319104.000000,0.000000,0.000000,7.254919,1.456375,0.047272,0.970912,1.352236,0.000728,13.398712
1403637131488318976.000000,0.000000,0.000000,7.944145,2.529316,0.054321,1.413899,1.168360,0.000559,14.862188
1403637131538319104.000000,0.000000,0.000000,10.490170,1.362899,0.041019,0.979490,0.623555,0.000531,15.204558
1403637131588318976.000000,0.000000,0.000000,6.585709,1.279653,0.041556,1.848327,1.681104,1.299503,12.792230
1403637131638319104.000000,0.000000,0.000000,9.770299,2.412662,0.050499,1.384706,1.202256,0.000482,16.120470
1403637131688318976.000000,0.000000,0.000000,7.856748,1.379418,0.042956,2.231858,1.426574,0.000957,15.338471
1403637131738319104.000000,0.000000,0.000000,6.991909,1.223405,0.060903,1.076454,0.782051,0.000530,12.883187
1403637131788318976.000000,0.000000,0.000000,9.924476,1.413063,0.066550,1.527773,0.974435,0.000479,15.217086
