#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.006241,3,1,0,793
0.001303,4,1,0,1123
0.223926,5,1,0,1304
0.204546,6,1,0,1664
0.393383,7,1,0,1858
0.413244,8,1,0,1905
0.437050,9,1,0,2200
0.813829,10,1,0,2587
0.858193,0,0,0,0
52.687477,0,0,0,0
1.114907,0,0,0,0
2.641691,0,0,0,0
1.508386,0,0,0,0
1.410134,0,0,0,0
1.936520,0,0,0,0
1.887137,0,0,0,0
2.176841,0,0,0,0
2.304163,0,0,0,0
2.066273,0,0,0,0
2.817724,0,0,0,0
2.913573,0,0,0,0
4.349995,0,0,0,0
3.125700,0,0,0,0
3.009292,0,0,0,0
3.054736,0,0,0,0
5.015964,0,0,0,0
4.393291,0,0,0,0
3.489467,0,0,0,0
4.888248,0,0,0,0
4.174238,0,0,0,0
3.916876,0,0,0,0
6.932821,0,0,0,0
4.944237,0,0,0,0
5.249000,0,0,0,0
4.738380,3,1,0,1099
4.083188,4,1,0,1415
0.002320,5,1,0,1689
0.001373,6,1,0,2005
0.194471,7,1,0,2428
0.527573,8,1,0,2809
0.681135,9,1,0,3054
0.825145,10,1,0,3202
0.917931,0,0,0,0
1.036230,0,0,0,0
1.518465,0,0,0,0
68.163206,0,0,0,0
1.531552,0,0,0,0
1.115854,0,0,0,0
1.801558,0,0,0,0
2.363343,0,0,0,0
1.328250,0,0,0,0
2.252340,0,0,0,0
1.925763,0,0,0,0
2.815393,0,0,0,0
3.015490,0,0,0,0
2.547420,0,0,0,0
2.451427,0,0,0,0
4.135782,0,0,0,0
3.535779,0,0,0,0
3.312772,0,0,0,0
4.555305,0,0,0,0
3.971513,0,0,0,0
3.250736,0,0,0,0
3.028552,0,0,0,0
3.540221,0,0,0,0
4.787371,0,0,0,0
4.133712,0,0,0,0
4.818235,0,0,0,0
4.169960,0,0,0,0
3.373896,0,0,0,0
3.708952,0,0,0,0
3.035538,0,0,0,0
3.923806,0,0,0,0
2.956551,0,0,0,0
2.581183,0,0,0,0
2.978347,0,0,0,0
2.775828,0,0,0,0
4.510620,0,0,0,0
2.746557,0,0,0,0
2.999372,0,0,0,0
3.761823,0,0,0,0
3.130749,0,0,0,0
4.450648,0,0,0,0
4.122228,0,0,0,0
4.904693,0,0,0,0
2.755000,0,0,0,0
3.764772,0,0,0,0
3.725060,0,0,0,0
2.916960,0,0,0,0
2.350981,0,0,0,0
3.928999,0,0,0,0
3.071165,0,0,0,0
3.922200,0,0,0,0
2.926824,0,0,0,0
4.019058,0,0,0,0
3.691433,0,0,0,0
3.051723,0,0,0,0
4.259473,0,0,0,0
3.042116,0,0,0,0
2.976196,0,0,0,0
4.703061,0,0,0,0
3.685969,0,0,0,0
2.178481,0,0,0,0
3.091363,0,0,0,0
3.575465,0,0,0,0
4.302182,0,0,0,0
3.217212,0,0,0,0
4.233533,0,0,0,0
2.211095,0,0,0,0
2.434442,0,0,0,0
2.969679,0,0,0,0
3.611819,0,0,0,0
2.714332,0,0,0,0
3.140413,0,0,0,0
3.357834,0,0,0,0
3.691730,0,0,0,0
3.980071,0,0,0,0
4.150383,0,0,0,0
4.028043,0,0,0,0
2.938813,0,0,0,0
3.431286,0,0,0,0
4.755631,0,0,0,0
5.173347,0,0,0,0
5.103991,0,0,0,0
4.996151,0,0,0,0
2.874159,0,0,0,0
2.949851,0,0,0,0
4.158707,0,0,0,0
4.898940,0,0,0,0
3.388277,0,0,0,0
4.516577,0,0,0,0
3.741933,0,0,0,0
3.937943,0,0,0,0
3.636853,0,0,0,0
4.378552,0,0,0,0
5.461222,0,0,0,0
3.928215,0,0,0,0
3.782279,0,0,0,0
5.360018,0,0,0,0
3.773697,0,0,0,0
4.229519,0,0,0,0
2.877626,0,0,0,0
6.046408,0,0,0,0
3.055020,0,0,0,0
3.537958,0,0,0,0
3.107543,0,0,0,0
2.990757,0,0,0,0
5.043659,0,0,0,0
6.853711,0,0,0,0
5.553743,0,0,0,0
5.201474,0,0,0,0
5.215997,0,0,0,0
6.178461,0,0,0,0
5.837756,0,0,0,0
4.570420,0,0,0,0
7.428873,0,0,0,0
5.443573,0,0,0,0
7.494245,0,0,0,0
8.748194,0,0,0,0
9.996795,0,0,0,0
8.738040,0,0,0,0
9.198337,0,0,0,0
6.817059,0,0,0,0
8.435172,0,0,0,0
7.715201,0,0,0,0
8.184437,0,0,0,0
10.196046,0,0,0,0
8.343649,0,0,0,0
7.277792,0,0,0,0
8.166625,0,0,0,0
7.475398,0,0,0,0
9.672157,0,0,0,0
8.130363,0,0,0,0
6.641666,0,0,0,0
8.780007,0,0,0,0
7.217591,0,0,0,0
4.732807,0,0,0,0
7.557135,0,0,0,0
6.041165,0,0,0,0
6.877085,0,0,0,0
8.980188,0,0,0,0
5.211770,0,0,0,0
8.936873,0,0,0,0
7.211881,0,0,0,0
7.314432,0,0,0,0
9.860107,0,0,0,0
5.622273,0,0,0,0
6.438398,0,0,0,0
7.285401,0,0,0,0
7.633565,0,0,0,0
6.421708,0,0,0,0
8.613215,0,0,0,0
7.053677,0,0,0,0
8.314147,0,0,0,0
6.606572,0,0,0,0
8.770535,0,0,0,0
7.348034,0,0,0,0
6.778289,0,0,0,0
8.710403,0,0,0,0
6.516158,0,0,0,0
8.022423,0,0,0,0
10.418862,0,0,0,0
5.168091,0,0,0,0
9.295575,0,0,0,0
7.284035,0,0,0,0
7.294330,0,0,0,0
9.727312,0,0,0,0
7.134431,0,0,0,0
8.154631,0,0,0,0
