#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,15.199125,2.659649,0.004603,5.318353,0.770776,0.001127,20.924715
1403638127345096960.000000,0.000000,0.000000,14.364864,2.574004,0.052795,0.802430,0.845516,0.000501,18.537158
1403638127395097088.000000,0.000000,0.000000,14.500734,2.046909,0.054732,0.725717,0.667807,0.000510,18.622884
1403638127445096960.000000,0.000000,0.000000,15.444485,3.849985,0.060175,2.956141,0.709116,0.000911,21.864852
1403638127495097088.000000,0.000000,0.000000,13.725555,2.204091,0.042923,0.726176,0.753417,0.139070,20.525163
1403638127545096960.000000,0.000000,0.000000,14.152280,2.165426,0.041984,0.725778,0.826727,0.000382,18.457307
1403638127595097088.000000,0.000000,0.000000,12.053415,3.128349,0.054639,1.015960,0.661665,0.000420,20.227159
1403638127645096960.000000,0.000000,0.000000,12.829123,3.014104,0.061525,0.706428,0.944883,0.000355,18.079455
1403638127695097088.000000,0.000000,0.000000,11.727692,2.090620,0.038426,1.072658,1.116182,0.000557,16.195427
1403638127745096960.000000,0.000000,0.000000,15.268078,4.287287,0.069709,0.773594,1.273758,0.497037,22.054604
1403638127795097088.000000,0.000000,0.000000,14.195240,2.128506,0.045524,1.126808,0.935349,0.000439,18.676806
1403638127845096960.000000,0.000000,0.000000,14.289511,2.296932,0.042560,1.775493,2.011257,0.000709,18.458862
1403638127895097088.000000,0.000000,0.000000,15.676841,6.177401,0.041329,1.986136,2.910256,0.001083,23.983376
1403638127945096960.000000,0.000000,0.000000,11.632554,4.174681,0.049150,0.983170,0.963011,0.000659,19.108851
1403638127995097088.000000,0.000000,0.000000,15.104544,3.488864,0.060554,0.748961,0.807388,0.171245,20.895648
1403638128045096960.000000,0.000000,0.000000,12.236727,4.343808,0.052465,1.786191,1.506225,0.001035,20.527136
1403638128095097088.000000,0.000000,0.000000,13.140292,1.942664,0.041146,0.977184,1.171439,0.000403,17.564860
1403638128145096960.000000,0.000000,0.000000,12.849236,2.350368,0.042430,1.405673,2.527418,0.001038,17.271370
1403638128195097088.000000,0.000000,0.000000,13.490321,2.821541,0.081295,1.125376,1.291182,0.000426,19.169692
1403638128245096960.000000,0.000000,0.000000,15.313622,4.113372,0.068630,1.565959,2.726086,0.518422,22.347551
1403638128295097088.000000,0.000000,0.000000,13.978189,3.457803,0.073935,2.666811,2.311553,0.000771,19.823896
1403638128345096960.000000,0.000000,0.000000,14.383419,3.790357,0.041922,1.147349,1.411823,0.000451,22.107073
1403638128395097088.000000,0.000000,0.000000,15.882077,2.413920,0.046037,2.538740,2.707476,0.001635,20.160232
1403638128445096960.000000,0.000000,0.000000,15.910317,3.015934,0.054358,0.992231,1.335701,0.000418,21.167229
1403638128495097088.000000,0.000000,0.000000,12.641072,2.537013,0.062127,0.994954,1.293241,0.286592,19.895169
1403638128545096960.000000,0.000000,0.000000,14.095381,3.097477,0.057001,1.857258,2.172787,0.000664,19.552985
1403638128595097088.000000,0.000000,0.000000,14.265112,4.547128,0.084335,1.752366,2.010987,0.000455,22.168347
1403638128645096960.000000,0.000000,0.000000,13.090464,2.368912,0.045901,2.599548,2.710864,0.000739,17.603394
1403638128695097088.000000,0.000000,0.000000,14.938501,2.072224,0.042151,2.103083,2.009133,0.000973,18.861984
1403638128745096960.000000,0.000000,0.000000,16.301169,2.196460,0.048767,1.574993,2.507800,0.472058,23.539934
1403638128795097088.000000,0.000000,0.000000,12.797529,5.242552,0.073563,2.199902,2.899525,0.001052,21.235433
1403638128845096960.000000,0.000000,0.000000,14.477686,1.915961,0.037877,2.756591,3.077832,0.000540,18.501766
1403638128895097088.000000,0.000000,0.000000,13.248479,2.569193,0.069984,2.228419,2.882471,0.000462,19.366399
1403638128945096960.000000,0.000000,0.000000,15.464133,2.233540,0.076741,3.043083,4.068286,0.001377,26.967399
1403638128995097088.000000,0.000000,0.000000,14.383695,2.366266,0.062554,2.424633,2.831756,0.293523,20.671038
1403638129045096960.000000,0.000000,0.000000,14.383658,2.135398,0.043190,2.999247,4.454052,0.000723,20.577650
1403638129095097088.000000,0.000000,0.000000,15.678693,2.752558,0.067119,2.710513,3.557781,0.000506,24.628415
1403638129145096960.000000,0.000000,0.000000,14.135460,2.282962,0.044875,2.273341,4.679216,0.001246,19.880837
1403638129195097088.000000,0.000000,0.000000,15.773854,2.366444,0.043229,2.252169,3.840395,0.000568,22.026005
1403638129245096960.000000,0.000000,0.000000,15.236396,4.114398,0.060944,2.189822,4.593467,0.241131,23.829960
1403638129295097088.000000,0.000000,0.000000,12.385065,3.210014,0.044378,2.278470,2.931133,0.000518,19.733350
1403638129345096960.000000,0.000000,0.000000,15.902599,5.434252,0.068045,1.976278,3.112523,0.000466,26.370098
1403638129395097088.000000,0.000000,0.000000,12.643099,6.148603,0.043825,2.462912,3.308466,0.001103,24.287653
1403638129445096960.000000,0.000000,0.000000,13.128996,3.978692,0.037727,2.321101,3.274501,0.000565,22.160091
1403638129495097088.000000,0.000000,0.000000,14.564532,10.467332,0.088551,1.974432,3.164300,0.280705,31.836460
1403638129545096960.000000,0.000000,0.000000,14.816063,7.458637,0.098938,0.054492,5.110082,0.072778,30.103259
1403638129595097088.000000,0.000000,0.000000,16.076849,6.146785,0.068024,0.038507,5.142915,0.037365,26.704848
1403638129645096960.000000,0.000000,0.000000,13.901572,3.205780,0.040301,0.045866,5.759477,0.056299,21.008183
1403638129695097088.000000,0.000000,0.000000,14.980796,6.284056,0.095191,0.049616,6.492230,0.053556,27.104003
1403638129745096960.000000,0.000000,0.000000,15.731752,4.728292,0.045377,0.057631,5.267996,0.270663,25.274569
1403638129795097088.000000,0.000000,0.000000,15.524003,3.383875,0.067701,0.040567,4.875010,0.039534,25.422487
1403638129845096960.000000,0.000000,0.000000,13.227424,3.462832,0.060211,0.095700,6.019831,0.063070,21.295726
1403638129895097088.000000,0.000000,0.000000,14.720821,7.421950,0.079666,0.062932,5.893904,0.050293,29.736012
1403638129945096960.000000,0.000000,0.000000,15.935104,9.786831,0.115460,0.053031,7.648058,0.346232,33.444080
1403638129995097088.000000,0.000000,0.000000,13.563627,5.293357,0.045220,0.101858,8.484619,0.062902,24.081865
1403638130045096960.000000,0.000000,0.000000,14.498691,7.561657,0.153514,0.081563,6.043114,0.046226,29.988076
1403638130095097088.000000,0.000000,0.000000,12.170503,5.879597,0.050664,0.061677,6.987431,0.420092,22.801709
1403638130145096960.000000,0.000000,0.000000,12.820750,5.197323,0.045537,0.106062,8.089913,0.092225,22.936789
1403638130195097088.000000,0.000000,0.000000,13.436959,8.042394,0.042088,0.087432,8.081237,0.360402,27.458003
1403638130245096960.000000,0.000000,0.000000,12.357166,4.968052,0.047062,0.063553,9.906139,0.103275,23.385611
1403638130295097088.000000,0.000000,0.000000,14.736369,5.175883,0.074513,0.055096,6.898891,0.294991,28.018760
1403638130345096960.000000,0.000000,0.000000,12.446735,4.802774,0.067961,0.092320,8.184566,0.088002,24.426815
1403638130395097088.000000,0.000000,0.000000,13.192502,7.648998,0.124313,0.073581,5.534429,0.194064,28.059162
1403638130445096960.000000,0.000000,0.000000,16.636556,6.537829,0.049890,0.046695,7.333617,0.094468,30.281016
1403638130495097088.000000,0.000000,0.000000,13.653278,6.448237,0.039523,0.051815,7.560077,0.267753,29.923517
1403638130545096960.000000,0.000000,0.000000,13.866560,4.597792,0.045730,0.061886,9.664049,0.113516,25.734145
1403638130595097088.000000,0.000000,0.000000,13.001038,4.964629,0.048722,0.070725,5.882561,0.032910,27.669760
1403638130645096960.000000,0.000000,0.000000,12.631384,7.698861,0.052350,0.069304,11.016019,0.379932,29.475680
1403638130695097088.000000,0.000000,0.000000,13.412831,5.358928,0.036330,0.076608,8.160895,0.070645,28.933613
1403638130745096960.000000,0.000000,0.000000,15.706126,7.182101,0.049516,0.060520,7.062323,0.048572,31.632676
1403638130795097088.000000,0.000000,0.000000,15.787343,4.511937,0.053036,0.061846,8.725812,0.334460,30.143405
1403638130845096960.000000,0.000000,0.000000,14.071806,5.059125,0.051839,0.072383,8.060271,0.089963,27.718182
1403638130895097088.000000,0.000000,0.000000,15.017583,4.303794,0.050040,0.078325,10.728636,0.460510,28.402590
1403638130945096960.000000,0.000000,0.000000,17.301107,6.076805,0.054174,0.094836,12.616474,0.160823,30.871892
1403638130995097088.000000,0.000000,0.000000,14.687163,4.546368,0.049891,0.053222,7.973080,0.466295,27.141778
1403638131045096960.000000,0.000000,0.000000,15.011567,4.772923,0.074437,0.058697,7.896265,0.087033,28.250200
1403638131095097088.000000,0.000000,0.000000,16.236418,6.797318,0.063910,0.061371,6.751417,0.054237,33.195837
1403638131145096960.000000,0.000000,0.000000,15.456838,5.293661,0.054006,0.075989,11.207319,0.572642,28.174442
1403638131195097088.000000,0.000000,0.000000,15.408114,6.741048,0.044351,0.056230,9.319834,0.105730,30.096516
1403638131245096960.000000,0.000000,0.000000,13.166420,6.795332,0.069185,0.067189,7.421214,0.045896,28.397663
1403638131295097088.000000,0.000000,0.000000,15.023935,5.337501,0.061721,0.064584,6.382096,0.041371,28.704837
1403638131345096960.000000,0.000000,0.000000,14.473879,4.248018,0.056051,0.054175,8.095104,0.070410,27.604885
1403638131395097088.000000,0.000000,0.000000,12.454085,5.985844,0.062586,0.061570,8.125438,0.335544,29.221451
1403638131445096960.000000,0.000000,0.000000,14.764392,4.522953,0.058394,0.072815,7.051941,0.064170,26.282240
1403638131495097088.000000,0.000000,0.000000,16.789173,5.596571,0.089488,0.030849,7.522866,0.065764,31.194663
1403638131545096960.000000,0.000000,0.000000,13.014340,6.057092,0.064756,0.059628,8.415300,0.074867,27.797941
1403638131595097088.000000,0.000000,0.000000,14.153378,4.888282,0.064926,0.094578,9.800654,0.476420,29.407213
1403638131645096960.000000,0.000000,0.000000,14.332771,6.104675,0.094851,0.067768,7.516808,0.090749,31.645189
1403638131695097088.000000,0.000000,0.000000,11.396421,6.174521,0.081707,0.094481,9.107619,0.060573,26.896572
1403638131745096960.000000,0.000000,0.000000,13.872329,5.722665,0.065814,0.067733,6.172718,0.265571,29.755997
1403638131795097088.000000,0.000000,0.000000,14.088910,7.809536,0.090344,0.066987,10.317834,0.102137,33.477519
1403638131845096960.000000,0.000000,0.000000,13.057282,7.270244,0.058029,0.063403,9.164561,0.109613,33.246871
1403638131895097088.000000,0.000000,0.000000,14.404114,7.027568,0.041000,0.085544,7.883904,0.349550,33.819584
1403638131945096960.000000,0.000000,0.000000,14.423762,3.765892,0.039161,0.079348,10.721678,0.133696,27.994428
1403638131995097088.000000,0.000000,0.000000,14.856721,5.354297,0.112445,0.063847,9.394518,0.112958,31.378720
1403638132045096960.000000,0.000000,0.000000,14.397799,3.657653,0.082229,0.092601,7.690899,0.062948,26.121596
1403638132095097088.000000,0.000000,0.000000,14.956698,3.573733,0.073930,0.105826,6.975737,0.393283,29.215558
1403638132145096960.000000,0.000000,0.000000,12.902455,3.876547,0.072670,0.062575,9.688301,0.137664,27.512861
1403638132195097088.000000,0.000000,0.000000,11.809576,7.941994,0.093696,0.097524,8.370646,0.119676,34.929989
1403638132245096960.000000,0.000000,0.000000,12.587194,3.802866,0.088222,0.068146,7.223454,0.446454,24.425586
1403638132295097088.000000,0.000000,0.000000,14.062054,5.782104,0.092156,0.046645,9.335181,0.104426,34.061928
1403638132345096960.000000,0.000000,0.000000,14.771249,6.500154,0.116315,0.060334,9.957815,0.108648,32.464609
1403638132395097088.000000,0.000000,0.000000,13.976755,5.639234,0.073106,0.071740,6.727713,0.043428,29.440679
1403638132445096960.000000,0.000000,0.000000,13.840916,5.061356,0.082209,0.062665,9.035991,0.327809,30.522236
1403638132495097088.000000,0.000000,0.000000,14.305281,6.719255,0.075563,0.051271,9.211779,0.119300,31.725379
1403638132545096960.000000,0.000000,0.000000,13.350014,6.739579,0.100015,0.112204,8.574455,0.062546,33.912369
1403638132595097088.000000,0.000000,0.000000,16.053060,9.870371,0.123208,0.070867,7.981575,0.084072,41.715976
1403638132645096960.000000,0.000000,0.000000,16.460969,6.304512,0.083331,0.057887,9.607323,0.095075,35.530631
1403638132695097088.000000,0.000000,0.000000,14.925436,4.767994,0.067959,0.080910,8.240927,0.057329,30.535361
1403638132745096960.000000,0.000000,0.000000,15.560977,7.527890,0.075501,0.041282,11.142224,0.113499,33.717668
1403638132795097088.000000,0.000000,0.000000,14.313249,6.446807,0.119784,0.067215,9.696934,0.446971,36.882209
1403638132845096960.000000,0.000000,0.000000,16.365234,5.317898,0.074663,0.090171,9.693909,0.128121,34.010848
1403638132895097088.000000,0.000000,0.000000,16.581308,6.660460,0.081549,0.079053,9.766183,0.135085,33.265837
1403638132945096960.000000,0.000000,0.000000,14.011156,6.489825,0.089621,0.080409,8.602146,0.093964,32.235656
1403638132995097088.000000,0.000000,0.000000,15.937088,5.224876,0.076935,0.065447,7.933158,0.073952,32.146147
1403638133045096960.000000,0.000000,0.000000,15.746147,5.091194,0.088759,0.077529,9.075254,0.093698,32.073411
1403638133095097088.000000,0.000000,0.000000,16.376287,7.208235,0.089687,0.067871,10.052864,0.104888,33.295502
1403638133145096960.000000,0.000000,0.000000,15.503398,6.891705,0.086567,0.067885,9.658746,0.100304,32.767936
1403638133195097088.000000,0.000000,0.000000,14.808110,5.176269,0.073475,0.064946,8.133122,0.450314,31.209178
1403638133245096960.000000,0.000000,0.000000,15.327990,6.923309,0.147609,0.047290,10.388884,0.107208,35.660828
1403638133295097088.000000,0.000000,0.000000,14.680046,5.027951,0.076917,0.105607,9.914280,0.126009,30.316671
1403638133345096960.000000,0.000000,0.000000,15.931592,7.020715,0.124463,0.080195,10.518083,0.102401,34.933750
1403638133395097088.000000,0.000000,0.000000,12.673675,6.687706,0.076774,0.078814,10.884001,0.091124,29.624894
1403638133445096960.000000,0.000000,0.000000,14.186781,7.332038,0.082530,0.131930,9.600192,0.077122,34.767678
1403638133495097088.000000,0.000000,0.000000,14.244210,5.313801,0.076318,0.096816,10.951642,0.078054,31.544338
1403638133545096960.000000,0.000000,0.000000,15.153456,8.070289,0.096229,0.070057,10.144240,0.116539,34.187808
1403638133595097088.000000,0.000000,0.000000,12.807412,7.084073,0.086432,0.104516,10.231709,0.085443,33.051854
1403638133645096960.000000,0.000000,0.000000,13.953732,4.931890,0.072675,0.084678,9.842016,0.094295,30.647876
1403638133695097088.000000,0.000000,0.000000,15.890520,6.847963,0.037638,0.073755,10.035689,0.467234,33.271660
