#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636858651666432.000000,0.000000,0.000000,14.735263,1.859307,0.002790,4.689846,1.486694,0.001485,18.688615
1403636858701666560.000000,0.000000,0.000000,15.084953,1.947564,0.060848,1.597307,1.805567,0.000866,18.906140
1403636858751666432.000000,0.000000,0.000000,13.220788,2.000838,0.049495,1.016950,1.089839,0.000490,16.992893
1403636858801666560.000000,0.000000,0.000000,14.216259,1.464508,0.050330,0.836889,0.999112,0.000509,17.787098
1403636858851666432.000000,0.000000,0.000000,13.910901,2.121252,0.061582,0.720292,1.341153,4.841083,17.874133
1403636858901666560.000000,0.000000,0.000000,15.786304,2.216920,0.100587,1.998132,1.916589,0.001017,20.640529
1403636858951666432.000000,0.000000,0.000000,14.391069,1.859985,0.036200,1.059300,1.683106,0.000516,18.125879
1403636859001666560.000000,0.000000,0.000000,13.671462,1.850307,0.036324,1.222189,1.708728,0.000876,17.446491
1403636859051666432.000000,0.000000,0.000000,15.663043,2.576329,0.064831,1.403750,2.620166,0.000605,25.894522
1403636859101666560.000000,0.000000,0.000000,14.902154,2.098217,0.041776,1.497432,1.772905,6.191537,25.186357
1403636859151666432.000000,0.000000,0.000000,14.410906,2.602983,0.118881,2.287837,2.092224,0.000515,22.614409
1403636859201666560.000000,0.000000,0.000000,16.157365,2.662501,0.050839,1.685047,2.177443,0.000743,22.940439
1403636859251666432.000000,0.000000,0.000000,15.053403,2.463690,0.044475,3.160556,2.822304,0.001850,21.505087
1403636859301666560.000000,0.000000,0.000000,14.609445,2.121341,0.039733,1.101238,2.129744,0.000568,25.696976
1403636859351666432.000000,0.000000,0.000000,14.250888,4.032756,0.057119,1.027257,1.905243,5.513667,24.802276
1403636859401666560.000000,0.000000,0.000000,14.136015,2.674529,0.043424,3.019634,3.047355,0.001107,21.235703
1403636859451666432.000000,0.000000,0.000000,15.124335,4.854206,0.045520,1.963507,2.872696,0.000680,25.580739
1403636859501666560.000000,0.000000,0.000000,15.093142,3.974035,0.040063,1.667482,2.885942,0.000588,25.275531
1403636859551666432.000000,0.000000,0.000000,15.192706,3.353408,0.066296,2.283344,3.141413,0.001460,30.439666
1403636859601666560.000000,0.000000,0.000000,14.255426,3.461186,0.061742,1.515219,2.868790,4.312909,23.875628
1403636859651666432.000000,0.000000,0.000000,12.208491,3.270763,0.048151,2.169823,3.893280,0.001128,20.974079
1403636859701666560.000000,0.000000,0.000000,14.820290,3.827423,0.062000,2.955769,4.247128,0.001464,26.729647
1403636859751666432.000000,0.000000,0.000000,17.177632,3.941441,0.051294,1.823938,2.568732,0.000498,27.307278
1403636859801666560.000000,0.000000,0.000000,12.580043,3.731139,0.048553,1.946269,3.745072,0.000571,26.594437
1403636859851666432.000000,0.000000,0.000000,13.258562,3.775545,0.083982,2.088775,3.383661,4.773580,25.050998
1403636859901666560.000000,0.000000,0.000000,12.937598,4.540731,0.064091,2.542105,3.131854,0.000563,24.461284
1403636859951666432.000000,0.000000,0.000000,13.950171,4.390057,0.053601,1.524065,4.248797,0.000667,24.759935
1403636860001666560.000000,0.000000,0.000000,13.747277,4.307409,0.085237,1.789087,3.422415,0.001106,26.286417
1403636860051666432.000000,0.000000,0.000000,13.704292,5.724285,0.065012,1.249184,2.991851,0.000649,30.360261
1403636860101666560.000000,0.000000,0.000000,15.497163,4.242933,0.041241,1.047258,3.492405,4.669748,27.726771
1403636860151666432.000000,0.000000,0.000000,13.482488,6.727501,0.049850,3.912373,4.877977,0.001331,29.680312
1403636860201666560.000000,0.000000,0.000000,15.616021,4.144664,0.037054,1.252761,2.707769,0.000785,26.207880
1403636860251666432.000000,0.000000,0.000000,14.795448,4.654207,0.056781,1.197611,3.514087,0.000660,27.091152
1403636860301666560.000000,0.000000,0.000000,14.177200,4.404266,0.086554,0.838141,2.878507,0.000508,31.053550
1403636860351666432.000000,0.000000,0.000000,15.441779,3.977947,0.059033,0.985439,3.140921,3.425861,27.135371
1403636860401666560.000000,0.000000,0.000000,13.967574,3.696495,0.052787,1.493510,2.763973,0.000688,25.764141
1403636860451666432.000000,0.000000,0.000000,13.589969,3.496712,0.085250,1.399689,3.370731,0.000498,24.596058
1403636860501666560.000000,0.000000,0.000000,14.427107,3.323351,0.071854,1.309509,2.712221,0.001346,24.054071
1403636860551666432.000000,0.000000,0.000000,15.115919,3.334005,0.060379,1.331061,2.831069,0.000380,30.245727
1403636860601666560.000000,0.000000,0.000000,13.655338,3.585145,0.157150,1.232890,3.877808,3.663135,28.353821
1403636860651666432.000000,0.000000,0.000000,13.219586,3.024600,0.065014,2.228051,2.994123,0.001468,22.249593
1403636860701666560.000000,0.000000,0.000000,13.634619,3.057295,0.065353,1.793635,3.550678,0.000940,23.763223
1403636860751666432.000000,0.000000,0.000000,13.375239,2.038068,0.054755,1.279692,3.029382,0.000526,20.955503
1403636860801666560.000000,0.000000,0.000000,12.442440,3.700780,0.066132,1.482519,3.158244,0.000433,28.285785
1403636860851666432.000000,0.000000,0.000000,12.878672,2.268248,0.047502,1.558399,4.056723,6.906861,21.395721
1403636860901666560.000000,0.000000,0.000000,14.395610,2.585250,0.059535,0.042704,6.560702,0.113271,23.919705
1403636860951666432.000000,0.000000,0.000000,12.206524,4.792747,0.065983,0.091865,5.583103,0.043352,23.470449
1403636861001666560.000000,0.000000,0.000000,14.050729,3.194369,0.062613,0.052633,4.880653,5.715193,23.816623
1403636861051666432.000000,0.000000,0.000000,12.828729,2.994119,0.075311,0.076316,8.119545,0.123762,26.735897
1403636861101666560.000000,0.000000,0.000000,10.705712,3.398104,0.051659,0.107727,5.564863,0.041837,21.648011
1403636861151666432.000000,0.000000,0.000000,12.442551,3.123263,0.083936,0.055697,7.187270,0.056609,23.566045
1403636861201666560.000000,0.000000,0.000000,13.331485,3.101789,0.062508,0.044460,7.687162,0.056088,22.720111
1403636861251666432.000000,0.000000,0.000000,16.468740,4.625444,0.060246,0.068323,6.575976,0.067674,28.541507
1403636861301666560.000000,0.000000,0.000000,12.290491,4.473999,0.067222,0.071877,7.264362,0.049823,31.570211
1403636861351666432.000000,0.000000,0.000000,14.225774,3.917704,0.054961,0.046887,8.216633,0.090620,27.270502
