#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.007082,3,1,0,740
0.002141,4,1,0,976
0.150788,5,1,0,1241
0.254905,6,1,0,1452
0.308561,7,1,0,1679
0.470017,8,1,0,1893
0.702648,9,1,0,2122
0.881710,10,1,0,2366
1.060478,0,0,0,0
55.334894,0,0,0,0
1.631173,0,0,0,0
1.646597,0,0,0,0
1.857402,3,1,0,1112
2.670330,4,1,0,1355
0.003080,5,1,0,1723
0.002139,6,1,0,1784
0.261106,7,1,0,1834
0.396533,8,1,0,2190
0.475074,9,1,0,2653
0.718109,10,1,0,3152
0.825382,0,0,0,0
0.750303,0,0,0,0
0.731514,0,0,0,0
54.653984,0,0,0,0
1.104538,0,0,0,0
0.998840,0,0,0,0
1.568463,0,0,0,0
1.607122,0,0,0,0
2.015774,0,0,0,0
1.860284,0,0,0,0
2.136034,0,0,0,0
3.032459,0,0,0,0
2.290640,0,0,0,0
4.533484,0,0,0,0
3.437928,0,0,0,0
4.004814,0,0,0,0
4.332129,0,0,0,0
3.233625,0,0,0,0
3.227604,0,0,0,0
3.389960,0,0,0,0
3.738262,0,0,0,0
3.692552,3,1,0,561
4.385303,4,1,0,742
3.256837,5,1,0,921
3.365461,6,1,0,1150
0.003209,7,1,0,1352
0.002150,8,1,0,1543
0.114960,9,1,0,1767
0.239538,10,1,0,1962
0.329622,0,0,0,0
0.581425,0,0,0,0
0.430014,3,1,0,802
0.622767,4,1,0,1054
0.883605,5,1,0,1285
52.452261,6,1,0,1535
2.160327,7,1,0,1772
1.965220,8,1,0,2030
0.003813,9,1,0,2248
0.001727,10,1,0,2510
0.304110,0,0,0,0
0.261939,0,0,0,0
0.473323,0,0,0,0
0.475726,0,0,0,0
0.610851,0,0,0,0
1.188140,3,1,0,578
1.507516,4,1,0,838
37.569193,5,1,0,1124
2.070649,6,1,0,1421
1.603533,7,1,0,1846
1.706311,8,1,0,2229
1.809465,9,1,0,2565
2.479560,10,1,0,2915
0.002441,0,0,0,0
0.002387,0,0,0,0
0.141816,0,0,0,0
0.243495,0,0,0,0
0.504991,0,0,0,0
0.409509,0,0,0,0
0.943526,0,0,0,0
0.604779,0,0,0,0
1.365894,0,0,0,0
52.690140,0,0,0,0
1.058703,0,0,0,0
1.142770,0,0,0,0
1.173567,0,0,0,0
1.784555,0,0,0,0
1.557405,0,0,0,0
1.670562,0,0,0,0
2.318973,0,0,0,0
1.693536,0,0,0,0
1.794705,0,0,0,0
2.200458,0,0,0,0
2.363476,0,0,0,0
3.656530,0,0,0,0
3.256454,0,0,0,0
2.342590,0,0,0,0
3.220524,0,0,0,0
5.370206,0,0,0,0
2.762957,0,0,0,0
4.454236,0,0,0,0
3.186632,0,0,0,0
4.820504,0,0,0,0
2.296224,0,0,0,0
3.941519,0,0,0,0
4.489750,0,0,0,0
3.710076,0,0,0,0
3.968627,0,0,0,0
4.618616,0,0,0,0
5.496800,0,0,0,0
2.174151,0,0,0,0
3.988298,0,0,0,0
4.566942,0,0,0,0
4.499037,0,0,0,0
2.209981,0,0,0,0
2.178906,0,0,0,0
3.310929,0,0,0,0
2.842688,0,0,0,0
3.608936,0,0,0,0
2.709638,0,0,0,0
2.513647,0,0,0,0
2.735431,0,0,0,0
3.310420,0,0,0,0
5.245368,0,0,0,0
3.124692,0,0,0,0
5.850462,0,0,0,0
6.016391,0,0,0,0
4.597907,0,0,0,0
4.846288,0,0,0,0
3.926094,0,0,0,0
5.743036,0,0,0,0
2.500051,0,0,0,0
3.443790,0,0,0,0
2.428591,0,0,0,0
3.490308,0,0,0,0
3.933808,0,0,0,0
3.952293,0,0,0,0
3.582075,0,0,0,0
3.151765,0,0,0,0
4.518573,0,0,0,0
2.027643,0,0,0,0
2.147647,0,0,0,0
3.375232,0,0,0,0
3.273903,0,0,0,0
4.896694,0,0,0,0
4.206709,0,0,0,0
4.069072,0,0,0,0
5.304852,0,0,0,0
5.337334,0,0,0,0
4.778067,0,0,0,0
5.092403,0,0,0,0
4.625520,0,0,0,0
5.858946,0,0,0,0
6.366792,0,0,0,0
5.098082,0,0,0,0
4.646975,0,0,0,0
5.797332,0,0,0,0
6.466889,0,0,0,0
7.031547,0,0,0,0
6.347974,0,0,0,0
7.216555,0,0,0,0
7.623489,0,0,0,0
7.237770,0,0,0,0
7.120573,0,0,0,0
11.318442,0,0,0,0
8.175209,0,0,0,0
8.494270,0,0,0,0
10.186878,0,0,0,0
10.415603,0,0,0,0
7.759431,0,0,0,0
7.526705,0,0,0,0
6.226790,0,0,0,0
8.828230,0,0,0,0
9.027998,0,0,0,0
9.813895,0,0,0,0
8.300871,0,0,0,0
6.689243,0,0,0,0
9.093822,0,0,0,0
6.178417,0,0,0,0
6.857557,0,0,0,0
6.016910,0,0,0,0
7.190852,0,0,0,0
9.505726,0,0,0,0
10.877500,0,0,0,0
8.849702,0,0,0,0
9.127522,0,0,0,0
12.161808,0,0,0,0
13.621117,0,0,0,0
13.873240,0,0,0,0
13.683984,0,0,0,0
12.409534,0,0,0,0
13.657090,0,0,0,0
16.281293,0,0,0,0
15.026230,0,0,0,0
14.013156,0,0,0,0
13.693424,0,0,0,0
15.267890,0,0,0,0
12.286982,0,0,0,0
11.999739,0,0,0,0
11.323368,0,0,0,0
8.242565,0,0,0,0
6.215179,0,0,0,0
10.921484,0,0,0,0
10.526292,0,0,0,0
7.649775,0,0,0,0
12.313089,0,0,0,0
12.617870,0,0,0,0
9.812357,0,0,0,0
12.509385,0,0,0,0
12.730590,0,0,0,0
16.088424,0,0,0,0
15.894853,0,0,0,0
15.453479,0,0,0,0
14.248160,0,0,0,0
17.443354,0,0,0,0
16.481738,0,0,0,0
15.951207,0,0,0,0
12.773489,0,0,0,0
21.943900,0,0,0,0
17.676532,0,0,0,0
17.442767,0,0,0,0
18.069552,0,0,0,0
19.728698,0,0,0,0
15.036465,0,0,0,0
22.700665,0,0,0,0
17.984029,0,0,0,0
19.498002,0,0,0,0
14.391334,0,0,0,0
22.061774,0,0,0,0
20.129633,0,0,0,0
18.696899,0,0,0,0
16.870523,0,0,0,0
19.627240,0,0,0,0
15.058756,0,0,0,0
18.633894,0,0,0,0
13.857949,0,0,0,0
19.568049,0,0,0,0
