#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.562990,0.022174,0.220120,0.005878,0.005878,4.815382
7.115935,0.121888,3.449229,0.002995,0.002995,10.693240
4.420885,0.041990,0.518260,0.132645,0.132645,10.143944
5.838051,0.065096,0.697348,0.206521,0.206521,11.286074
5.871908,0.024110,1.550323,0.310433,0.310433,15.210660
5.913821,0.017624,1.083310,0.360736,0.360736,14.301707
5.113211,0.019190,1.826910,0.479748,0.479748,13.978568
6.252762,0.015551,1.959568,0.671906,0.671906,16.965092
5.994719,0.024775,2.787139,1.027718,1.027718,18.313073
7.316463,0.015250,2.157583,34.490349,34.490349,55.029883
5.938664,0.027069,3.590340,1.613302,1.613302,30.866327
7.056043,0.008751,3.013162,1.686448,1.686448,34.618947
6.994708,0.013010,4.005051,2.263971,2.263971,37.773447
6.785118,0.013518,4.616449,1.781761,1.781761,36.499479
6.065733,0.010390,5.772984,2.868402,2.868402,44.556493
7.371438,0.044850,17.856945,1.681801,1.681801,60.822412
8.248268,0.073057,20.733352,2.820400,2.820400,75.425921
7.969975,0.203182,22.390998,2.088400,2.088400,76.043923
8.065007,0.163636,25.859730,2.800636,2.800636,82.018605
7.377944,0.208057,19.023116,2.249428,2.249428,81.899888
6.389647,0.148332,16.257503,2.905919,2.905919,80.586792
8.290813,0.119915,14.388782,3.187314,3.187314,74.096233
7.283170,0.125146,11.104855,3.398873,3.398873,72.648254
6.673459,0.071236,13.174893,2.810305,2.810305,73.833713
7.512141,0.084249,18.783599,4.081773,4.081773,85.403770
7.193163,0.115614,31.181498,3.516751,3.516751,96.723171
7.098718,0.147663,24.286636,4.600007,4.600007,95.320272
7.882743,0.204657,29.119977,4.697115,4.697115,94.496201
7.119302,0.185720,17.442995,3.655488,3.655488,84.270311
7.371849,0.152991,19.387361,3.272900,3.272900,83.480460
7.222129,0.184830,12.068187,3.019091,3.019091,83.512326
