#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.526115,0.103775,1.058369,0.008867,0.008867,7.704529
6.194999,0.120352,1.695318,0.001642,0.001642,8.013704
8.145993,0.361580,3.911336,0.258011,0.258011,27.306366
8.372828,0.253059,5.269499,0.555523,0.555523,30.445494
7.663876,0.213876,10.655780,0.673738,0.673738,42.339289
7.973810,0.278444,14.471652,0.612274,0.612274,53.128121
9.691783,0.380086,16.743450,0.772479,0.772479,57.079990
10.213953,0.353206,17.567171,0.990796,0.990796,64.065955
9.424422,0.360306,16.530644,0.997660,0.997660,61.943553
9.805087,0.261129,16.531084,56.303682,56.303682,125.645022
10.285881,0.150630,16.276204,1.019416,1.019416,64.174210
10.186536,0.294778,28.874612,0.927145,0.927145,68.323001
10.209731,0.187365,20.940945,1.198132,1.198132,66.237514
11.713834,0.328283,23.184852,1.401681,1.401681,79.520999
6.525599,0.145615,13.117138,1.295206,1.295206,69.726944
11.539056,0.228346,22.506204,2.294136,2.294136,79.168360
6.473694,0.135050,16.215746,1.924294,1.924294,68.720429
6.310839,0.095624,12.951899,2.121885,2.121885,76.088380
7.474802,0.089320,13.388633,2.344143,2.344143,72.200864
6.901004,0.096040,11.406207,2.513650,2.513650,70.306575
9.043640,0.123441,31.235960,2.568008,2.568008,104.908167
13.287818,0.220396,38.969395,3.209567,3.209567,279.739952
14.916714,0.240075,33.637649,3.455219,3.455219,123.199424
11.101442,0.154592,25.506242,3.983871,3.983871,97.165030
7.579623,0.094627,14.181723,3.314629,3.314629,91.847727
6.842642,0.110347,12.976670,3.354563,3.354563,77.599743
6.221553,0.096695,11.861346,3.249939,3.249939,81.297983
8.902207,0.211919,25.204994,2.686656,2.686656,113.150463
6.192198,0.137616,12.776240,3.773698,3.773698,81.369494
11.596252,0.253938,24.329456,2.962183,2.962183,107.191224
11.613065,0.269902,38.460043,4.446045,4.446045,130.514974
6.771955,0.173787,17.473340,3.803447,3.803447,96.251905
6.580813,0.191929,14.640465,5.171373,5.171373,98.763142
11.273498,0.339127,36.049529,4.375668,4.375668,132.521830
11.824613,0.339694,35.570186,2.727011,2.727011,128.353859
11.575365,0.328184,31.756066,3.881022,3.881022,127.664612
7.505439,0.108594,14.329845,5.176703,5.176703,89.250410
6.612537,0.105522,15.456524,3.986424,3.986424,87.018290
6.816601,0.114975,15.482081,5.111802,5.111802,87.537941
6.495625,0.122295,14.496616,3.909790,3.909790,81.169244
6.962077,0.110244,13.651398,2.550240,2.550240,78.531880
6.731886,0.129239,14.988271,5.109824,5.109824,87.886899
6.942723,0.153570,14.414054,2.539179,2.539179,81.245344
12.403170,0.237745,32.693514,2.655253,2.655253,123.129575
13.217376,0.263628,31.824900,3.628485,3.628485,125.728325
13.267606,0.295564,34.142620,3.017467,3.017467,127.011231
12.980432,0.276101,24.506595,3.711644,3.711644,118.494680
12.640134,0.229852,35.845568,3.648669,3.648669,127.519556
11.031036,0.196692,27.441567,4.758775,4.758775,124.994319
8.760651,0.215882,25.111344,3.922001,3.922001,105.033331
6.116573,0.132732,18.228369,5.278299,5.278299,98.627122
7.906372,0.135216,17.270983,4.593427,4.593427,93.851772
5.691285,0.139533,17.219782,4.026941,4.026941,92.832652
6.368980,0.159363,17.330721,4.753123,4.753123,95.349730
6.254780,0.124241,16.801043,4.123840,4.123840,93.236422
7.517329,0.130669,16.427894,4.369167,4.369167,96.865706
5.569499,0.139571,15.639533,3.112852,3.112852,93.012055
10.859512,0.326937,33.851626,4.332562,4.332562,123.090452
10.845354,0.171178,30.625921,3.816695,3.816695,111.484793
6.183956,0.122841,17.292949,3.416240,3.416240,92.859659
8.367280,0.123018,18.024097,4.587686,4.587686,102.163216
6.532643,0.126978,17.128078,4.060824,4.060824,92.573162
13.246266,0.358923,40.314132,3.575919,3.575919,133.765718
14.487255,0.309394,34.387971,3.865391,3.865391,126.066213
10.348769,0.316101,19.640284,6.475464,6.475464,106.456287
6.512936,0.159639,17.729560,7.384118,7.384118,100.108572
6.558179,0.134224,16.010421,3.570924,3.570924,90.917756
8.205719,0.129689,20.079240,5.940511,5.940511,100.501354
6.008106,0.136376,19.256670,4.422840,4.422840,93.367706
6.472054,0.115873,16.657317,2.950979,2.950979,86.821326
6.457374,0.132282,16.548620,6.187862,6.187862,93.901907
6.170991,0.131204,14.995645,4.304362,4.304362,254.746035
6.091267,0.170432,18.016226,4.409055,4.409055,86.068626
6.583547,0.113396,16.045809,3.245163,3.245163,86.486250
6.425268,0.148701,20.774846,3.881050,3.881050,106.741344
6.329218,0.192668,17.097077,3.956202,3.956202,92.622041
6.262693,0.167629,15.280305,3.739063,3.739063,91.035150
7.946822,0.248657,18.422048,4.476788,4.476788,97.767342
7.864315,0.137337,16.498094,3.066622,3.066622,99.031515
10.230805,0.212314,28.829775,4.650607,4.650607,115.791588
10.631537,0.226431,31.957958,3.893737,3.893737,119.488947
8.493278,0.184708,22.581638,4.724582,4.724582,106.464631
11.915758,0.346787,35.021112,3.364991,3.364991,122.341530
11.081935,0.269464,41.966363,4.567156,4.567156,129.758025
10.522103,0.255738,30.890001,4.279117,4.279117,115.842083
11.894272,0.226152,39.901798,4.003324,4.003324,127.447556
8.948002,0.156033,24.882722,3.025903,3.025903,102.901724
6.269174,0.105775,16.414889,5.150478,5.150478,87.685239
7.131774,0.113790,17.768885,3.136208,3.136208,89.504832
5.784703,0.079950,14.315481,4.854772,4.854772,82.576257
5.761717,0.100926,15.151373,3.356515,3.356515,84.413363
6.354107,0.089093,15.544346,3.087839,3.087839,85.962221
9.159109,0.167317,23.366446,4.740373,4.740373,101.215044
9.221016,0.149628,20.377062,4.643651,4.643651,97.930346
9.493289,0.168557,28.464279,2.576571,2.576571,116.464734
10.464437,0.146037,27.939573,4.358081,4.358081,120.258364
10.369059,0.095228,26.976025,3.095862,3.095862,117.263352
10.517349,0.071735,25.896116,3.740826,3.740826,115.205080
10.817083,0.062202,25.631245,3.355236,3.355236,116.454018
11.367339,0.047039,24.626678,4.203327,4.203327,125.454659
11.672814,0.036919,22.324943,3.274539,3.274539,119.191669
