#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008656,3,1,0,402
0.002566,4,1,0,548
0.155457,5,1,0,666
0.192420,6,1,0,1113
0.311857,7,1,0,1655
0.338253,8,1,0,2238
0.327307,9,1,0,2590
0.668012,10,1,0,2959
0.479631,0,0,0,0
74.772695,0,0,0,0
1.550943,0,0,0,0
0.610500,0,0,0,0
1.532664,0,0,0,0
0.793399,0,0,0,0
0.793627,0,0,0,0
0.749518,0,0,0,0
1.099221,0,0,0,0
1.083461,0,0,0,0
1.318132,0,0,0,0
2.080456,0,0,0,0
2.128650,0,0,0,0
2.589550,0,0,0,0
2.679963,0,0,0,0
2.382014,0,0,0,0
2.246841,0,0,0,0
2.436775,0,0,0,0
2.494873,0,0,0,0
2.519646,0,0,0,0
2.528328,0,0,0,0
2.503399,0,0,0,0
3.275698,0,0,0,0
2.449076,0,0,0,0
3.228323,0,0,0,0
2.421744,0,0,0,0
2.080110,0,0,0,0
2.049236,0,0,0,0
2.612443,0,0,0,0
3.725638,0,0,0,0
2.372210,0,0,0,0
3.582330,0,0,0,0
3.121551,0,0,0,0
4.663246,0,0,0,0
4.208442,0,0,0,0
2.680321,0,0,0,0
4.519797,0,0,0,0
3.076600,0,0,0,0
2.661313,0,0,0,0
3.852228,0,0,0,0
3.865453,3,1,0,484
5.445273,4,1,0,619
0.003027,5,1,0,755
0.002523,6,1,0,882
0.208389,7,1,0,1013
0.666123,8,1,0,1149
0.519590,9,1,0,1302
0.594142,10,1,0,1434
0.894605,0,0,0,0
0.762322,0,0,0,0
0.427074,0,0,0,0
61.765479,0,0,0,0
1.268139,3,1,0,660
0.654228,4,1,0,1053
0.685369,5,1,0,1362
0.789840,6,1,0,2064
0.001885,7,1,0,2726
0.003253,8,1,0,3240
0.471609,9,1,0,3837
0.409045,10,1,0,4520
0.915165,0,0,0,0
0.962281,0,0,0,0
0.693164,0,0,0,0
0.943018,0,0,0,0
1.396548,0,0,0,0
