#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638518077829376.000000,0.000000,0.000000,15.960583,2.424042,0.002269,7.726239,1.944411,0.001865,21.776679
1403638518127829504.000000,0.000000,0.000000,14.087538,2.266373,0.048831,2.001713,1.999566,0.001009,19.178998
1403638518177829376.000000,0.000000,0.000000,14.627667,3.112756,0.054864,1.786351,1.707246,0.000843,21.173218
1403638518227829504.000000,0.000000,0.000000,14.075718,3.613121,0.064189,0.647665,0.639110,0.000545,20.659625
1403638518277829376.000000,0.000000,0.000000,14.545940,5.308021,0.096729,1.305517,1.484830,0.497480,22.724646
1403638518327829504.000000,0.000000,0.000000,14.498678,5.533385,0.096715,2.027956,2.481247,0.000827,23.377883
1403638518377829376.000000,0.000000,0.000000,16.780663,2.228159,0.050670,1.454757,2.355046,0.001249,22.108905
1403638518427829504.000000,0.000000,0.000000,14.922254,2.434361,0.043717,0.538798,1.139356,0.000499,20.833349
1403638518477829376.000000,0.000000,0.000000,14.860657,3.186157,0.098785,0.587073,1.132739,0.000422,21.822971
1403638518527829504.000000,0.000000,0.000000,14.844602,2.642048,0.084955,1.262802,2.703899,0.000770,20.123119
1403638518577829376.000000,0.000000,0.000000,14.532382,2.280695,0.050486,0.998064,2.409763,0.538894,19.891362
1403638518627829504.000000,0.000000,0.000000,14.463688,2.412067,0.034101,3.096035,2.284043,0.000660,19.602734
1403638518677829376.000000,0.000000,0.000000,14.985162,5.560068,0.096411,1.324007,1.502082,0.000508,23.593979
1403638518727829504.000000,0.000000,0.000000,15.944749,2.575169,0.043097,1.855092,2.729736,0.000699,21.181407
1403638518777829376.000000,0.000000,0.000000,14.828705,5.603247,0.102731,1.126534,1.481332,0.000395,24.130050
1403638518827829504.000000,0.000000,0.000000,14.510343,2.439191,0.043907,1.312863,1.808930,0.000544,19.947747
1403638518877829376.000000,0.000000,0.000000,14.359294,5.600451,0.097355,1.545496,2.206078,0.578833,23.887443
1403638518927829504.000000,0.000000,0.000000,15.161708,2.234696,0.067237,2.297892,3.074995,0.000568,19.935527
1403638518977829376.000000,0.000000,0.000000,14.554951,5.850939,0.113211,4.086210,4.938635,0.000664,24.012170
1403638519027829504.000000,0.000000,0.000000,15.781409,4.807232,0.044027,3.951304,3.811352,0.000583,23.665242
1403638519077829376.000000,0.000000,0.000000,14.971775,5.643010,0.105904,2.298045,2.928862,0.000500,23.634407
1403638519127829504.000000,0.000000,0.000000,15.331468,5.878872,0.096028,2.410982,2.950957,0.000452,24.165271
1403638519177829376.000000,0.000000,0.000000,14.328412,2.354224,0.040142,3.471136,4.042497,0.414158,20.081078
1403638519227829504.000000,0.000000,0.000000,14.979306,2.439304,0.041530,3.024408,2.831534,0.000842,20.093797
1403638519277829376.000000,0.000000,0.000000,14.314672,5.597227,0.092782,2.440977,2.904749,0.000621,23.677776
1403638519327829504.000000,0.000000,0.000000,18.103725,5.846149,0.095305,2.486416,2.871020,0.000492,27.123310
1403638519377829376.000000,0.000000,0.000000,14.127076,6.054988,0.096082,2.304349,3.313928,0.000573,24.049225
1403638519427829504.000000,0.000000,0.000000,14.184376,2.306779,0.044166,2.548844,3.238760,0.259185,19.904874
1403638519477829376.000000,0.000000,0.000000,14.012294,5.621367,0.098001,2.721658,3.143574,0.000525,23.402422
1403638519527829504.000000,0.000000,0.000000,14.821531,5.665989,0.100485,2.289622,3.449316,0.000503,23.832630
1403638519577829376.000000,0.000000,0.000000,14.364207,2.225157,0.048772,2.054762,4.173497,0.000665,19.584008
1403638519627829504.000000,0.000000,0.000000,14.211177,5.851855,0.078641,1.951227,3.567981,0.000496,23.691370
1403638519677829376.000000,0.000000,0.000000,14.531434,6.682686,0.095644,2.470715,3.514459,0.274371,24.950921
1403638519727829504.000000,0.000000,0.000000,14.958075,2.606394,0.035538,4.241672,4.817853,0.000680,20.576038
1403638519777829376.000000,0.000000,0.000000,14.224708,5.746154,0.080849,2.607518,3.643761,0.000554,23.128351
1403638519827829504.000000,0.000000,0.000000,15.183644,6.190632,0.080838,2.165143,3.765776,0.000765,24.743382
1403638519877829376.000000,0.000000,0.000000,14.873871,2.696081,0.037119,2.036249,4.240238,0.000630,20.681855
1403638519927829504.000000,0.000000,0.000000,14.745415,2.170385,0.042526,1.528269,3.548425,0.198419,20.088606
1403638519977829376.000000,0.000000,0.000000,14.065903,4.334989,0.058787,1.591552,3.358719,0.000563,22.203733
1403638520027829504.000000,0.000000,0.000000,13.827529,6.308615,0.079448,2.633438,5.705821,0.000703,23.321234
1403638520077829376.000000,0.000000,0.000000,14.929772,2.551038,0.037101,1.132772,3.296467,0.000525,20.877972
1403638520127829504.000000,0.000000,0.000000,16.698985,2.303713,0.037326,1.597645,4.521887,0.000702,21.722774
1403638520177829376.000000,0.000000,0.000000,14.426392,2.331580,0.038566,1.127501,3.116660,0.194842,20.261866
1403638520227829504.000000,0.000000,0.000000,15.490762,2.575624,0.045027,1.823995,3.818121,0.000520,21.336865
