#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008678,3,1,0,954
0.003089,4,1,0,1145
0.001597,5,1,0,1056
0.001887,6,1,0,990
0.001606,7,1,0,1197
0.320405,8,1,0,1628
0.494509,9,1,0,2015
0.725744,10,1,0,2279
0.693827,0,0,0,0
0.854980,0,0,0,0
1.512573,0,0,0,0
1.418218,0,0,0,0
31.787775,0,0,0,0
0.914254,0,0,0,0
0.906362,0,0,0,0
1.377061,0,0,0,0
1.381276,0,0,0,0
0.934050,0,0,0,0
0.932160,0,0,0,0
1.200148,0,0,0,0
2.029725,0,0,0,0
1.626832,0,0,0,0
1.773230,0,0,0,0
1.792492,0,0,0,0
2.286408,0,0,0,0
2.123727,0,0,0,0
2.182833,0,0,0,0
2.380529,0,0,0,0
2.002923,0,0,0,0
1.880796,0,0,0,0
2.132091,0,0,0,0
1.787339,0,0,0,0
1.479514,0,0,0,0
1.622990,0,0,0,0
2.531203,0,0,0,0
2.007114,0,0,0,0
3.065515,0,0,0,0
1.993803,0,0,0,0
1.921188,0,0,0,0
2.475977,0,0,0,0
1.890480,0,0,0,0
2.314429,0,0,0,0
1.967128,0,0,0,0
3.253126,0,0,0,0
2.024137,0,0,0,0
3.828941,0,0,0,0
2.685112,0,0,0,0
2.368807,0,0,0,0
2.552491,0,0,0,0
2.688379,0,0,0,0
2.577513,0,0,0,0
3.269963,0,0,0,0
3.948079,0,0,0,0
2.089579,0,0,0,0
3.090717,0,0,0,0
2.581853,0,0,0,0
2.586942,3,1,0,340
2.686576,4,1,0,484
3.157762,5,1,0,603
2.078890,6,1,0,745
2.246129,7,1,0,867
0.003341,8,1,0,1017
0.003065,9,1,0,1222
0.002891,10,1,0,1358
0.123320,3,1,0,413
0.156378,4,1,0,519
0.197330,3,3,0,530
0.281083,2,4,0,247
0.713161,2,5,0,261
0.887695,3,5,0,365
1.147459,4,5,0,445
44.726170,3,1,0,505
0.002915,3,1,0,418
0.001683,3,2,0,436
0.242805,6,1,0,545
0.179439,7,1,0,638
0.193374,7,2,0,684
0.183768,6,3,0,605
0.293741,8,2,0,625
0.173250,0,0,0,0
0.389892,0,0,0,0
0.002634,0,0,0,0
0.003025,0,0,0,0
0.002899,0,0,0,0
0.003048,0,0,0,0
0.003058,0,0,0,0
0.003746,0,0,0,0
0.003071,0,0,0,0
0.003031,0,0,0,0
0.003408,0,0,0,0
0.002955,0,0,0,0
0.270894,0,0,0,0
0.140921,0,0,0,0
0.278725,0,0,0,0
0.214941,0,0,0,0
0.200811,0,0,0,0
0.382515,0,0,0,0
0.464845,0,0,0,0
18.524466,0,0,0,0
0.430319,0,0,0,0
0.309399,0,0,0,0
0.327189,0,0,0,0
0.581669,0,0,0,0
0.378659,0,0,0,0
0.474498,0,0,0,0
0.437455,0,0,0,0
0.770797,0,0,0,0
