#Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
0.000000,0.000000,17.901740,2.196256,0.008048,5.288622,1.920893,0.001260,22.311049
0.000000,0.000000,15.998163,2.126206,0.039800,1.632546,1.382921,0.000259,20.444088
0.000000,0.000000,16.830457,2.569557,0.042806,1.398122,1.011306,0.000285,21.679029
0.000000,0.000000,18.026925,2.693429,0.042313,1.346136,1.214181,0.000279,23.221515
0.000000,0.000000,18.974264,2.512649,0.041636,1.378379,1.319003,0.000225,24.226447
0.000000,0.000000,18.104484,2.514837,0.045258,1.259676,1.349333,0.129977,30.530715
0.000000,0.000000,17.501458,2.495848,0.069433,1.679615,1.726803,0.000449,25.552952
0.000000,0.000000,16.367119,4.232298,0.037228,1.525256,1.153985,0.000261,25.362943
0.000000,0.000000,16.047149,2.054887,0.038848,1.532270,1.573001,0.000280,23.272735
0.000000,0.000000,17.916488,2.120139,0.037416,1.393894,0.945574,0.000285,25.011202
0.000000,0.000000,16.160617,2.037198,0.035897,2.081499,2.335987,0.000348,23.373894
0.000000,0.000000,18.449666,2.539942,0.047198,4.313533,2.274667,0.142646,26.907572
0.000000,0.000000,17.459476,2.108593,0.036918,1.983271,1.765652,0.000309,24.931576
0.000000,0.000000,16.248804,2.550838,0.044394,1.683337,1.550806,0.000348,24.412682
0.000000,0.000000,16.281434,1.996862,0.036486,3.586692,3.959292,0.000418,23.177144
0.000000,0.000000,21.870862,3.163633,0.052765,1.702079,1.666254,0.000268,31.906840
0.000000,0.000000,17.925567,6.174938,0.121422,4.279665,3.360909,0.348502,33.444564
0.000000,0.000000,17.313312,2.535871,0.046186,1.521042,1.332460,0.000434,26.100596
0.000000,0.000000,17.038995,2.556946,0.037562,1.602172,1.142492,0.000295,25.619779
0.000000,0.000000,16.820324,6.170502,0.105346,1.848595,1.706739,0.000251,33.440519
0.000000,0.000000,17.279077,2.528670,0.043727,4.255741,3.718620,0.000723,25.539844
0.000000,0.000000,16.519442,6.262887,0.104122,1.538788,1.150171,0.131030,33.543961
0.000000,0.000000,16.141217,2.589729,0.040962,4.295123,3.620094,0.000701,24.035503
0.000000,0.000000,18.627809,2.099990,0.038196,3.140413,4.023397,0.000737,25.774844
0.000000,0.000000,17.170475,2.547142,0.043863,5.066099,3.535561,0.000680,26.100233
0.000000,0.000000,16.963604,6.191837,0.101433,1.799238,1.414151,0.000308,34.651621
0.000000,0.000000,16.253685,2.996462,0.037278,4.034557,3.623744,0.329603,24.289526
0.000000,0.000000,17.213761,6.116528,0.107003,1.604215,1.485757,0.000386,34.679864
0.000000,0.000000,17.573209,6.311177,0.045386,4.633767,3.679681,0.000617,34.150867
0.000000,0.000000,16.168935,6.180178,0.103241,3.979393,3.286397,0.000407,33.681380
0.000000,0.000000,16.611738,2.477465,0.045807,1.377608,1.434369,0.000272,25.401211
0.000000,0.000000,16.220610,6.122335,0.100043,1.734411,1.530571,0.147979,32.968159
0.000000,0.000000,17.441169,2.464426,0.047179,1.858396,1.670421,0.000271,25.786775
0.000000,0.000000,17.025919,6.255903,0.104992,5.033837,2.716164,0.000347,34.638000
0.000000,0.000000,16.261494,5.836715,0.101747,4.525232,3.241779,0.000456,31.888050
0.000000,0.000000,17.466094,2.000784,0.036362,1.298496,1.391201,0.000245,24.604867
0.000000,0.000000,16.976290,2.481176,0.044138,4.390854,4.254505,0.330994,25.160795
0.000000,0.000000,17.441280,2.606290,0.046163,4.772641,3.167046,0.000459,25.983344
0.000000,0.000000,17.868339,6.196290,0.114604,1.450641,1.269301,0.000295,34.472548
0.000000,0.000000,16.956654,6.030404,0.103361,1.912445,1.544155,0.000245,33.358226
0.000000,0.000000,15.978347,2.031842,0.037119,1.658943,1.473652,0.000314,23.375281
0.000000,0.000000,16.815017,6.102374,0.104112,1.527072,1.174581,0.137011,34.697865
0.000000,0.000000,17.694444,6.210905,0.098782,4.777047,3.688112,0.000591,34.517182
0.000000,0.000000,17.916022,2.138814,0.037740,1.823767,1.658851,0.000297,25.151169
0.000000,0.000000,16.880708,2.582186,0.044262,1.554061,1.674688,0.000283,25.169263
0.000000,0.000000,16.003252,2.156128,0.036685,1.293812,1.237223,0.000218,23.759621
0.000000,0.000000,16.421763,5.264454,0.036026,1.287849,1.518463,0.137006,26.897410
0.000000,0.000000,20.892421,4.114843,0.084961,0.021861,2.613851,0.026801,36.375185
0.000000,0.000000,17.010645,2.568841,0.044549,0.016652,2.642569,0.024875,25.729656
0.000000,0.000000,16.171291,2.309469,0.041769,0.016425,3.532214,0.023631,24.761705
0.000000,0.000000,16.327187,2.026700,0.035980,0.030711,7.814290,0.567162,23.213190
0.000000,0.000000,16.011746,2.069849,0.035947,0.042511,6.349255,0.056128,23.980004
