#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.745695,0.021777,0.204628,0.005803,0.005803,4.982762
7.368683,0.073641,0.990350,0.003102,0.003102,8.438363
7.310367,0.091708,1.264582,0.321462,0.321462,19.414533
7.697607,0.096173,1.752705,0.517215,0.517215,22.445625
7.877330,0.034749,2.200702,0.691800,0.691800,22.616076
7.804009,0.026161,2.658431,0.911692,0.911692,27.987558
8.190578,0.027359,3.065878,1.171167,1.171167,27.251674
8.356952,0.024123,3.757134,1.745848,1.745848,40.421906
8.726601,0.030917,4.484426,2.020958,2.020958,46.473234
5.156673,0.015483,1.972722,46.392820,46.392820,61.319385
9.201326,0.031981,6.184426,2.562275,2.562275,55.286310
5.446554,0.020678,0.220158,0.001977,0.001977,5.690393
6.621476,0.126167,1.225608,0.003285,0.003285,7.978417
6.074398,0.148751,1.742948,0.098457,0.098457,15.804171
4.959430,0.132669,4.805485,0.308285,0.308285,18.548139
7.449122,0.235565,10.389714,0.400043,0.400043,39.908449
8.383121,0.178416,8.147288,0.346270,0.346270,33.486104
5.510532,0.179773,7.486226,0.866102,0.866102,32.341281
8.168205,0.309133,14.846286,1.083002,1.083002,59.652845
6.541156,0.094928,15.841171,0.845928,0.845928,56.190330
9.775229,0.205138,24.594483,53.751179,53.751179,113.606508
8.536324,0.162511,15.995510,1.073991,1.073991,55.913543
9.820602,0.295718,31.577797,0.926373,0.926373,68.061391
10.738847,0.230461,18.010294,1.169301,1.169301,67.330918
10.413819,0.235538,26.665271,1.029853,1.029853,71.809713
6.854449,0.148556,13.036265,1.249043,1.249043,65.128794
7.918484,0.132514,15.821743,1.172618,1.172618,62.566820
10.258385,0.122385,25.094660,1.650807,1.650807,89.469444
7.243432,0.107821,13.091335,1.791437,1.791437,68.926943
11.425771,0.196406,41.827088,2.003217,2.003217,114.891879
12.538402,0.352153,37.999792,2.384441,2.384441,121.891319
12.260040,0.235088,32.889284,2.356955,2.356955,112.183246
6.428944,0.104444,10.175082,2.701226,2.701226,68.116944
5.611520,0.072571,8.767088,2.508854,2.508854,65.263464
