#Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
0.000000,0.000000,9.151990,1.244101,0.002261,5.846213,0.740149,0.001998,12.361552
0.000000,0.000000,9.451237,1.101852,0.042257,0.844721,0.725895,0.000520,12.990885
0.000000,0.000000,8.486019,1.083153,0.039232,0.370180,0.334746,0.000453,11.866116
0.000000,0.000000,10.304799,1.803887,0.058354,0.648772,0.856108,0.000654,14.583090
0.000000,0.000000,8.870271,0.893699,0.035793,0.754991,0.836426,0.790314,11.956256
0.000000,0.000000,9.429981,1.162530,0.041389,1.176660,0.826951,0.000627,13.329032
0.000000,0.000000,10.423208,1.127738,0.040927,0.506858,0.508257,0.000372,13.929711
0.000000,0.000000,10.481991,2.415834,0.090571,0.952461,0.845191,0.000804,16.252128
0.000000,0.000000,9.688245,0.950407,0.036142,0.294860,0.462854,0.000327,13.721407
0.000000,0.000000,9.946203,1.016525,0.038292,0.369689,0.579774,1.430387,13.226595
0.000000,0.000000,10.458792,0.967971,0.035773,0.918935,0.789702,0.000379,13.588242
0.000000,0.000000,10.527943,0.976329,0.037593,0.764914,0.972188,0.000330,14.121209
0.000000,0.000000,8.924450,0.875803,0.032669,0.630143,0.874175,0.000366,12.436614
0.000000,0.000000,9.662791,1.162775,0.043982,0.800470,1.044336,0.000409,13.854471
0.000000,0.000000,9.167587,0.997556,0.034809,1.527578,2.409937,2.029862,12.741547
0.000000,0.000000,9.857886,0.983075,0.035548,1.361488,1.105484,0.000366,13.113839
0.000000,0.000000,9.062076,2.684116,0.087476,0.972505,1.166495,0.000568,14.725780
0.000000,0.000000,9.742645,0.977882,0.036741,1.900997,2.619565,0.000714,13.394455
0.000000,0.000000,8.768732,0.897065,0.034078,0.610011,1.027788,0.000390,11.978817
0.000000,0.000000,9.822567,1.104548,0.040292,0.634153,1.311700,1.341841,13.146974
0.000000,0.000000,8.892173,0.948920,0.034383,3.288893,2.762342,0.000701,12.597068
0.000000,0.000000,9.277444,1.124091,0.034622,2.901504,3.206299,0.000663,13.089745
0.000000,0.000000,9.198449,2.753332,0.089600,2.604032,3.731761,0.000597,15.061427
0.000000,0.000000,9.215065,1.547882,0.042457,1.057842,1.506387,0.000391,13.829836
0.000000,0.000000,9.029824,1.036280,0.036642,1.188369,1.545960,2.427525,12.990703
0.000000,0.000000,8.943783,2.340812,0.085244,2.250707,1.851505,0.000550,14.293917
0.000000,0.000000,8.974522,1.128039,0.042345,4.195017,4.167764,0.000479,12.470020
0.000000,0.000000,9.982503,2.489145,0.087202,1.921665,2.114078,0.000422,15.509043
0.000000,0.000000,8.988012,2.187303,0.088613,1.726931,1.962213,0.000357,14.305046
0.000000,0.000000,8.879145,2.294453,0.089880,2.157873,2.708721,2.875496,13.718813
0.000000,0.000000,10.600995,1.066496,0.043207,6.318949,7.813208,0.000412,14.766353
0.000000,0.000000,8.117006,1.104872,0.034882,7.758062,6.877295,0.000604,12.097896
0.000000,0.000000,10.543622,2.375468,0.088883,4.792523,5.201476,0.000486,17.389236
0.000000,0.000000,9.335339,1.984960,0.094573,3.252541,3.592738,0.000365,20.888163
0.000000,0.000000,8.860184,2.395132,0.136179,3.255309,3.305945,1.432438,15.682711
0.000000,0.000000,10.867216,1.214912,0.043944,4.961079,5.415988,0.000402,15.177607
0.000000,0.000000,9.442495,2.496625,0.094006,3.387381,3.634953,0.000373,16.150097
0.000000,0.000000,10.465899,2.829798,0.107050,3.281078,3.871054,0.000385,18.654147
0.000000,0.000000,11.079257,3.398031,0.091424,3.578832,4.900147,0.000485,19.662146
0.000000,0.000000,9.329168,2.172443,0.040646,3.662687,6.629519,1.403404,14.789419
