#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008585,3,1,0,795
0.002692,4,1,0,1122
0.133617,5,1,0,1311
0.490562,6,1,0,1665
0.821569,7,1,0,1863
0.426413,8,1,0,1934
0.772874,9,1,0,2216
1.501743,10,1,0,2624
0.677983,0,0,0,0
45.883905,0,0,0,0
0.650621,0,0,0,0
0.737604,0,0,0,0
1.304373,0,0,0,0
1.158876,0,0,0,0
1.238719,0,0,0,0
1.489780,0,0,0,0
1.791681,0,0,0,0
2.002819,0,0,0,0
1.978176,0,0,0,0
2.278628,0,0,0,0
2.482655,0,0,0,0
3.061683,0,0,0,0
2.801560,0,0,0,0
2.940906,0,0,0,0
3.064556,0,0,0,0
4.221605,0,0,0,0
3.021243,0,0,0,0
3.176763,0,0,0,0
2.622364,0,0,0,0
2.851281,0,0,0,0
3.622176,0,0,0,0
3.308545,0,0,0,0
4.067878,0,0,0,0
3.534938,3,1,0,1081
3.085888,4,1,0,1331
0.001449,5,1,0,1713
0.001488,6,1,0,1968
0.854326,7,1,0,2273
0.808337,8,1,0,2649
0.557122,9,1,0,3035
1.787630,10,1,0,3331
1.924996,0,0,0,0
3.188198,0,0,0,0
1.520623,0,0,0,0
70.685259,0,0,0,0
0.930657,0,0,0,0
2.360730,0,0,0,0
2.223913,0,0,0,0
1.533464,0,0,0,0
2.101693,0,0,0,0
1.794727,0,0,0,0
1.885252,0,0,0,0
1.660131,0,0,0,0
3.943403,0,0,0,0
1.807510,0,0,0,0
2.703352,0,0,0,0
2.560942,0,0,0,0
2.470445,0,0,0,0
2.604748,0,0,0,0
3.434534,0,0,0,0
3.112732,0,0,0,0
3.443681,0,0,0,0
2.876444,0,0,0,0
2.588133,0,0,0,0
3.431367,0,0,0,0
2.836718,0,0,0,0
2.620381,0,0,0,0
2.698053,0,0,0,0
2.667996,0,0,0,0
2.610922,0,0,0,0
2.808587,0,0,0,0
2.842738,0,0,0,0
2.651156,0,0,0,0
2.512188,0,0,0,0
