#Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
0.000000,0.000000,16.867349,2.454149,0.002738,5.162461,1.924789,0.001002,21.427503
0.000000,0.000000,18.279361,2.534109,0.046916,1.626785,1.379066,0.000390,23.679076
0.000000,0.000000,17.793204,4.022244,0.051936,4.057230,2.951091,0.000647,24.330784
0.000000,0.000000,17.719696,2.594087,0.041874,1.359155,1.205308,0.000317,23.331280
0.000000,0.000000,16.900804,2.074024,0.035480,1.612395,1.552218,0.000308,21.651552
0.000000,0.000000,18.978481,2.517824,0.045304,1.211235,1.333527,0.135343,31.265811
0.000000,0.000000,17.444336,2.476126,0.070595,1.696678,1.674326,0.000340,25.597161
0.000000,0.000000,16.738866,6.032323,0.103477,1.753924,1.338032,0.000359,33.374920
0.000000,0.000000,14.714420,2.529476,0.039487,1.262712,1.297765,0.000254,22.835848
0.000000,0.000000,16.616905,2.544042,0.042805,1.723822,1.170250,0.000375,25.381458
0.000000,0.000000,16.415829,1.978905,0.035276,1.374001,1.569570,0.000233,23.892346
0.000000,0.000000,19.001342,2.536479,0.046817,1.749972,1.452211,0.153884,28.212930
0.000000,0.000000,16.872408,2.385759,0.031564,1.400953,1.441179,0.000454,24.831215
0.000000,0.000000,15.398840,2.098279,0.029916,1.738077,1.272536,0.000344,22.937777
0.000000,0.000000,16.897201,2.518403,0.035237,3.951673,4.016068,0.000700,24.695720
0.000000,0.000000,16.548210,2.103286,0.036290,1.811385,1.745597,0.000278,23.933091
0.000000,0.000000,16.962253,2.562958,0.031735,1.431504,1.163048,0.133628,25.153073
0.000000,0.000000,16.651291,1.977061,0.040395,1.829390,1.379365,0.000270,24.670291
0.000000,0.000000,16.579405,3.732999,0.046665,1.857313,1.419689,0.000326,25.815272
0.000000,0.000000,16.197563,6.200537,0.103961,1.276709,1.338283,0.000375,33.949621
0.000000,0.000000,17.332784,2.531211,0.044505,1.904923,1.754211,0.000263,25.893137
0.000000,0.000000,17.608251,2.179545,0.039172,1.515825,1.308972,0.131789,24.925752
0.000000,0.000000,18.138504,2.653474,0.049258,4.098611,3.187167,0.000757,27.227544
0.000000,0.000000,18.688929,2.653802,0.047085,4.722887,2.371056,0.000338,27.004450
0.000000,0.000000,17.023661,2.189815,0.038010,4.826931,3.964233,0.000584,24.089053
0.000000,0.000000,16.883065,2.594139,0.043041,1.482778,1.275989,0.000240,25.799223
0.000000,0.000000,17.236459,2.170828,0.034892,1.829573,1.666015,0.158166,24.576583
0.000000,0.000000,18.194014,6.183477,0.116521,1.264761,1.069506,0.000381,34.330522
0.000000,0.000000,17.269225,6.453140,0.100626,1.321903,1.480165,0.000222,33.700824
0.000000,0.000000,15.978678,6.192609,0.103628,4.787443,2.140187,0.000345,34.139884
0.000000,0.000000,15.802951,2.500865,0.043578,4.638433,4.298448,0.000500,23.448092
0.000000,0.000000,17.358744,2.597574,0.044680,4.149732,3.458469,0.335983,25.880409
0.000000,0.000000,16.511367,1.946223,0.038720,2.447188,2.172167,0.000384,23.964054
0.000000,0.000000,15.459116,2.088060,0.037722,2.026083,1.753802,0.000243,23.049894
0.000000,0.000000,17.860329,5.873536,0.100652,1.762265,1.316979,0.000297,33.217639
0.000000,0.000000,17.598234,6.138222,0.106552,1.787696,1.464190,0.000268,35.966585
0.000000,0.000000,16.598973,6.076414,0.101163,2.690476,2.040666,0.293629,34.021131
0.000000,0.000000,20.098454,4.135965,0.056449,1.848763,1.543092,0.000422,31.338677
0.000000,0.000000,17.272384,2.627706,0.044609,4.093255,3.756735,0.000357,26.008696
0.000000,0.000000,17.789211,2.483220,0.044304,4.410594,3.158265,0.000319,26.196027
0.000000,0.000000,17.239494,2.498522,0.044784,4.186639,3.205264,0.000394,25.360945
0.000000,0.000000,17.193983,6.173498,0.104031,2.916175,3.426428,0.360503,31.150320
0.000000,0.000000,17.471708,2.547557,0.045126,4.507248,3.275055,0.001183,26.247382
0.000000,0.000000,16.418903,6.066362,0.101557,4.003164,4.179429,0.000640,33.281994
0.000000,0.000000,17.520010,6.225627,0.105435,3.964820,3.849301,0.000594,34.188720
0.000000,0.000000,16.750367,6.265206,0.101567,3.743297,3.660470,0.000585,33.741628
0.000000,0.000000,16.134018,6.277476,0.101569,1.284548,1.357102,0.138418,32.713642
0.000000,0.000000,19.007592,6.017645,0.112859,0.046346,6.444819,0.064352,35.699207
0.000000,0.000000,21.415578,6.105544,0.104235,0.014664,3.109700,0.024688,38.600803
0.000000,0.000000,16.215850,6.093571,0.102337,0.016343,3.642584,0.024671,33.642592
0.000000,0.000000,17.800155,6.041942,0.103510,0.016240,3.520321,0.228398,34.213227
0.000000,0.000000,17.230429,2.375100,0.041187,0.018975,2.125054,0.017857,25.066685
0.000000,0.000000,17.218944,6.448848,0.102577,0.014911,3.406761,0.228825,33.511730
0.000000,0.000000,17.473311,3.357167,0.051828,4.165830,1.339781,0.000413,27.006015
0.000000,0.000000,17.025190,2.530464,0.046374,0.865328,1.208435,0.000349,25.614673
0.000000,0.000000,17.984817,2.635692,0.048951,0.978340,1.394930,0.000250,26.724092
0.000000,0.000000,16.967277,2.557417,0.029838,0.878511,1.228556,0.000266,24.001241
0.000000,0.000000,16.756553,2.590840,0.035875,0.944480,1.333406,0.000281,26.239891
0.000000,0.000000,17.349969,6.806770,0.060755,0.885384,1.243590,0.245968,26.607346
0.000000,0.000000,16.101570,4.343509,0.047033,1.410322,1.418749,0.000273,36.780500
0.000000,0.000000,17.274692,2.603127,0.037543,1.571094,1.855891,0.000312,22.645947
0.000000,0.000000,17.163479,2.192335,0.058214,1.216423,1.744703,0.000281,28.168984
