#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.861534,0.031548,0.309228,0.009058,0.009058,7.218999
6.044544,0.032949,0.261668,0.001392,0.001392,6.341895
6.712862,0.088312,1.010885,0.167100,0.167100,14.040205
7.129757,0.097177,1.619800,0.222531,0.222531,17.380017
4.685213,0.051066,1.101105,0.252438,0.252438,12.038142
7.167368,0.095120,13.556986,0.516400,0.516400,40.122843
7.679262,0.174143,16.299444,0.543579,0.543579,53.350076
7.887276,0.123397,11.321842,0.659352,0.659352,53.794241
8.901070,0.282537,21.124321,0.429091,0.429091,55.988920
9.230614,0.220306,24.989280,69.163609,69.163609,131.861817
4.858124,0.089610,7.767764,0.829920,0.829920,39.449004
10.512762,0.192944,15.500620,0.486559,0.486559,80.655183
5.779798,0.081417,9.577145,0.801931,0.801931,70.687351
12.081637,0.201769,26.702453,1.193919,1.193919,87.218840
7.880954,0.125646,13.191380,0.895094,0.895094,70.498016
9.819887,0.132441,29.581284,1.066528,1.066528,86.466773
8.333267,0.096879,15.996025,0.924523,0.924523,71.919925
8.662605,0.063619,16.616564,0.904573,0.904573,75.720502
7.112065,0.062586,13.349069,1.334778,1.334778,77.134153
10.546530,0.125950,18.524094,1.057011,1.057011,85.170398
8.562366,0.086203,17.089803,1.389832,1.389832,98.027718
7.083710,0.064419,16.412071,2.637717,2.637717,91.645439
7.945261,0.073851,17.091605,2.038133,2.038133,94.653853
8.392389,0.060125,15.669597,1.932373,1.932373,107.403883
16.374729,0.153609,28.420273,1.856941,1.856941,126.148044
11.140440,0.064830,23.398170,1.988130,1.988130,102.242106
15.058291,0.137368,33.990096,2.130039,2.130039,125.165012
15.831240,0.228150,45.260367,2.187338,2.187338,140.871484
7.969541,0.098191,15.625817,2.490753,2.490753,92.082606
16.259181,0.244416,40.649946,2.393909,2.393909,259.233763
8.956782,0.132073,23.005307,2.099469,2.099469,96.399475
16.024081,0.192490,41.745115,1.831424,1.831424,130.013625
7.228313,0.140532,22.897357,2.045454,2.045454,136.693351
10.467601,0.165217,40.357749,1.617646,1.617646,126.366840
9.293594,0.166899,22.290146,1.874391,1.874391,113.562734
17.123638,0.155005,23.770681,1.905488,1.905488,131.361631
9.440167,0.145070,17.809726,2.834101,2.834101,106.032947
8.148166,0.073404,16.664743,2.932637,2.932637,109.907614
8.012288,0.085516,14.627203,3.057698,3.057698,102.316643
11.456891,0.130988,24.313730,2.273205,2.273205,133.263350
9.924329,0.083223,22.398652,3.420938,3.420938,118.561721
10.809295,0.122939,21.502660,2.756182,2.756182,131.017832
9.531515,0.087989,18.251295,3.868944,3.868944,120.365810
10.513335,0.085116,20.871904,3.099705,3.099705,126.692995
9.319482,0.124988,19.575733,2.364256,2.364256,138.314854
7.873853,0.094265,16.339265,3.378889,3.378889,126.036572
7.002100,0.077866,15.371605,3.332895,3.332895,101.621430
5.931082,0.050704,12.353759,2.654743,2.654743,121.022513
6.284927,0.052794,15.480488,2.778765,2.778765,77.752782
8.483933,0.051372,17.748239,3.862684,3.862684,79.624304
6.302127,0.030597,0.327375,0.003299,0.003299,6.665302
6.492577,0.076739,0.726203,0.002945,0.002945,7.300852
5.443733,0.059586,0.437194,0.103418,0.103418,9.609743
4.507916,0.040440,0.513766,0.206932,0.206932,8.843624
6.832049,0.030057,1.407078,0.455203,0.455203,18.588900
7.565636,0.020965,1.788227,0.500364,0.500364,17.192247
6.328782,0.007623,0.969066,0.362029,0.362029,12.124996
4.735079,0.008117,0.984760,0.362733,0.362733,10.702932
5.093246,0.011372,1.066009,0.375332,0.375332,11.481818
5.580497,0.010814,1.375925,47.053724,47.053724,60.488122
6.431151,0.012743,1.497150,0.580460,0.580460,28.009470
8.603909,0.005253,4.047929,0.917039,0.917039,45.462081
9.129275,0.005987,4.210475,1.298618,1.298618,48.193121
7.007968,0.009814,1.696595,0.660257,0.660257,22.291713
9.413579,0.007134,4.297923,1.146063,1.146063,42.337985
