#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.005632,3,1,0,701
0.001972,4,1,0,904
0.172817,5,1,0,1140
0.282976,6,1,0,1357
0.416134,7,1,0,1548
0.581783,8,1,0,1736
0.708319,9,1,0,1954
0.611945,10,1,0,2140
0.813267,0,0,0,0
59.200952,0,0,0,0
1.323317,0,0,0,0
1.969144,0,0,0,0
1.620912,0,0,0,0
1.742573,0,0,0,0
2.394573,0,0,0,0
2.034492,0,0,0,0
2.787244,0,0,0,0
1.863211,0,0,0,0
1.863126,0,0,0,0
2.365158,0,0,0,0
2.539967,0,0,0,0
3.218808,0,0,0,0
3.563912,0,0,0,0
4.239145,0,0,0,0
3.126107,0,0,0,0
3.512626,0,0,0,0
3.502261,0,0,0,0
3.370404,0,0,0,0
3.491317,0,0,0,0
2.673669,0,0,0,0
3.441228,0,0,0,0
3.144639,0,0,0,0
4.195654,0,0,0,0
2.900715,0,0,0,0
3.035616,0,0,0,0
3.020736,0,0,0,0
3.737135,0,0,0,0
3.499347,0,0,0,0
3.249379,0,0,0,0
2.905409,0,0,0,0
2.677275,0,0,0,0
3.970408,0,0,0,0
2.860306,0,0,0,0
2.977666,0,0,0,0
3.387938,0,0,0,0
3.591769,0,0,0,0
3.467792,0,0,0,0
3.008158,0,0,0,0
3.626561,0,0,0,0
2.919638,3,1,0,605
3.257688,4,1,0,794
0.002025,5,1,0,1013
0.001618,6,1,0,1257
0.201349,7,1,0,1471
0.283755,8,1,0,1676
0.331692,9,1,0,1885
0.603339,10,1,0,2109
0.472999,0,0,0,0
0.650502,0,0,0,0
0.949743,0,0,0,0
37.702564,0,0,0,0
1.909603,3,1,0,860
2.189599,4,1,0,1074
1.766464,5,1,0,1317
2.418158,6,1,0,1579
0.002932,7,1,0,1857
0.002401,8,1,0,2129
0.311765,9,1,0,2352
0.337477,10,1,0,2587
0.414407,0,0,0,0
0.648138,3,1,0,561
0.751333,4,1,0,862
