#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.353638,0.016571,0.149113,0.005581,0.005581,4.529477
4.980499,0.041015,0.321731,0.001734,0.001734,5.346664
6.437786,0.071334,0.783021,0.065102,0.065102,11.958729
5.040326,0.070007,0.761929,0.091592,0.091592,9.288620
5.281900,0.155653,1.291754,0.117302,0.117302,11.166486
5.977870,0.077239,6.022291,0.303330,0.303330,20.376395
5.604994,0.099817,7.592780,0.301464,0.301464,26.011473
5.877717,0.262789,9.795878,0.434136,0.434136,34.582621
5.298709,0.168063,13.243205,0.599604,0.599604,41.434267
7.699917,0.158975,15.911712,71.588222,71.588222,121.326886
6.886222,0.109908,10.196992,0.646812,0.646812,45.502341
7.552029,0.110625,14.775185,0.553052,0.553052,61.989310
7.629665,0.146615,13.651643,0.751527,0.751527,63.524379
7.745192,0.108702,13.454264,0.982487,0.982487,65.459793
8.797780,0.123106,12.635998,1.464395,1.464395,70.608521
7.086956,0.134368,13.378542,1.104855,1.104855,74.621650
6.842073,0.123083,15.213785,1.633462,1.633462,74.992917
8.207892,0.070549,13.728243,1.567992,1.567992,86.182504
8.219964,0.069986,15.799244,1.258607,1.258607,96.484080
7.482090,0.102059,15.402667,1.696900,1.696900,100.452606
9.050078,0.091118,18.742875,1.627425,1.627425,108.351036
9.135687,0.089809,17.498046,2.519268,2.519268,120.686759
12.653103,0.093529,18.990478,2.811684,2.811684,120.443896
7.624710,0.082363,15.848883,2.584760,2.584760,101.863380
10.540859,0.086928,19.679990,2.515035,2.515035,116.626655
9.417794,0.053133,24.188483,2.912788,2.912788,129.362076
9.411946,0.132092,25.122025,2.369340,2.369340,120.987474
7.900085,0.134786,21.715460,2.302832,2.302832,123.521563
8.492189,0.115375,24.449295,3.550687,3.550687,131.373275
9.134695,0.211388,22.424364,2.495654,2.495654,123.051420
9.988003,0.189362,23.405381,2.335259,2.335259,288.939727
10.004916,0.147129,24.508207,2.625853,2.625853,126.499934
12.045495,0.250964,26.773658,3.039577,3.039577,139.141930
10.633084,0.189013,28.816294,3.217639,3.217639,131.558317
8.973167,0.141511,20.589373,4.057872,4.057872,125.768661
9.842587,0.176248,19.816690,3.376421,3.376421,124.532936
9.302644,0.140286,19.206096,2.920439,2.920439,130.204274
8.979898,0.152746,19.375622,4.024454,4.024454,128.518160
15.341665,0.238031,27.369311,3.112077,3.112077,142.226493
10.620738,0.136272,23.705779,4.150299,4.150299,144.988874
11.350035,0.155027,22.078040,3.384840,3.384840,137.889221
9.332386,0.151485,21.909671,3.619994,3.619994,147.771456
9.582440,0.152316,20.056881,4.052772,4.052772,133.720179
7.371979,0.105805,19.957430,3.053033,3.053033,132.802215
6.990948,0.132803,17.664882,3.938006,3.938006,127.077243
7.309322,0.071436,15.863767,4.288221,4.288221,133.781509
6.872727,0.053696,12.313300,4.042228,4.042228,86.573450
7.453331,0.050967,14.410658,4.026804,4.026804,123.836822
4.753899,0.013359,0.128423,0.001947,0.001947,4.898948
4.819843,0.065784,0.318070,0.001190,0.001190,5.206592
4.114120,0.047369,0.376950,0.110103,0.110103,9.733401
6.128839,0.051093,0.490145,0.180724,0.180724,9.156211
6.000842,0.036360,1.550364,0.263706,0.263706,11.369964
6.064283,0.016728,0.824692,0.261187,0.261187,10.604855
5.363622,0.010870,0.932441,0.273425,0.273425,10.707001
