#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,15.047449,4.080846,0.003247,6.114945,0.728034,0.001435,21.647519
1403638127345096960.000000,0.000000,0.000000,15.474822,2.278228,0.048230,0.691805,0.782747,0.000759,20.407734
1403638127395097088.000000,0.000000,0.000000,13.437660,2.548445,0.041796,0.674604,0.713576,0.000392,18.064924
1403638127445096960.000000,0.000000,0.000000,13.650527,2.071926,0.047781,0.685009,0.668363,0.000444,18.430006
1403638127495097088.000000,0.000000,0.000000,13.887147,2.866289,0.037680,0.727069,0.698593,0.145144,18.659849
1403638127545096960.000000,0.000000,0.000000,13.746808,2.301773,0.042653,1.115585,1.291853,0.000943,18.214211
1403638127595097088.000000,0.000000,0.000000,12.384985,4.522736,0.094668,1.944647,1.632111,0.000902,22.093893
1403638127645096960.000000,0.000000,0.000000,15.942559,2.092936,0.041200,0.720089,0.924615,0.000494,20.641177
1403638127695097088.000000,0.000000,0.000000,13.465868,2.379625,0.040366,0.687463,0.937505,0.000882,18.209715
1403638127745096960.000000,0.000000,0.000000,19.372212,3.373545,0.103221,0.734797,0.911735,0.228881,26.080458
1403638127795097088.000000,0.000000,0.000000,13.877167,2.218791,0.041230,1.025351,0.945933,0.000537,18.400230
1403638127845096960.000000,0.000000,0.000000,13.847352,2.091488,0.042111,0.893936,1.003388,0.000398,18.265178
1403638127895097088.000000,0.000000,0.000000,19.386986,2.293272,0.044156,0.767583,1.110069,0.000487,24.806158
1403638127945096960.000000,0.000000,0.000000,14.346508,2.457349,0.047602,0.768125,0.949205,0.000502,19.221922
1403638127995097088.000000,0.000000,0.000000,12.656266,3.828174,0.103420,0.798763,1.080787,0.251021,19.657249
1403638128045096960.000000,0.000000,0.000000,13.360370,2.588638,0.040958,1.275503,1.052190,0.000514,18.265829
1403638128095097088.000000,0.000000,0.000000,13.882803,2.024962,0.040761,0.856139,1.145297,0.000565,18.234672
1403638128145096960.000000,0.000000,0.000000,14.320793,3.053726,0.052538,0.844400,1.109423,0.000397,22.161314
1403638128195097088.000000,0.000000,0.000000,12.915706,2.378774,0.041863,0.986393,1.105575,0.000376,17.437811
1403638128245096960.000000,0.000000,0.000000,14.909549,2.091702,0.039952,1.648714,2.081218,0.336857,19.019689
1403638128295097088.000000,0.000000,0.000000,12.380174,5.780851,0.075431,1.494079,1.681923,0.000500,21.490826
1403638128345096960.000000,0.000000,0.000000,14.013909,3.937242,0.083489,1.314667,1.452680,0.000589,20.461984
1403638128395097088.000000,0.000000,0.000000,14.750393,2.260484,0.047197,1.339058,1.649818,0.000684,19.350544
1403638128445096960.000000,0.000000,0.000000,13.684784,2.230881,0.046963,1.065628,1.554953,0.000652,18.127292
