#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638518077829376.000000,0.000000,0.000000,6.749909,0.837244,0.002741,2.517997,0.049097,0.002509,9.718741
1403638518127829504.000000,0.000000,0.000000,10.155015,0.873135,0.049816,4.033997,3.883662,0.000869,13.625185
1403638518177829376.000000,0.000000,0.000000,7.794240,1.094874,0.073217,2.955817,3.929270,0.000761,11.176849
1403638518227829504.000000,0.000000,0.000000,4.989465,0.484217,0.041727,2.971947,2.558191,0.000686,7.113306
1403638518277829376.000000,0.000000,0.000000,6.632417,0.478964,0.033860,2.640106,3.532931,3.105150,9.082970
1403638518327829504.000000,0.000000,0.000000,7.406292,0.780105,0.049064,3.374008,2.798158,0.000491,10.576681
1403638518377829376.000000,0.000000,0.000000,6.632277,0.481722,0.031867,3.987535,2.848196,0.000482,12.266164
1403638518427829504.000000,0.000000,0.000000,7.709981,0.530523,0.071460,3.021582,3.316491,0.001026,10.211302
1403638518477829376.000000,0.000000,0.000000,9.017872,0.571249,0.040992,5.193503,3.960247,0.000659,11.740696
1403638518527829504.000000,0.000000,0.000000,7.675603,1.238409,0.070317,4.061328,4.058896,0.000783,14.215616
1403638518577829376.000000,0.000000,0.000000,7.031430,0.509595,0.033777,3.220527,4.766378,1.445793,10.374788
1403638518627829504.000000,0.000000,0.000000,11.059298,0.722485,0.044082,3.940799,3.067922,0.000432,14.071914
1403638518677829376.000000,0.000000,0.000000,11.204225,0.510284,0.035513,3.416441,3.046873,0.001166,13.697692
1403638518727829504.000000,0.000000,0.000000,7.034104,1.094230,0.071994,5.966378,4.090526,0.000981,10.641669
1403638518777829376.000000,0.000000,0.000000,6.562365,1.162405,0.080273,4.246355,4.538606,0.000468,9.941672
1403638518827829504.000000,0.000000,0.000000,7.451678,1.014758,0.054492,2.894616,3.164582,1.578607,10.836611
1403638518877829376.000000,0.000000,0.000000,6.897600,0.583671,0.037065,2.776371,3.743238,0.000927,11.206322
1403638518927829504.000000,0.000000,0.000000,6.319850,1.069421,0.065029,3.589789,3.431936,0.000778,9.862556
1403638518977829376.000000,0.000000,0.000000,8.191802,1.371809,0.047711,3.876039,6.196611,0.000364,11.734244
1403638519027829504.000000,0.000000,0.000000,6.775163,0.490270,0.034276,2.314100,2.953005,0.000881,9.544557
1403638519077829376.000000,0.000000,0.000000,7.737958,0.936256,0.054014,5.168148,5.549114,3.498340,10.641518
1403638519127829504.000000,0.000000,0.000000,6.949456,0.545541,0.040771,2.709716,3.730709,0.001359,10.250606
1403638519177829376.000000,0.000000,0.000000,6.880214,0.493258,0.034049,2.721935,4.449812,0.000715,9.920538
1403638519227829504.000000,0.000000,0.000000,8.106059,1.517728,0.039252,3.210301,3.448677,0.000432,11.849649
1403638519277829376.000000,0.000000,0.000000,9.166076,0.786319,0.047393,2.188542,3.557576,0.000467,14.166096
1403638519327829504.000000,0.000000,0.000000,6.543214,1.123222,0.072350,1.744299,4.435890,1.815759,10.921135
1403638519377829376.000000,0.000000,0.000000,6.587484,1.085691,0.063635,1.665187,3.707865,0.001189,10.075788
1403638519427829504.000000,0.000000,0.000000,8.001549,0.618579,0.044607,2.019565,5.911877,0.000492,11.043445
1403638519477829376.000000,0.000000,0.000000,7.113484,0.492049,0.036531,0.844117,4.571804,0.000914,12.202719
1403638519527829504.000000,0.000000,0.000000,7.708967,1.587434,0.088435,0.707548,3.568733,0.000620,11.637221
1403638519577829376.000000,0.000000,0.000000,9.338859,0.516405,0.036250,0.993278,3.993748,5.396702,11.988922
1403638519627829504.000000,0.000000,0.000000,7.136787,0.813350,0.034805,1.244273,5.190909,0.000577,10.058264
1403638519677829376.000000,0.000000,0.000000,6.480223,2.013132,0.113015,1.401863,4.582141,0.000772,11.323442
1403638519727829504.000000,0.000000,0.000000,6.588041,0.595284,0.039122,1.552818,3.818855,0.000777,10.957495
1403638519777829376.000000,0.000000,0.000000,7.295341,1.323808,0.074729,1.904468,5.426320,0.000894,10.882948
1403638519827829504.000000,0.000000,0.000000,8.130962,0.554513,0.038572,2.713553,4.500517,1.634254,10.971554
1403638519877829376.000000,0.000000,0.000000,7.137782,0.546646,0.036412,2.185109,3.932416,0.001098,10.972257
1403638519927829504.000000,0.000000,0.000000,6.901222,0.512471,0.034007,3.437436,3.441652,0.001323,9.348785
1403638519977829376.000000,0.000000,0.000000,7.442209,0.881475,0.052826,4.458491,7.391051,0.001013,10.531404
1403638520027829504.000000,0.000000,0.000000,9.012596,0.720129,0.043229,3.463747,5.108706,0.000821,11.711458
1403638520077829376.000000,0.000000,0.000000,6.377406,0.514484,0.036809,2.709681,4.821703,1.632097,9.241541
