#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636858651666432.000000,0.000000,0.000000,17.550952,1.793340,0.002856,4.383460,1.334431,0.001316,21.406063
1403636858701666560.000000,0.000000,0.000000,16.200085,2.128175,0.059531,0.775313,0.873956,0.000534,21.057400
1403636858751666432.000000,0.000000,0.000000,20.107431,2.863905,0.051836,1.274906,1.709418,0.000696,25.885957
1403636858801666560.000000,0.000000,0.000000,17.952973,1.701553,0.042059,0.784648,0.925322,0.000815,22.069566
1403636858851666432.000000,0.000000,0.000000,16.340235,1.852774,0.036548,1.888207,2.680929,0.816728,20.034749
1403636858901666560.000000,0.000000,0.000000,17.077749,4.703813,0.096160,2.336596,2.706798,0.001240,24.565741
1403636858951666432.000000,0.000000,0.000000,19.019770,1.769027,0.034852,1.353008,1.790826,0.000675,22.865604
1403636859001666560.000000,0.000000,0.000000,17.021537,1.988197,0.068661,1.467615,2.212936,0.000626,20.933385
1403636859051666432.000000,0.000000,0.000000,16.491251,3.692758,0.058039,1.165743,1.633431,0.000620,23.665676
1403636859101666560.000000,0.000000,0.000000,16.641894,1.866886,0.037620,1.529622,2.430964,0.344091,26.529551
1403636859151666432.000000,0.000000,0.000000,14.065011,3.866256,0.055708,2.460657,1.884789,0.000503,23.113318
1403636859201666560.000000,0.000000,0.000000,18.160339,3.573178,0.065619,1.602996,2.275995,0.000525,27.103553
1403636859251666432.000000,0.000000,0.000000,17.895344,3.522655,0.046783,1.292821,2.586791,0.000616,25.968337
1403636859301666560.000000,0.000000,0.000000,20.393210,7.896675,0.098732,0.987742,2.040175,0.000468,36.395407
1403636859351666432.000000,0.000000,0.000000,17.476598,3.291207,0.066675,2.120349,3.278787,0.606587,28.201242
1403636859401666560.000000,0.000000,0.000000,16.919319,3.057906,0.044666,2.448585,2.497768,0.000525,25.867668
1403636859451666432.000000,0.000000,0.000000,15.077524,2.396650,0.029491,1.975374,3.836340,0.000505,23.324853
