#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.007556,3,1,0,203
0.001596,4,1,0,290
0.032405,5,1,0,413
0.063325,6,1,0,679
0.112429,5,2,0,1391
0.134550,6,2,0,1942
0.214743,7,2,0,2336
0.525787,8,2,0,2733
0.429219,0,0,0,0
35.075298,0,0,0,0
0.867903,0,0,0,0
0.904641,0,0,0,0
0.730249,0,0,0,0
1.187433,0,0,0,0
1.105023,0,0,0,0
1.273876,0,0,0,0
2.441393,0,0,0,0
1.283951,0,0,0,0
2.197008,0,0,0,0
2.313911,0,0,0,0
2.885717,0,0,0,0
3.803513,0,0,0,0
2.958973,0,0,0,0
2.874002,0,0,0,0
2.819497,0,0,0,0
2.540262,0,0,0,0
2.883361,0,0,0,0
3.267050,0,0,0,0
3.313632,0,0,0,0
2.806628,0,0,0,0
2.576603,0,0,0,0
2.796749,0,0,0,0
2.465573,0,0,0,0
3.339622,0,0,0,0
3.136190,0,0,0,0
3.648368,0,0,0,0
2.772156,0,0,0,0
4.331319,0,0,0,0
3.205329,0,0,0,0
2.802098,0,0,0,0
2.568121,0,0,0,0
3.205000,0,0,0,0
4.365211,0,0,0,0
2.560149,0,0,0,0
3.583488,0,0,0,0
3.918225,0,0,0,0
2.985814,0,0,0,0
4.371526,0,0,0,0
2.547912,0,0,0,0
4.697346,0,0,0,0
4.481206,0,0,0,0
2.735213,3,1,0,207
3.174798,4,1,0,298
0.002286,5,1,0,375
0.001707,6,1,0,446
0.090890,7,1,0,521
0.062818,8,1,0,587
0.135387,9,1,0,657
0.178997,10,1,0,747
0.279894,0,0,0,0
0.366102,0,0,0,0
0.463779,0,0,0,0
20.204122,0,0,0,0
0.346236,0,0,0,0
0.434559,0,0,0,0
0.434351,0,0,0,0
0.478092,0,0,0,0
0.484089,0,0,0,0
0.733841,0,0,0,0
0.433942,0,0,0,0
0.640922,0,0,0,0
0.891201,0,0,0,0
0.682626,0,0,0,0
0.784578,0,0,0,0
1.721103,3,1,0,1403
1.778839,4,1,0,1793
1.526760,5,1,0,2352
2.550631,6,1,0,2852
0.002033,7,1,0,3654
0.002429,8,1,0,4287
0.323894,9,1,0,5134
0.522127,10,1,0,5736
0.652799,3,1,0,2138
0.662748,4,1,0,2673
0.656627,5,1,0,3127
0.954355,6,1,0,3470
1.207897,7,1,0,3732
60.528521,8,1,0,4102
0.001844,9,1,0,4067
0.001821,10,1,0,4050
0.409180,3,1,0,1064
0.538050,4,1,0,1427
0.822948,5,1,0,1902
1.301300,6,1,0,2326
0.695559,7,1,0,2598
0.650685,8,1,0,2888
0.926362,9,1,0,2893
94.064201,9,1,0,2801
0.002719,3,1,0,1503
0.002290,4,1,0,2068
0.181629,5,1,0,2745
0.947022,6,1,0,3368
0.877460,7,1,0,3815
0.830208,8,1,0,4131
1.040055,9,1,0,4398
0.933044,10,1,0,4745
0.950658,3,1,0,2124
33.205464,4,1,0,2433
0.003159,5,1,0,2904
0.001907,6,1,0,3249
0.493208,7,1,0,3698
0.509483,8,1,0,4127
0.850835,9,1,0,4385
0.666673,10,1,0,4601
0.935887,3,1,0,1801
0.859532,4,1,0,2442
0.862488,5,1,0,3091
50.436995,6,1,0,3710
0.002260,7,1,0,4236
0.002194,8,1,0,4751
0.473469,9,1,0,5092
0.631414,10,1,0,5541
0.889144,3,1,0,2228
0.609340,4,1,0,2667
0.813250,5,1,0,2983
0.738654,6,1,0,2997
0.673264,7,1,0,3035
52.416674,8,1,0,3105
0.002529,9,1,0,3113
0.002397,10,1,0,3179
0.409204,3,1,0,1830
0.492659,4,1,0,1975
0.711957,5,1,0,2355
0.847074,6,1,0,2565
1.080411,7,1,0,2861
0.504569,7,1,0,3080
0.791093,7,2,0,3051
60.395024,6,4,0,2657
0.002210,0,0,0,0
0.001738,0,0,0,0
0.308585,0,0,0,0
0.767686,0,0,0,0
1.577731,0,0,0,0
0.819364,0,0,0,0
1.133999,0,0,0,0
0.949565,0,0,0,0
0.827891,0,0,0,0
55.342065,0,0,0,0
0.002485,0,0,0,0
0.002744,0,0,0,0
0.783186,0,0,0,0
0.720449,0,0,0,0
0.973540,0,0,0,0
1.628837,0,0,0,0
0.845537,0,0,0,0
1.051111,0,0,0,0
1.264173,0,0,0,0
41.190202,0,0,0,0
1.312987,0,0,0,0
1.261304,0,0,0,0
1.015855,0,0,0,0
0.948128,0,0,0,0
1.257346,0,0,0,0
1.321167,0,0,0,0
1.107871,3,1,0,1668
1.144460,4,1,0,1904
1.612985,5,1,0,2134
1.775023,6,1,0,2254
1.320011,7,1,0,2078
1.531940,8,1,0,1823
1.808704,3,1,0,1551
2.253029,4,1,0,1853
1.284210,5,1,0,2040
1.486408,6,1,0,2348
2.120784,7,1,0,2766
1.328770,8,1,0,3012
1.081849,8,1,0,3049
1.392021,7,3,0,3091
1.422432,3,1,0,2184
2.355160,4,1,0,2753
1.874872,5,1,0,3213
1.062445,6,1,0,3566
1.891760,7,1,0,3971
0.633230,8,1,0,4260
0.002509,9,1,0,4391
0.002105,10,1,0,4491
0.597026,3,1,0,897
0.872227,4,1,0,1037
0.744417,5,1,0,1245
0.835609,6,1,0,1313
0.916742,7,1,0,1358
0.828279,7,1,0,1464
0.002372,6,3,0,1246
0.002737,6,4,0,1296
0.002849,3,1,0,687
0.002111,4,1,0,929
0.001856,5,1,0,1146
0.601313,6,1,0,1418
0.798093,7,1,0,1784
