#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638518077829376.000000,0.000000,0.000000,10.218716,1.798799,0.004546,5.035091,0.516198,0.001222,14.274153
1403638518127829504.000000,0.000000,0.000000,10.311975,1.882151,0.040431,0.559014,0.532933,0.000465,14.137433
1403638518177829376.000000,0.000000,0.000000,9.183741,2.033295,0.067782,0.406861,0.428205,0.000347,14.015562
1403638518227829504.000000,0.000000,0.000000,9.281866,1.497876,0.042438,0.511332,0.799492,0.000443,13.156709
1403638518277829376.000000,0.000000,0.000000,11.112829,1.342162,0.038294,0.337034,0.497849,2.361352,14.571319
1403638518327829504.000000,0.000000,0.000000,8.962205,1.234777,0.035384,0.731710,0.676669,0.000405,12.371628
1403638518377829376.000000,0.000000,0.000000,7.286961,1.819539,0.052379,0.757569,1.027643,0.000806,11.422758
1403638518427829504.000000,0.000000,0.000000,10.067146,2.360848,0.034037,0.387126,0.783195,0.000381,14.392802
1403638518477829376.000000,0.000000,0.000000,9.756026,1.196453,0.035368,0.400075,0.864211,0.000542,14.761577
1403638518527829504.000000,0.000000,0.000000,7.496433,1.691756,0.066778,0.487880,1.079938,0.000391,11.796993
1403638518577829376.000000,0.000000,0.000000,10.843288,2.105489,0.064094,0.708002,1.608096,9.098823,15.194030
1403638518627829504.000000,0.000000,0.000000,8.390615,1.222173,0.032793,2.894920,2.161896,0.000942,11.555374
1403638518677829376.000000,0.000000,0.000000,10.770646,3.144594,0.063556,1.903904,2.832777,0.000512,16.478401
1403638518727829504.000000,0.000000,0.000000,10.677890,1.143736,0.039218,3.177600,3.120315,0.000515,14.100905
1403638518777829376.000000,0.000000,0.000000,9.659990,2.974718,0.092991,3.092024,2.289985,0.000412,17.325246
1403638518827829504.000000,0.000000,0.000000,8.120780,2.388353,0.038540,1.736445,2.336964,0.000470,12.644774
1403638518877829376.000000,0.000000,0.000000,9.386420,2.460740,0.052983,2.056425,2.152196,5.247116,14.041730
1403638518927829504.000000,0.000000,0.000000,9.749473,1.823043,0.036852,3.817054,4.300458,0.000804,16.087194
1403638518977829376.000000,0.000000,0.000000,7.673193,4.039200,0.067271,3.508897,4.907380,0.001119,13.638855
1403638519027829504.000000,0.000000,0.000000,10.965170,2.848335,0.063418,4.259490,4.394406,0.000898,16.200256
1403638519077829376.000000,0.000000,0.000000,8.961513,3.294896,0.119926,3.791512,4.303148,0.000825,16.029011
1403638519127829504.000000,0.000000,0.000000,10.509532,1.539562,0.040632,3.544260,4.602352,0.000922,14.338567
1403638519177829376.000000,0.000000,0.000000,9.948237,1.337088,0.034309,4.310961,4.700301,2.790784,13.069279
1403638519227829504.000000,0.000000,0.000000,8.476726,1.934305,0.071007,4.234296,4.673019,0.000823,12.698803
1403638519277829376.000000,0.000000,0.000000,7.661260,2.130984,0.057783,4.099338,5.475537,0.000922,12.492302
1403638519327829504.000000,0.000000,0.000000,9.902208,1.535954,0.037874,3.715054,5.054460,0.000928,13.833341
1403638519377829376.000000,0.000000,0.000000,8.433748,1.897246,0.034421,3.258433,4.648557,0.000859,14.572760
1403638519427829504.000000,0.000000,0.000000,8.552981,3.546708,0.039870,3.407267,4.370543,5.923274,14.233970
1403638519477829376.000000,0.000000,0.000000,9.842510,1.619574,0.040867,3.557111,6.681743,0.001093,13.881316
