#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.615258,0.024712,0.290709,0.008113,0.008113,5.945390
5.058045,0.039121,0.262637,0.001754,0.001754,5.362813
6.165710,0.180324,3.817567,0.118856,0.118856,15.316878
7.044363,0.150061,14.745037,0.097557,0.097557,31.341225
6.353731,0.203649,7.527408,0.243151,0.243151,28.191779
6.366816,0.197520,8.512028,0.405498,0.405498,30.194710
6.557309,0.236191,18.116015,0.595737,0.595737,45.266049
7.308199,0.148850,8.980259,0.781534,0.781534,35.803707
7.928596,0.171182,9.042898,0.505394,0.505394,43.336590
6.403327,0.089169,15.961605,75.011302,75.011302,130.218061
7.119130,0.079440,16.879705,0.825523,0.825523,58.757924
7.055906,0.147418,26.592646,0.906912,0.906912,71.833575
7.394382,0.229383,25.548546,1.173204,1.173204,74.647752
8.314144,0.139779,18.395076,1.409039,1.409039,73.194189
9.596564,0.137372,20.987531,1.598404,1.598404,86.840874
8.779749,0.103695,22.475176,1.814178,1.814178,85.418598
9.850227,0.098304,24.796054,1.676280,1.676280,106.779716
8.669785,0.119374,23.372544,1.523134,1.523134,102.670378
9.169512,0.123033,22.542589,1.954860,1.954860,112.234938
8.824378,0.109517,20.858635,1.710235,1.710235,104.840422
9.020495,0.139652,27.324936,1.742851,1.742851,120.965846
9.905969,0.067702,31.419052,3.314540,3.314540,130.380490
10.214364,0.090401,32.106246,3.259687,3.259687,134.196596
10.438980,0.141842,35.007389,3.568408,3.568408,162.798940
11.635897,0.140996,35.177063,3.218191,3.218191,137.215780
9.065178,0.176379,34.226841,3.509462,3.509462,154.069634
8.579544,0.092629,22.758453,3.484058,3.484058,333.860840
9.209810,0.159778,28.018936,2.865764,2.865764,118.766722
9.833869,0.115199,24.385317,2.633374,2.633374,155.691999
9.231260,0.137775,25.779582,4.228444,4.228444,141.182444
9.551653,0.141529,33.401972,2.777960,2.777960,135.107152
8.535239,0.102868,31.518352,3.101141,3.101141,140.931048
10.419496,0.171967,33.688882,2.782397,2.782397,148.726045
10.827313,0.196216,37.415444,2.790243,2.790243,136.948855
9.641006,0.163326,32.645277,3.269579,3.269579,139.317154
12.199847,0.208436,31.211762,2.248541,2.248541,133.575587
10.031245,0.133854,35.656020,1.850369,1.850369,156.218127
10.190984,0.140671,30.140492,2.791325,2.791325,133.629812
11.032455,0.116959,27.193013,4.425888,4.425888,170.144374
8.145162,0.129271,24.544698,2.896464,2.896464,124.709572
8.546265,0.068310,18.852469,1.970997,1.970997,119.905250
7.689647,0.064721,22.128189,2.921278,2.921278,129.971810
7.108371,0.054000,17.049489,2.292663,2.292663,118.019517
7.534998,0.041706,20.086678,3.275956,3.275956,114.918380
7.613112,0.067771,15.626243,3.077441,3.077441,116.127711
5.515358,0.014837,0.158713,0.002888,0.002888,5.694049
4.934484,0.039722,0.370785,0.001574,0.001574,5.348263
5.376720,0.066331,0.553474,0.117655,0.117655,9.896545
