#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
8.358917,0.109058,1.177550,0.014304,0.014304,9.671157
10.731650,0.502790,7.327961,0.004736,0.004736,18.571745
10.181052,0.628967,6.096618,0.272932,0.272932,34.180031
10.494304,0.424357,8.324133,0.235043,0.235043,30.430802
10.845603,0.484902,17.505109,0.803882,0.803882,61.892239
11.587788,0.603656,25.948923,0.724073,0.724073,78.922718
9.326161,0.487718,20.105908,1.173871,1.173871,66.281125
13.267777,0.682824,32.454378,1.647764,1.647764,95.951533
13.095711,0.704265,29.277315,1.697973,1.697973,92.631525
12.576729,0.350564,28.088181,86.183126,86.183126,179.096350
9.781719,0.361636,30.225935,1.561523,1.561523,79.337667
14.123499,0.577639,45.028323,1.962264,1.962264,114.738225
14.512240,0.531111,42.504068,2.041624,2.041624,117.686548
16.102947,0.593575,48.533678,2.633280,2.633280,122.557327
16.831212,0.565991,46.832504,2.769698,2.769698,127.074470
12.156307,0.450822,35.827187,2.906148,2.906148,113.269407
11.579020,0.452198,32.496042,3.183463,3.183463,104.971770
14.974645,0.392357,39.662689,3.354409,3.354409,123.582940
17.709239,0.367844,49.313527,3.602284,3.602284,143.875250
17.970490,0.490246,54.434581,3.779054,3.779054,146.078189
18.736995,0.456454,54.331603,4.353877,4.353877,305.032791
15.267417,0.494022,39.885508,5.770950,5.770950,140.575690
12.736250,0.353093,34.674660,5.482754,5.482754,127.159495
18.663874,0.667400,53.273287,5.517667,5.517667,174.697800
16.796908,0.496614,43.645458,4.684345,4.684345,140.658092
16.378471,0.348708,40.316297,4.804634,4.804634,144.700508
14.901653,0.571111,43.156108,7.685373,7.685373,159.558289
12.250133,0.413989,40.050822,4.730425,4.730425,148.126310
15.527804,0.528839,47.116732,5.884359,5.884359,163.957958
12.276757,0.439877,53.056356,6.351310,6.351310,165.869406
11.329418,0.472069,42.305026,6.558096,6.558096,158.690791
13.979657,0.773706,49.884893,6.499247,6.499247,185.434507
15.222809,0.719817,50.974122,6.328013,6.328013,180.107435
15.581469,0.658440,41.796540,7.894432,7.894432,154.347250
15.996098,0.545894,52.948835,4.221107,4.221107,169.414280
16.617833,0.401125,46.536181,6.550480,6.550480,182.130915
14.750323,0.725545,38.497587,7.155703,7.155703,150.331105
11.641837,0.341892,39.770787,4.830202,4.830202,140.999023
10.569600,0.359109,36.029973,7.059862,7.059862,142.258015
12.615257,0.590791,48.613742,4.659161,4.659161,162.522197
7.859743,0.362244,24.631115,4.992797,4.992797,130.914037
14.620082,0.612871,51.939159,5.887304,5.887304,189.019735
17.625782,0.614920,54.635799,6.535248,6.535248,191.627927
16.374215,0.492934,41.866908,7.080502,7.080502,153.610537
17.760120,0.546438,56.221803,4.581047,4.581047,186.889981
17.022831,0.613767,51.851318,6.120234,6.120234,179.485219
13.553157,0.490021,52.521246,6.585168,6.585168,181.953281
13.468324,0.522662,40.622189,5.238399,5.238399,153.116515
16.081987,0.587399,60.677313,6.597104,6.597104,191.591478
14.087243,0.997004,61.698893,5.801958,5.801958,188.197229
11.612365,0.657800,41.288597,6.183371,6.183371,133.789752
13.802984,0.480806,48.416172,5.599684,5.599684,188.008907
11.633933,0.619687,35.566960,7.604444,7.604444,151.816019
9.472531,0.269411,33.854460,5.265856,5.265856,143.305132
10.580160,0.443270,39.477919,6.609712,6.609712,153.624713
9.912024,0.435078,32.617868,9.101263,9.101263,144.667101
10.374142,0.480550,34.142398,6.003273,6.003273,146.490643
8.418822,0.506118,26.448033,7.247864,7.247864,134.644643
9.736022,0.488230,24.305768,5.975016,5.975016,130.784084
11.323018,0.499398,28.681244,6.287372,6.287372,133.824409
13.051742,0.469798,39.980581,5.843399,5.843399,146.575476
9.814263,0.427525,39.237661,5.729157,5.729157,141.443349
9.858551,0.507303,39.279068,4.750970,4.750970,140.169478
9.934457,0.574311,38.734742,5.496642,5.496642,127.335178
15.235801,0.773610,49.958174,6.365933,6.365933,342.253660
8.046146,0.435045,31.562208,4.471062,4.471062,126.623714
11.114407,0.391525,44.978626,6.105610,6.105610,148.268393
8.479527,0.552166,29.604360,5.621764,5.621764,133.188177
12.246900,0.724649,36.437243,9.156047,9.156047,142.220607
15.064375,0.616711,61.252520,6.441646,6.441646,176.108058
