#Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
0.000000,0.000000,30.385306,5.177953,0.004448,15.348031,8.801102,0.002944,38.538240
0.000000,0.000000,28.397921,7.086073,0.091809,5.814761,10.570659,0.001184,39.930225
0.000000,0.000000,25.083576,8.567179,0.085217,4.964797,9.769498,0.001248,37.834903
0.000000,0.000000,24.754581,10.804294,0.109569,4.121140,10.071709,0.928300,39.677358
0.000000,0.000000,22.923070,6.650675,0.120578,7.407516,11.145739,0.001152,36.732457
0.000000,0.000000,23.875113,10.446274,0.125762,4.634714,9.948444,0.001312,64.683045
0.000000,0.000000,25.842146,9.775514,0.193730,2.685250,8.626059,0.695113,0.000000
0.000000,0.000000,24.317135,9.326964,0.137890,2.943172,6.632339,0.001312,0.083841
0.000000,0.000000,24.210382,9.829242,0.142690,2.802691,6.889686,0.001280,57.118472
0.000000,0.000000,25.947011,9.304788,0.161826,2.433310,7.721985,0.001280,52.988819
0.000000,0.000000,21.254473,8.045732,0.155682,3.436970,7.405085,0.990413,53.622716
0.000000,0.000000,22.923966,6.048139,0.153442,3.035238,4.392631,0.001408,0.000000
0.000000,0.000000,22.714939,3.371370,0.162498,2.924708,7.474013,0.001248,0.086593
0.000000,0.000000,24.827605,6.764564,0.174978,4.088883,7.657919,0.001152,58.679195
0.000000,0.000000,21.429963,3.684622,0.177410,4.008594,7.182010,0.001088,0.000000
0.000000,0.000000,22.532632,8.913231,0.171746,3.598028,6.967831,1.301808,0.088257
0.000000,0.000000,22.852220,4.502008,0.055905,7.720480,9.167347,0.001121,48.744575
0.000000,0.000000,22.431255,5.812136,0.110305,5.692198,8.331496,0.001216,0.000000
0.000000,0.000000,23.953290,10.941672,0.175458,4.344054,8.193734,0.001312,0.085985
0.000000,0.000000,23.907850,7.754017,0.174434,4.957150,10.325665,0.001664,45.545495
0.000000,0.000000,22.070835,11.050153,0.156098,4.737147,8.645676,1.129230,40.570329
0.000000,0.000000,22.484344,9.450806,0.144546,9.280180,11.173067,0.001728,45.879644
0.000000,0.000000,22.639930,10.262112,0.140930,6.397424,9.360756,0.001184,0.000000
0.000000,0.000000,23.507045,9.951740,0.140162,5.874377,9.696313,0.001088,0.086753
0.000000,0.000000,22.360151,7.574334,0.159426,7.602910,12.872897,1.023629,39.938834
0.000000,0.000000,22.913566,13.289349,0.156450,9.214194,11.139691,0.001376,48.163255
0.000000,0.000000,23.316386,11.309837,0.148482,7.458109,9.989181,0.001408,39.224968
0.000000,0.000000,24.909718,9.856443,0.139874,8.950991,14.214001,0.001632,43.596031
0.000000,0.000000,23.576133,11.087722,0.140514,7.666112,13.916013,0.930667,51.393376
0.000000,0.000000,24.741556,13.156100,0.188195,8.155750,14.524340,0.001792,47.912885
0.000000,0.000000,23.067295,5.761671,0.100450,6.518737,14.174512,0.001632,49.477704
0.000000,0.000000,23.792200,6.538417,0.153282,5.500708,16.064040,0.823306,53.612508
0.000000,0.000000,23.571141,11.875924,0.191171,5.820168,14.355731,0.001568,51.512962
0.000000,0.000000,23.557093,11.822356,0.221987,3.354762,13.561993,0.001536,50.245105
0.000000,0.000000,23.532261,5.170977,0.139938,2.601568,14.999867,0.754729,49.882925
0.000000,0.000000,23.858217,9.277748,0.194531,5.074783,11.060042,0.001664,54.993805
0.000000,0.000000,24.549970,9.659033,0.211459,0.060385,7.591614,0.070816,59.820201
0.000000,0.000000,25.848577,4.008306,0.203971,0.110529,17.705724,0.121378,54.876651
0.000000,0.000000,26.277576,7.393244,0.199554,0.119938,20.754786,0.129889,54.452678
0.000000,0.000000,24.585394,8.484298,0.206435,0.132066,19.825783,1.265712,0.000000
0.000000,0.000000,24.708404,8.660140,0.198499,0.256707,19.138414,0.181123,0.082529
0.000000,0.000000,21.910832,4.287509,0.105345,0.126721,14.607830,0.125153,63.981981
0.000000,0.000000,22.863229,10.836615,0.211843,0.124898,19.421394,1.278768,53.652060
0.000000,0.000000,25.284315,11.148683,0.220931,0.256228,21.211720,0.191586,52.198634
0.000000,0.000000,24.370160,11.786835,0.216835,0.149186,17.077557,0.139522,0.000000
0.000000,0.000000,23.554117,5.623142,0.211331,0.143073,21.476652,1.207503,0.081441
0.000000,0.000000,22.118484,8.124805,0.190819,0.242531,22.883069,0.237827,63.204883
0.000000,0.000000,22.764540,13.528168,0.227650,0.164354,18.742601,0.125410,0.000000
0.000000,0.000000,24.324271,12.581981,0.203682,0.164642,24.017931,0.149090,0.084673
0.000000,0.000000,22.738683,10.381025,0.216451,0.177539,23.491940,0.155042,62.549803
0.000000,0.000000,26.127110,12.956417,0.254884,0.152193,23.378180,0.990157,0.000000
0.000000,0.000000,23.828969,5.253218,0.201762,0.242275,23.452324,0.187842,0.086562
0.000000,0.000000,25.550143,6.927606,0.205891,0.166018,22.218356,1.060909,56.016185
0.000000,0.000000,23.653734,13.191780,0.259395,0.239747,23.554053,0.196002,58.387831
0.000000,0.000000,22.523448,12.835616,0.259907,0.122434,20.090490,0.170819,0.000000
0.000000,0.000000,25.382684,12.529820,0.248164,0.141282,20.266141,0.861803,0.082561
0.000000,0.000000,23.981738,7.495646,0.235491,0.187042,20.996102,0.194658,61.306427
0.000000,0.000000,24.333103,11.738322,0.257444,0.096161,18.849099,0.173474,0.000000
0.000000,0.000000,23.996555,10.824327,0.252612,0.084833,15.463232,0.119361,0.087073
0.000000,0.000000,23.202849,5.531685,0.216611,0.063329,17.524186,0.749578,55.201424
0.000000,0.000000,23.256002,8.795662,0.250851,0.112578,17.546906,0.132066,0.000000
0.000000,0.000000,24.198093,8.875630,0.251363,0.090690,18.902699,0.087873,0.082817
0.000000,0.000000,22.231156,7.801569,0.215170,0.105025,21.601293,0.103457,55.577332
0.000000,0.000000,23.312834,6.806932,0.244291,0.111682,20.761282,0.094593,0.000000
0.000000,0.000000,22.112980,7.217530,0.101121,0.109281,18.150018,0.964076,0.090625
0.000000,0.000000,23.022239,7.312059,0.222050,0.219427,20.312157,0.286628,56.495264
0.000000,0.000000,23.002879,9.493590,0.243267,0.139106,21.728078,0.148418,54.670089
