#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014912,3,1,0,705
0.004768,4,1,0,905
0.413093,5,1,0,1145
0.675305,6,1,0,1361
0.975244,7,1,0,1548
1.274511,8,1,0,1759
1.500115,9,1,0,1957
2.098458,10,1,0,2158
2.292061,0,0,0,0
67.676685,3,1,0,815
2.813443,4,1,0,1211
0.005248,5,1,0,1536
0.004736,6,1,0,1875
0.370149,7,1,0,1992
0.786314,8,1,0,1975
0.935691,9,1,0,2288
1.217711,10,1,0,2605
1.287696,0,0,0,0
1.329777,0,0,0,0
1.371345,0,0,0,0
42.504755,0,0,0,0
1.502130,0,0,0,0
2.209755,0,0,0,0
1.870359,0,0,0,0
2.053850,0,0,0,0
2.214588,0,0,0,0
2.251580,0,0,0,0
2.516255,0,0,0,0
2.961669,0,0,0,0
3.056198,0,0,0,0
3.411210,0,0,0,0
3.563021,0,0,0,0
4.736027,0,0,0,0
4.542137,0,0,0,0
4.895102,0,0,0,0
4.510168,3,1,0,685
4.580441,4,1,0,841
4.121555,5,1,0,1055
4.233845,6,1,0,1287
0.005984,7,1,0,1497
0.005120,8,1,0,1715
0.219906,9,1,0,1934
0.830538,10,1,0,2138
1.055373,0,0,0,0
1.428913,3,1,0,857
1.753590,4,1,0,1109
1.997273,5,1,0,1365
2.460446,6,1,0,1598
70.729363,7,1,0,1849
3.229096,8,1,0,2113
0.006016,9,1,0,2384
0.004672,10,1,0,2573
0.608136,0,0,0,0
0.995469,0,0,0,0
1.266352,3,1,0,561
1.556787,4,1,0,875
1.756438,5,1,0,1168
2.241180,6,1,0,1508
2.747106,7,1,0,1949
67.508684,8,1,0,2341
3.099334,9,1,0,2704
3.607885,10,1,0,3010
0.005824,0,0,0,0
0.004448,0,0,0,0
0.448966,0,0,0,0
0.727689,0,0,0,0
0.952812,0,0,0,0
1.028045,0,0,0,0
1.283856,0,0,0,0
1.385266,0,0,0,0
1.860663,0,0,0,0
49.874671,0,0,0,0
1.572691,0,0,0,0
2.155226,0,0,0,0
1.942712,0,0,0,0
2.041114,0,0,0,0
2.359710,0,0,0,0
2.410559,0,0,0,0
2.650881,0,0,0,0
2.588961,0,0,0,0
3.140520,0,0,0,0
3.284681,0,0,0,0
3.559564,0,0,0,0
3.645613,0,0,0,0
3.978033,0,0,0,0
5.918794,0,0,0,0
4.189140,0,0,0,0
5.606855,0,0,0,0
5.560549,0,0,0,0
5.787720,0,0,0,0
6.044651,0,0,0,0
4.592698,0,0,0,0
6.346832,0,0,0,0
4.561625,0,0,0,0
6.267439,0,0,0,0
6.908950,0,0,0,0
4.913597,0,0,0,0
5.765512,0,0,0,0
7.498206,0,0,0,0
5.432452,0,0,0,0
3.302698,0,0,0,0
3.615597,0,0,0,0
3.627309,0,0,0,0
4.332406,0,0,0,0
3.218569,0,0,0,0
5.905130,0,0,0,0
6.341456,0,0,0,0
5.835721,0,0,0,0
7.721729,0,0,0,0
6.650579,0,0,0,0
6.911478,0,0,0,0
7.997508,0,0,0,0
5.763464,0,0,0,0
4.531897,0,0,0,0
5.737639,0,0,0,0
4.917341,0,0,0,0
5.444516,0,0,0,0
6.819829,0,0,0,0
4.927518,0,0,0,0
6.505586,0,0,0,0
6.320879,0,0,0,0
6.257966,0,0,0,0
2.329789,0,0,0,0
5.499173,0,0,0,0
3.053703,0,0,0,0
5.152097,0,0,0,0
5.122432,0,0,0,0
5.324419,0,0,0,0
5.587398,0,0,0,0
6.735284,0,0,0,0
6.725268,0,0,0,0
5.921482,0,0,0,0
5.326115,0,0,0,0
5.514053,0,0,0,0
6.596658,0,0,0,0
7.355932,0,0,0,0
7.763297,0,0,0,0
6.280686,0,0,0,0
5.295074,0,0,0,0
9.043121,0,0,0,0
6.036139,0,0,0,0
7.518174,0,0,0,0
10.116894,0,0,0,0
14.243762,0,0,0,0
8.759214,0,0,0,0
9.929020,0,0,0,0
7.621855,0,0,0,0
9.405429,0,0,0,0
7.353564,0,0,0,0
13.695179,0,0,0,0
10.033534,0,0,0,0
11.482767,0,0,0,0
10.757863,0,0,0,0
9.747962,0,0,0,0
9.776506,0,0,0,0
16.319884,0,0,0,0
8.636684,0,0,0,0
12.803072,0,0,0,0
9.047249,0,0,0,0
12.325818,0,0,0,0
9.946813,0,0,0,0
9.689369,0,0,0,0
11.051210,0,0,0,0
11.353229,0,0,0,0
11.300334,0,0,0,0
17.535547,0,0,0,0
16.501807,0,0,0,0
12.530365,0,0,0,0
19.574260,0,0,0,0
13.067011,0,0,0,0
18.108674,0,0,0,0
17.403162,0,0,0,0
18.964269,0,0,0,0
20.164572,0,0,0,0
16.660048,0,0,0,0
17.758654,0,0,0,0
15.949768,0,0,0,0
12.298490,0,0,0,0
18.613352,0,0,0,0
18.456646,0,0,0,0
15.947367,0,0,0,0
15.531714,0,0,0,0
14.439956,0,0,0,0
17.175062,0,0,0,0
16.982772,0,0,0,0
19.443123,0,0,0,0
16.807762,0,0,0,0
12.583710,0,0,0,0
17.166486,0,0,0,0
16.709809,0,0,0,0
20.571233,0,0,0,0
19.464691,0,0,0,0
19.572437,0,0,0,0
20.094363,0,0,0,0
17.519035,0,0,0,0
18.920140,0,0,0,0
19.401522,0,0,0,0
19.626261,0,0,0,0
19.331090,0,0,0,0
24.110798,0,0,0,0
21.520972,0,0,0,0
22.308375,0,0,0,0
22.516602,0,0,0,0
25.198363,0,0,0,0
24.435473,0,0,0,0
21.849073,0,0,0,0
25.176731,0,0,0,0
24.134349,0,0,0,0
27.342581,0,0,0,0
25.685089,0,0,0,0
26.094374,0,0,0,0
26.738606,0,0,0,0
29.362255,0,0,0,0
26.145095,0,0,0,0
20.517184,0,0,0,0
20.196572,0,0,0,0
19.629109,0,0,0,0
21.881362,0,0,0,0
22.561466,0,0,0,0
22.103188,0,0,0,0
15.669380,0,0,0,0
16.754002,0,0,0,0
21.278186,0,0,0,0
19.028910,0,0,0,0
18.246820,0,0,0,0
22.146932,0,0,0,0
18.646249,0,0,0,0
20.651170,0,0,0,0
15.609379,0,0,0,0
17.727934,0,0,0,0
21.611854,0,0,0,0
21.983251,0,0,0,0
15.449601,0,0,0,0
22.558010,0,0,0,0
20.282909,0,0,0,0
15.632227,0,0,0,0
19.911257,0,0,0,0
15.772933,0,0,0,0
15.436224,0,0,0,0
15.960103,0,0,0,0
20.047515,0,0,0,0
23.975916,0,0,0,0
17.492058,0,0,0,0
21.499053,0,0,0,0
22.919870,0,0,0,0
16.906483,0,0,0,0
20.089882,0,0,0,0
19.646197,0,0,0,0
22.799004,0,0,0,0
22.911455,0,0,0,0
20.890533,0,0,0,0
18.288996,0,0,0,0
18.839147,0,0,0,0
15.468290,0,0,0,0
18.555016,0,0,0,0
18.960845,0,0,0,0
18.393605,0,0,0,0
19.030542,0,0,0,0
16.546510,0,0,0,0
10.769063,0,0,0,0
8.733869,0,0,0,0
11.925365,0,0,0,0
12.290265,0,0,0,0
12.413947,0,0,0,0
7.511646,0,0,0,0
8.939600,0,0,0,0
14.604951,0,0,0,0
14.797913,0,0,0,0
16.869042,0,0,0,0
13.169572,0,0,0,0
15.620611,0,0,0,0
12.780576,0,0,0,0
9.756026,0,0,0,0
14.599478,0,0,0,0
11.894100,0,0,0,0
15.359392,0,0,0,0
16.691408,0,0,0,0
17.504442,0,0,0,0
12.214489,0,0,0,0
19.310098,0,0,0,0
13.419527,0,0,0,0
14.633015,0,0,0,0
13.706315,0,0,0,0
14.356403,0,0,0,0
14.404084,0,0,0,0
18.538696,0,0,0,0
16.176202,0,0,0,0
15.681316,0,0,0,0
16.484558,0,0,0,0
14.922811,0,0,0,0
12.417659,0,0,0,0
18.674122,0,0,0,0
14.808089,0,0,0,0
15.166781,0,0,0,0
13.847021,0,0,0,0
13.644234,0,0,0,0
10.804103,0,0,0,0
17.659389,0,0,0,0
13.569866,0,0,0,0
17.708862,0,0,0,0
13.107108,0,0,0,0
8.500426,0,0,0,0
12.377211,0,0,0,0
12.939426,0,0,0,0
13.961198,0,0,0,0
12.602397,0,0,0,0
12.307450,0,0,0,0
10.328769,0,0,0,0
15.043484,0,0,0,0
12.262393,0,0,0,0
15.070173,0,0,0,0
17.766238,0,0,0,0
10.415042,0,0,0,0
9.672953,0,0,0,0
11.000042,0,0,0,0
16.387021,0,0,0,0
15.920487,0,0,0,0
16.079240,0,0,0,0
16.775730,0,0,0,0
12.899041,0,0,0,0
16.987764,0,0,0,0
18.435718,0,0,0,0
15.162173,0,0,0,0
17.546811,0,0,0,0
19.481587,0,0,0,0
19.391250,0,0,0,0
18.430790,0,0,0,0
18.972397,0,0,0,0
16.275691,0,0,0,0
22.319319,0,0,0,0
17.279991,0,0,0,0
14.489301,0,0,0,0
16.766801,0,0,0,0
19.288049,0,0,0,0
17.425050,0,0,0,0
15.487554,0,0,0,0
18.194500,0,0,0,0
20.990822,0,0,0,0
15.043868,0,0,0,0
17.080565,0,0,0,0
19.366002,0,0,0,0
17.285047,0,0,0,0
19.123151,0,0,0,0
15.264095,0,0,0,0
18.893164,0,0,0,0
14.885434,0,0,0,0
22.553657,0,0,0,0
17.910752,0,0,0,0
22.451480,0,0,0,0
17.879295,0,0,0,0
21.116712,0,0,0,0
21.857937,0,0,0,0
25.051897,0,0,0,0
25.812930,0,0,0,0
31.218950,0,0,0,0
32.704857,0,0,0,0
29.493009,0,0,0,0
31.099045,0,0,0,0
36.491752,0,0,0,0
32.703929,0,0,0,0
25.403677,0,0,0,0
21.851793,0,0,0,0
24.845527,0,0,0,0
22.661979,0,0,0,0
18.882924,0,0,0,0
21.293258,0,0,0,0
20.625826,0,0,0,0
26.845647,0,0,0,0
25.173338,0,0,0,0
31.693644,0,0,0,0
22.281046,0,0,0,0
23.907979,0,0,0,0
18.927309,0,0,0,0
23.040960,0,0,0,0
23.028768,0,0,0,0
26.103654,0,0,0,0
23.030112,0,0,0,0
20.501664,0,0,0,0
24.470706,0,0,0,0
28.443107,0,0,0,0
35.409178,0,0,0,0
25.176506,0,0,0,0
29.402639,0,0,0,0
35.227288,0,0,0,0
31.547946,0,0,0,0
34.052745,0,0,0,0
33.455554,0,0,0,0
31.382664,0,0,0,0
31.924079,0,0,0,0
30.913922,0,0,0,0
31.956079,0,0,0,0
30.638623,0,0,0,0
28.304546,0,0,0,0
27.931005,0,0,0,0
28.720295,0,0,0,0
25.016633,0,0,0,0
25.869540,0,0,0,0
29.698803,0,0,0,0
34.505135,0,0,0,0
33.310496,0,0,0,0
32.025968,0,0,0,0
33.905672,0,0,0,0
36.552777,0,0,0,0
38.128444,0,0,0,0
37.918522,0,0,0,0
24.994169,0,0,0,0
33.864167,0,0,0,0
27.569657,0,0,0,0
28.001437,0,0,0,0
38.859334,0,0,0,0
24.247471,0,0,0,0
25.664961,0,0,0,0
27.908957,0,0,0,0
31.737645,0,0,0,0
24.684981,0,0,0,0
29.075435,0,0,0,0
27.657657,0,0,0,0
29.109420,0,0,0,0
28.710535,0,0,0,0
32.258643,0,0,0,0
27.511608,0,0,0,0
22.995999,0,0,0,0
20.389503,0,0,0,0
18.879884,0,0,0,0
22.334871,0,0,0,0
19.077774,0,0,0,0
31.111076,0,0,0,0
26.595084,0,0,0,0
27.740347,0,0,0,0
32.385877,0,0,0,0
22.240374,0,0,0,0
26.645645,0,0,0,0
33.326881,0,0,0,0
24.598644,0,0,0,0
23.317475,0,0,0,0
20.544065,0,0,0,0
28.959178,0,0,0,0
28.471268,0,0,0,0
22.229302,0,0,0,0
13.202277,0,0,0,0
21.369227,0,0,0,0
20.896453,0,0,0,0
26.470155,0,0,0,0
18.778283,0,0,0,0
18.072546,0,0,0,0
19.507668,0,0,0,0
18.432487,0,0,0,0
23.170818,0,0,0,0
16.272395,0,0,0,0
27.561017,0,0,0,0
15.324224,0,0,0,0
9.606872,0,0,0,0
17.169559,0,0,0,0
12.209305,0,0,0,0
19.660149,0,0,0,0
9.659929,0,0,0,0
11.862292,0,0,0,0
15.544866,0,0,0,0
14.707384,0,0,0,0
14.163697,0,0,0,0
11.375150,0,0,0,0
14.395060,0,0,0,0
13.400296,0,0,0,0
9.572312,0,0,0,0
10.435202,0,0,0,0
9.889148,0,0,0,0
8.399145,0,0,0,0
8.655212,0,0,0,0
10.550275,0,0,0,0
11.139883,0,0,0,0
7.558462,0,0,0,0
10.551268,0,0,0,0
7.443389,0,0,0,0
13.245702,0,-1087063232,-1085900477,1079478077
8.926768,564689312,-868598532,276878766,-782577401
8.095493,65535,1061282544,-1087046594,1079516902
9.401813,57,-715031468,1263037323,-1131397465
5.858058,0,-1085299304,-1086793124,1080544883
4.766651,564689792,482566656,783237120,-1781208837
7.949315,65535,-1082357914,-1087489588,1080404303
6.199597,58,480606720,1132325248,1277907389
5.208097,0,1062365864,-1084560534,1080417375
4.078675,564691040,282813696,-172961280,1502482639
