#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.234708,0.035680,0.413605,0.015553,0.015553,9.712506
9.445142,0.114273,1.066254,0.004384,0.004384,10.634469
9.626137,0.229475,5.775080,0.237219,0.237219,26.643981
10.141919,0.266371,15.226494,0.152898,0.152898,50.584952
11.080523,0.404453,15.299135,0.682376,0.682376,59.864972
11.951029,0.369925,17.092470,0.876843,0.876843,70.280719
12.524028,0.446086,24.629748,1.035021,1.035021,84.391583
12.242329,0.263715,24.557683,1.148719,1.148719,88.834199
13.227430,0.387749,27.197204,1.129550,1.129550,91.708955
14.115152,0.248484,34.467566,53.072152,53.072152,172.447180
14.899547,0.299907,37.212818,1.247759,1.247759,102.469633
11.549776,0.299620,28.620198,1.206703,1.206703,90.752718
16.916339,0.423429,39.136842,1.392881,1.392881,115.650245
18.493543,0.334533,37.479220,1.994169,1.994169,130.472799
19.104079,0.319812,39.570191,1.846871,1.846871,129.106990
18.359365,0.230371,39.745201,2.001177,2.001177,132.835388
18.695050,0.309988,45.334358,2.089338,2.089338,149.569006
13.493513,0.246723,31.557803,2.191644,2.191644,139.546833
19.773495,0.309604,50.070674,2.304189,2.304189,157.422128
17.755806,0.192355,45.032147,2.421310,2.421310,147.866169
22.076436,0.314116,52.849173,2.693538,2.693538,169.374822
13.694091,0.244771,37.114960,3.872880,3.872880,147.428435
21.852017,0.352581,50.254196,3.449387,3.449387,191.453593
18.302661,0.321540,40.811454,3.737679,3.737679,162.384238
13.823341,0.277187,33.511939,3.302250,3.302250,248.889799
16.681617,0.345220,37.784345,3.739087,3.739087,146.989134
15.570819,0.232130,35.048567,3.552109,3.552109,145.907200
21.539949,0.248804,53.556413,3.613549,3.613549,169.797131
23.117249,0.304292,52.882229,3.832144,3.832144,197.631687
20.912837,0.321797,42.558196,2.621057,2.621057,159.356808
20.942885,0.387781,53.246170,4.172660,4.172660,187.933997
24.760854,0.445861,65.265488,2.976902,2.976902,213.221546
25.834467,0.421765,57.476751,4.124436,4.124436,196.615610
26.175495,0.353605,52.156172,4.947134,4.947134,212.848517
17.149366,0.387525,38.113405,4.952574,4.952574,165.671319
10.593508,0.181698,25.368413,5.839209,5.839209,141.722667
11.400398,0.180034,23.917931,3.099719,3.099719,131.513484
12.443643,0.166466,27.281174,5.457701,5.457701,145.083382
17.802143,0.197698,42.527476,3.037734,3.037734,162.189548
