#Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
0.000000,0.000000,25.066708,3.465258,0.005408,13.978924,6.052490,0.002912,31.862984
0.000000,0.000000,23.934054,3.055142,0.070753,4.235701,4.118258,0.000960,30.892572
0.000000,0.000000,21.211908,4.939485,0.091937,5.775111,5.194687,0.001440,30.162163
0.000000,0.000000,19.896213,6.243981,0.105314,5.589413,4.043986,0.001088,30.184531
0.000000,0.000000,21.385319,6.914773,0.121346,4.904221,5.827527,1.513842,42.053285
0.000000,0.000000,22.692855,7.292762,0.140066,5.715078,5.232289,0.000992,55.146406
0.000000,0.000000,20.598973,6.510608,0.189442,5.785191,4.871004,0.001280,0.000000
0.000000,0.000000,20.880960,7.219768,0.135682,6.072298,5.371010,0.000960,0.085186
0.000000,0.000000,21.661962,7.300666,0.133537,5.223905,4.231796,0.001152,40.359600
0.000000,0.000000,19.740915,7.063254,0.131553,5.768295,4.677369,0.001056,43.540056
0.000000,0.000000,22.252369,7.227321,0.140802,6.212653,4.669945,1.120302,43.385301
0.000000,0.000000,23.105916,7.090135,0.129506,5.893352,5.300673,0.001568,43.551607
0.000000,0.000000,21.787148,7.148440,0.100450,5.677126,5.038174,0.001024,44.858888
0.000000,0.000000,22.142640,7.054134,0.138913,6.079403,5.288033,0.001024,45.195659
0.000000,0.000000,21.281797,7.343227,0.131874,5.341666,4.643961,0.001088,44.997769
0.000000,0.000000,22.492149,7.187224,0.132737,5.625189,5.873256,1.479123,43.380438
0.000000,0.000000,22.279794,3.013637,0.047360,6.525936,4.638649,0.001344,43.653465
0.000000,0.000000,21.522216,7.391291,0.138530,6.459855,5.138239,0.001120,46.030294
0.000000,0.000000,20.789471,7.368059,0.129793,6.013226,4.741915,0.001088,40.618899
0.000000,0.000000,21.369062,7.272250,0.132866,5.857576,5.580324,0.001280,43.922524
0.000000,0.000000,20.917921,7.849761,0.129346,6.313486,5.434211,1.405361,43.982685
0.000000,0.000000,21.796684,7.407963,0.143394,3.594412,4.765946,0.001216,43.259316
0.000000,0.000000,20.129304,7.135704,0.136354,6.237485,5.677701,0.001472,46.371738
0.000000,0.000000,21.639242,7.533117,0.137473,6.175724,5.199232,0.000992,44.711717
0.000000,0.000000,22.509429,7.134712,0.132674,5.347266,4.466582,0.001408,43.224723
0.000000,0.000000,21.563785,6.756051,0.132481,6.989014,5.672774,1.148910,44.401186
0.000000,0.000000,21.130692,3.115974,0.066273,3.614061,5.127487,0.001568,45.699282
0.000000,0.000000,21.496296,7.332698,0.139522,5.946633,4.439639,0.000832,45.808787
0.000000,0.000000,19.857204,7.356315,0.135234,6.173548,5.716422,0.001120,36.853894
0.000000,0.000000,21.665578,7.122360,0.136642,5.814536,5.459843,0.001376,45.144107
0.000000,0.000000,21.623786,7.102935,0.131330,5.848392,5.360545,1.336656,42.995729
0.000000,0.000000,21.462535,3.101798,0.066145,3.789679,4.893692,0.001025,43.187347
0.000000,0.000000,21.326183,7.043190,0.122242,5.319169,6.094251,0.001056,47.098339
0.000000,0.000000,21.080579,6.797332,0.139233,6.459439,5.229601,0.001088,37.716880
0.000000,0.000000,21.335782,7.127672,0.141729,5.585829,4.965597,1.729141,44.230592
0.000000,0.000000,26.585351,7.109431,0.131682,6.443088,6.289453,0.001408,44.007229
0.000000,0.000000,20.418939,3.173671,0.070720,5.963401,5.755207,0.001280,44.241120
0.000000,0.000000,22.164592,6.788243,0.122466,6.015818,6.264813,0.001472,50.415628
0.000000,0.000000,20.808896,7.220697,0.160962,5.999402,4.796987,0.001408,36.302046
0.000000,0.000000,21.340550,7.589150,0.140610,6.163436,5.402370,1.414161,44.510244
0.000000,0.000000,23.004635,7.380251,0.143745,6.286605,5.554085,0.001760,0.000000
0.000000,0.000000,21.048227,3.085478,0.069473,6.258541,6.669010,0.001568,0.087713
0.000000,0.000000,20.931937,7.433660,0.134658,5.826727,5.309954,0.001216,44.353441
0.000000,0.000000,22.223313,7.268858,0.142978,6.024074,5.576612,0.001312,45.849524
0.000000,0.000000,22.666839,7.400027,0.130690,5.851335,6.267246,2.217243,47.712522
0.000000,0.000000,23.480800,7.187769,0.109313,5.813159,5.820232,0.001824,39.943372
0.000000,0.000000,22.213137,7.224473,0.132258,0.073505,7.505660,0.079905,44.867784
0.000000,0.000000,20.879680,7.302042,0.134658,0.078017,10.069147,0.089441,44.738182
0.000000,0.000000,26.842474,6.963765,0.141762,0.078753,12.115957,3.358890,48.072175
0.000000,0.000000,22.231857,7.505245,0.131937,12.646716,6.160427,0.001568,46.852224
0.000000,0.000000,20.962081,3.291560,0.127458,4.272148,4.352246,0.000960,46.720223
0.000000,0.000000,20.987874,3.183783,0.074401,4.071699,5.216000,0.000960,43.585656
0.000000,0.000000,20.896385,7.147288,0.146754,3.901744,5.270561,4.344950,49.701379
0.000000,0.000000,23.383456,7.763615,0.149666,5.291233,4.654873,0.001248,48.538133
0.000000,0.000000,20.919841,3.669325,0.119777,5.184704,6.280781,0.001184,40.250447
0.000000,0.000000,24.756432,7.541788,0.140705,4.373814,5.822472,0.001088,35.783256
0.000000,0.000000,20.644606,7.741119,0.094401,3.714222,5.397506,0.001024,43.271892
0.000000,0.000000,23.081788,7.472476,0.168387,3.603597,5.444547,7.811872,50.998515
0.000000,0.000000,21.180868,6.400430,0.131393,5.550788,5.021278,0.001088,28.218235
0.000000,0.000000,22.941146,7.521917,0.137474,4.473719,6.824979,0.000928,50.569390
0.000000,0.000000,24.848946,8.326182,0.119874,4.424343,6.691698,0.001248,43.895324
0.000000,0.000000,22.305554,7.041591,0.140226,4.099635,7.099607,0.001344,54.128378
0.000000,0.000000,21.800780,9.655543,0.140161,3.880336,7.732287,9.203345,0.000000
0.000000,0.000000,21.348262,10.470656,0.101473,5.307617,7.344666,0.000832,0.087329
0.000000,0.000000,22.472180,10.516578,0.146369,5.491012,8.119332,0.001088,41.001336
0.000000,0.000000,22.864185,10.292607,0.118113,5.928553,9.235665,0.001248,44.054749
0.000000,0.000000,24.118920,5.988713,0.124993,4.574232,6.768019,0.000736,0.000000
0.000000,0.000000,22.456788,8.981198,0.143394,4.673177,7.706399,5.535396,0.087938
0.000000,0.000000,23.363615,10.021819,0.151426,6.507856,8.362311,0.001248,51.196117
0.000000,0.000000,22.492981,11.955027,0.152738,5.766247,8.015074,0.001632,43.855355
0.000000,0.000000,20.983586,11.193162,0.103329,5.401282,8.711019,0.001216,0.000000
0.000000,0.000000,20.585437,6.885876,0.138402,4.749050,8.237606,6.045482,0.085377
0.000000,0.000000,21.213413,8.906637,0.135586,5.118431,7.806752,0.001248,47.480744
0.000000,0.000000,22.115824,10.583010,0.118146,4.162867,8.149125,0.001184,46.610781
0.000000,0.000000,21.773228,8.141668,0.124546,3.644717,9.424660,0.001152,46.764159
0.000000,0.000000,27.759254,8.528937,0.140930,2.784066,11.338540,4.131059,54.480926
0.000000,0.000000,21.765451,9.992186,0.128514,3.048261,8.161445,0.001376,45.183916
0.000000,0.000000,20.547772,9.515477,0.149570,3.329737,7.905409,0.001184,47.136260
