#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015456,3,1,0,708
0.005088,4,1,0,925
0.453126,5,1,0,1155
0.716841,6,1,0,1385
1.013389,7,1,0,1585
1.488307,8,1,0,1802
1.657269,9,1,0,2020
2.178396,10,1,0,2238
2.363582,0,0,0,0
71.271072,3,1,0,848
2.747523,4,1,0,1193
0.006464,5,1,0,1478
0.004768,6,1,0,1884
0.248739,7,1,0,1741
0.627943,8,1,0,1684
0.418309,9,1,0,2178
1.042573,10,1,0,2559
1.298385,0,0,0,0
1.338449,0,0,0,0
1.342929,0,0,0,0
88.324726,0,0,0,0
1.416242,0,0,0,0
1.578196,0,0,0,0
1.642773,0,0,0,0
1.769750,0,0,0,0
1.841559,0,0,0,0
2.018521,0,0,0,0
2.720227,0,0,0,0
2.728451,0,0,0,0
3.123720,0,0,0,0
3.125543,0,0,0,0
3.372586,0,0,0,0
3.908241,0,0,0,0
4.511609,0,0,0,0
4.168692,0,0,0,0
4.095092,0,0,0,0
4.244597,0,0,0,0
3.864208,3,1,0,637
3.832592,4,1,0,824
3.789776,5,1,0,1007
4.084595,6,1,0,1209
0.005952,7,1,0,1414
0.004608,8,1,0,1613
0.284323,9,1,0,1855
0.764618,10,1,0,2034
1.001644,0,0,0,0
1.279440,3,1,0,657
1.634964,4,1,0,874
2.141819,5,1,0,1100
2.346013,6,1,0,1312
85.618548,7,1,0,1551
2.907173,8,1,0,1738
0.005504,9,1,0,1941
0.004416,10,1,0,2171
0.522823,0,0,0,0
0.759786,3,1,0,432
1.069646,4,1,0,724
1.341585,5,1,0,1007
1.673973,6,1,0,1392
2.291485,7,1,0,1799
2.131931,8,1,0,2164
62.664084,9,1,0,2519
2.879589,10,1,0,2836
0.005920,0,0,0,0
0.003936,0,0,0,0
0.380997,0,0,0,0
0.651432,0,0,0,0
0.888011,0,0,0,0
1.059918,0,0,0,0
1.068013,0,0,0,0
1.334609,0,0,0,0
1.522227,0,0,0,0
63.323420,0,0,0,0
1.675477,0,0,0,0
1.610452,0,0,0,0
1.629429,0,0,0,0
2.214076,0,0,0,0
2.533920,0,0,0,0
2.731363,0,0,0,0
2.789027,0,0,0,0
3.136167,0,0,0,0
3.368842,0,0,0,0
3.772240,0,0,0,0
3.741711,0,0,0,0
5.251682,0,0,0,0
5.063487,0,0,0,0
3.711694,0,0,0,0
4.884318,0,0,0,0
3.763407,0,0,0,0
4.380119,0,0,0,0
5.416260,0,0,0,0
6.837942,0,0,0,0
4.747547,0,0,0,0
4.676283,0,0,0,0
6.934167,0,0,0,0
6.503026,0,0,0,0
8.376074,0,0,0,0
2.694498,0,0,0,0
6.903255,0,0,0,0
3.540589,0,0,0,0
3.765135,0,0,0,0
3.366538,0,0,0,0
6.006316,0,0,0,0
4.948734,0,0,0,0
2.319357,0,0,0,0
3.727663,0,0,0,0
4.933822,0,0,0,0
6.483410,0,0,0,0
5.399876,0,0,0,0
5.569158,0,0,0,0
6.204494,0,0,0,0
7.040024,0,0,0,0
3.575405,0,0,0,0
6.532082,0,0,0,0
3.920146,0,0,0,0
4.275413,0,0,0,0
4.358839,0,0,0,0
4.095956,0,0,0,0
6.521426,0,0,0,0
5.507589,0,0,0,0
5.693512,0,0,0,0
4.439352,0,0,0,0
1.697557,0,0,0,0
5.088256,0,0,0,0
2.391198,0,0,0,0
4.310326,0,0,0,0
4.421848,0,0,0,0
4.862973,0,0,0,0
4.766683,0,0,0,0
3.839601,0,0,0,0
5.523205,0,0,0,0
6.171725,0,0,0,0
5.209025,0,0,0,0
6.862966,0,0,0,0
6.595699,0,0,0,0
5.907082,0,0,0,0
6.400624,0,0,0,0
6.564626,0,0,0,0
5.496869,0,0,0,0
7.689184,0,0,0,0
5.060160,0,0,0,0
6.909463,0,0,0,0
6.780246,0,0,0,0
7.638176,0,0,0,0
8.974577,0,0,0,0
7.386493,0,0,0,0
10.953289,0,0,0,0
10.362339,0,0,0,0
7.995268,0,0,0,0
11.062315,0,0,0,0
9.531160,0,0,0,0
13.622188,0,0,0,0
9.999230,0,0,0,0
8.093606,0,0,0,0
10.784872,0,0,0,0
6.468754,0,0,0,0
7.118458,0,0,0,0
10.320962,0,0,0,0
10.473988,0,0,0,0
9.055794,0,0,0,0
15.408065,0,0,0,0
11.315311,0,0,0,0
10.887657,0,0,0,0
10.738087,0,0,0,0
12.259514,0,0,0,0
11.782228,0,0,0,0
9.155571,0,0,0,0
12.765312,0,0,0,0
13.021156,0,0,0,0
19.009199,0,0,0,0
17.073687,0,0,0,0
14.855227,0,0,0,0
13.205542,0,0,0,0
17.262842,0,0,0,0
19.050160,0,0,0,0
14.731322,0,0,0,0
15.353569,0,0,0,0
18.401351,0,0,0,0
17.575869,0,0,0,0
17.171544,0,0,0,0
16.894452,0,0,0,0
12.640607,0,0,0,0
11.941206,0,0,0,0
14.137074,0,0,0,0
13.231431,0,0,0,0
9.988285,0,0,0,0
14.781082,0,0,0,0
13.616779,0,0,0,0
17.004918,0,0,0,0
14.524982,0,0,0,0
14.284692,0,0,0,0
19.947963,0,0,0,0
20.385216,0,0,0,0
14.920667,0,0,0,0
18.037251,0,0,0,0
22.770622,0,0,0,0
19.518005,0,0,0,0
19.876986,0,0,0,0
22.179223,0,0,0,0
21.937588,0,0,0,0
27.273366,0,0,0,0
23.501735,0,0,0,0
26.123272,0,0,0,0
20.398368,0,0,0,0
22.959713,0,0,0,0
20.575043,0,0,0,0
20.317344,0,0,0,0
25.125948,0,0,0,0
30.453374,0,0,0,0
28.401669,0,0,0,0
23.072323,0,0,0,0
24.464851,0,0,0,0
28.595720,0,0,0,0
23.663242,0,0,0,0
25.586209,0,0,0,0
27.229047,0,0,0,0
23.487624,0,0,0,0
23.068354,0,0,0,0
28.754058,0,0,0,0
25.712195,0,0,0,0
19.603062,0,0,0,0
16.155883,0,0,0,0
19.455029,0,0,0,0
19.064048,0,0,0,0
17.498844,0,0,0,0
14.230099,0,0,0,0
24.735031,0,0,0,0
18.809260,0,0,0,0
14.685400,0,0,0,0
13.555915,0,0,0,0
20.356704,0,0,0,0
15.202079,0,0,0,0
19.932891,0,0,0,0
19.057775,0,0,0,0
18.763532,0,0,0,0
23.249124,0,0,0,0
22.219704,0,0,0,0
17.058871,0,0,0,0
20.186110,0,0,0,0
20.584419,0,0,0,0
27.060052,0,0,0,0
23.161987,0,0,0,0
14.762201,0,0,0,0
13.803757,0,0,0,0
19.598838,0,0,0,0
23.287077,0,0,0,0
22.628349,0,0,0,0
22.097269,0,0,0,0
22.168470,0,0,0,0
24.866328,0,0,0,0
23.667241,0,0,0,0
22.955712,0,0,0,0
19.500277,0,0,0,0
19.036047,0,0,0,0
21.905043,0,0,0,0
20.451553,0,0,0,0
19.981915,0,0,0,0
12.616255,0,0,0,0
17.336794,0,0,0,0
8.213639,0,0,0,0
6.934295,0,0,0,0
11.860341,0,0,0,0
7.127897,0,0,0,0
11.092075,0,0,0,0
11.678291,0,0,0,0
12.434268,0,0,0,0
14.510934,0,0,0,0
13.575179,0,0,0,0
14.909916,0,0,0,0
13.719981,0,0,0,0
15.846951,0,0,0,0
15.693030,0,0,0,0
15.194335,0,0,0,0
14.420149,0,0,0,0
13.765805,0,0,0,0
14.487606,0,0,0,0
12.173081,0,0,0,0
17.952706,0,0,0,0
10.592549,0,0,0,0
11.758484,0,0,0,0
15.818887,0,0,0,0
16.797619,0,0,0,0
18.003939,0,0,0,0
14.268820,0,0,0,0
15.589892,0,0,0,0
15.738790,0,0,0,0
16.626513,0,0,0,0
14.549175,0,0,0,0
17.995778,0,0,0,0
16.258220,0,0,0,0
15.309889,0,0,0,0
12.946467,0,0,0,0
13.949903,0,0,0,0
14.063377,0,0,0,0
13.943471,0,0,0,0
13.018692,0,0,0,0
16.550832,0,0,0,0
10.768135,0,0,0,0
11.533041,0,0,0,0
16.064810,0,0,0,0
12.382428,0,0,0,0
10.161600,0,0,0,0
9.941661,0,0,0,0
8.210856,0,0,0,0
11.260590,0,0,0,0
9.624857,0,0,0,0
13.632011,0,0,0,0
8.512843,0,0,0,0
8.634732,0,0,0,0
13.384328,0,0,0,0
12.184185,0,0,0,0
10.082399,0,0,0,0
14.593592,0,0,0,0
10.183872,0,0,0,0
10.893033,0,0,0,0
11.378863,0,0,0,0
10.610533,0,0,0,0
10.960842,0,0,0,0
11.783412,0,0,0,0
11.960086,0,0,0,0
18.418855,0,0,0,0
13.459913,0,0,0,0
15.848615,0,0,0,0
18.041507,0,0,0,0
13.916399,0,0,0,0
13.009796,0,0,0,0
15.157438,0,0,0,0
18.052771,0,0,0,0
19.087536,0,0,0,0
15.989450,0,0,0,0
21.555535,0,0,0,0
21.195787,0,0,0,0
15.921961,0,0,0,0
19.553110,0,0,0,0
17.945218,0,0,0,0
18.413640,0,0,0,0
18.096612,0,0,0,0
17.216600,0,0,0,0
20.037692,0,0,0,0
15.840871,0,0,0,0
17.364666,0,0,0,0
19.482965,0,0,0,0
15.003133,0,0,0,0
18.250182,0,0,0,0
23.073890,0,0,0,0
23.409030,0,0,0,0
21.318924,0,0,0,0
24.434643,0,0,0,0
24.580597,0,0,0,0
18.820620,0,0,0,0
22.927520,0,0,0,0
23.239812,0,0,0,0
24.668694,0,0,0,0
26.145481,0,0,0,0
28.111041,0,0,0,0
27.270615,0,0,0,0
41.875119,0,0,0,0
23.067938,0,0,0,0
21.406061,0,0,0,0
26.279498,0,0,0,0
19.616406,0,0,0,0
16.950133,0,0,0,0
30.416319,0,0,0,0
24.655990,0,0,0,0
29.856184,0,0,0,0
34.293264,0,0,0,0
30.975334,0,0,0,0
33.702024,0,0,0,0
29.194383,0,0,0,0
15.237664,0,0,0,0
14.144625,0,0,0,0
21.764849,0,0,0,0
16.652114,0,0,0,0
28.399045,0,0,0,0
29.562900,0,0,0,0
26.334187,0,0,0,0
27.216438,0,0,0,0
31.264521,0,0,0,0
27.405464,0,0,0,0
26.099849,0,0,0,0
30.031642,0,0,0,0
25.652483,0,0,0,0
