#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014720,3,1,0,797
0.004288,4,1,0,1125
0.352004,5,1,0,1316
0.720073,6,1,0,1659
0.961452,7,1,0,1883
1.254128,8,1,0,1919
1.294448,9,1,0,2216
1.460114,10,1,0,2643
1.467571,0,0,0,0
39.371045,0,0,0,0
1.558707,0,0,0,0
2.353757,0,0,0,0
2.000409,0,0,0,0
2.176314,0,0,0,0
2.415773,0,0,0,0
2.306588,0,0,0,0
2.797762,0,0,0,0
2.702593,0,0,0,0
3.485611,0,0,0,0
3.388202,0,0,0,0
4.007250,0,0,0,0
4.898076,0,0,0,0
4.896252,0,0,0,0
5.108255,0,0,0,0
4.717243,0,0,0,0
4.914300,0,0,0,0
4.565944,0,0,0,0
5.029214,0,0,0,0
3.945073,0,0,0,0
5.182752,0,0,0,0
5.844968,0,0,0,0
5.876329,0,0,0,0
6.095915,0,0,0,0
5.717767,3,1,0,1116
5.496516,4,1,0,1382
0.005792,5,1,0,1645
0.004512,6,1,0,1953
0.511943,7,1,0,2344
1.320304,8,1,0,2752
1.842359,9,1,0,3012
1.852055,10,1,0,3174
2.399262,0,0,0,0
2.285244,0,0,0,0
1.534067,0,0,0,0
90.074677,0,0,0,0
1.954712,0,0,0,0
2.192955,0,0,0,0
2.373885,0,0,0,0
2.627713,0,0,0,0
3.300040,0,0,0,0
2.899044,0,0,0,0
3.406538,0,0,0,0
3.204071,0,0,0,0
3.610733,0,0,0,0
3.227848,0,0,0,0
3.589517,0,0,0,0
5.061151,0,0,0,0
5.558021,0,0,0,0
5.159071,0,0,0,0
4.676089,0,0,0,0
5.233472,0,0,0,0
5.127135,0,0,0,0
5.178687,0,0,0,0
5.218816,0,0,0,0
5.055006,0,0,0,0
5.296193,0,0,0,0
4.843707,0,0,0,0
4.802811,0,0,0,0
5.057375,0,0,0,0
5.006494,0,0,0,0
4.759674,0,0,0,0
3.777614,0,0,0,0
4.930301,0,0,0,0
3.951216,0,0,0,0
4.828475,0,0,0,0
6.512752,0,0,0,0
5.245952,0,0,0,0
5.185152,0,0,0,0
6.216716,0,0,0,0
5.419587,0,0,0,0
3.223560,0,0,0,0
5.403075,0,0,0,0
5.181984,0,0,0,0
5.286689,0,0,0,0
4.074707,0,0,0,0
4.283317,0,0,0,0
3.026181,0,0,0,0
4.247189,0,0,0,0
4.464023,0,0,0,0
3.858127,0,0,0,0
4.511960,0,0,0,0
6.382158,0,0,0,0
3.852207,0,0,0,0
4.706234,0,0,0,0
4.512567,0,0,0,0
3.859984,0,0,0,0
6.303374,0,0,0,0
4.209332,0,0,0,0
3.295784,0,0,0,0
5.322306,0,0,0,0
4.095891,0,0,0,0
4.750907,0,0,0,0
5.357314,0,0,0,0
6.773331,0,0,0,0
4.383670,0,0,0,0
5.513220,0,0,0,0
6.449647,0,0,0,0
4.480087,0,0,0,0
4.525080,0,0,0,0
4.716218,0,0,0,0
5.470691,0,0,0,0
6.254125,0,0,0,0
4.742907,0,0,0,0
3.718862,0,0,0,0
3.997489,0,0,0,0
6.676082,0,0,0,0
4.370582,0,0,0,0
4.246741,0,0,0,0
5.182048,0,0,0,0
5.335842,0,0,0,0
7.672990,0,0,0,0
4.231572,0,0,0,0
6.045803,0,0,0,0
6.354382,0,0,0,0
4.599513,0,0,0,0
6.063691,0,0,0,0
5.803368,0,0,0,0
5.953769,0,0,0,0
6.022315,0,0,0,0
4.775322,0,0,0,0
5.130111,0,0,0,0
6.522448,0,0,0,0
6.285646,0,0,0,0
6.420815,0,0,0,0
5.370882,0,0,0,0
6.741011,0,0,0,0
5.553573,0,0,0,0
6.572753,0,0,0,0
5.963561,0,0,0,0
5.579908,0,0,0,0
5.562149,0,0,0,0
3.821839,0,0,0,0
5.896841,0,0,0,0
5.651814,0,0,0,0
5.764231,0,0,0,0
5.642214,0,0,0,0
4.457335,0,0,0,0
5.755558,0,0,0,0
5.272385,0,0,0,0
5.835752,0,0,0,0
6.061643,0,0,0,0
4.696698,0,0,0,0
7.107863,0,0,0,0
5.229376,0,0,0,0
6.702674,0,0,0,0
7.041654,0,0,0,0
5.640838,0,0,0,0
8.312294,0,0,0,0
6.118635,0,0,0,0
6.232749,0,0,0,0
4.415223,0,0,0,0
7.336026,0,0,0,0
6.241741,0,0,0,0
6.596593,0,0,0,0
7.227865,0,0,0,0
6.786771,0,0,0,0
5.614629,0,0,0,0
7.439163,0,0,0,0
6.912917,0,0,0,0
6.917045,0,0,0,0
6.937045,0,0,0,0
7.666398,0,0,0,0
7.847616,0,0,0,0
7.692127,0,0,0,0
6.586417,0,0,0,0
6.702707,0,0,0,0
6.440143,0,0,0,0
7.436540,0,0,0,0
7.492669,0,0,0,0
9.681751,0,0,0,0
9.756856,0,0,0,0
9.271506,0,0,0,0
8.667211,0,0,0,0
10.312095,0,0,0,0
10.827589,0,0,0,0
10.079452,0,0,0,0
11.994196,0,0,0,0
7.820737,0,0,0,0
9.261234,0,0,0,0
8.601194,0,0,0,0
11.326636,0,0,0,0
10.047227,0,0,0,0
11.492686,0,0,0,0
9.820409,0,0,0,0
9.915514,0,0,0,0
11.970387,0,0,0,0
8.387463,0,0,0,0
10.656899,0,0,0,0
9.157297,0,0,0,0
10.791749,0,0,0,0
12.638843,0,0,0,0
9.094768,0,0,0,0
10.338591,0,0,0,0
17.182932,0,0,0,0
17.808923,0,0,0,0
15.849028,0,0,0,0
13.188003,0,0,0,0
11.896275,0,0,0,0
12.039061,0,0,0,0
13.392517,0,0,0,0
13.947660,0,0,0,0
17.176564,0,0,0,0
13.733225,0,0,0,0
13.472709,0,0,0,0
13.360613,0,0,0,0
15.183963,0,0,0,0
12.174133,0,0,0,0
13.551847,0,0,0,0
15.514879,0,0,0,0
14.627412,0,0,0,0
14.367633,0,0,0,0
12.064564,0,0,0,0
13.100193,0,0,0,0
18.567781,0,0,0,0
15.330013,0,0,0,0
19.031274,0,0,0,0
16.865936,0,0,0,0
15.844899,0,0,0,0
12.181942,0,0,0,0
15.408669,0,0,0,0
15.622144,0,0,0,0
15.499167,0,0,0,0
15.328637,0,0,0,0
15.849827,0,0,0,0
12.413176,0,0,0,0
15.568319,0,0,0,0
18.441284,0,0,0,0
13.928492,0,0,0,0
13.289252,0,0,0,0
14.592340,0,0,0,0
14.832567,0,0,0,0
16.278633,0,0,0,0
17.947613,0,0,0,0
12.567259,0,0,0,0
11.201738,0,0,0,0
11.614575,0,0,0,0
13.147074,0,0,0,0
16.045702,0,0,0,0
15.063641,0,0,0,0
11.702288,0,0,0,0
17.303413,0,0,0,0
17.975805,0,0,0,0
10.161725,0,0,0,0
16.947569,0,0,0,0
12.068020,0,0,0,0
15.855203,0,0,0,0
13.338756,0,0,0,0
16.468555,0,0,0,0
14.403377,0,0,0,0
12.409273,0,0,0,0
12.500986,0,0,0,0
12.221302,0,0,0,0
11.102025,0,0,0,0
10.725476,0,0,0,0
15.466014,0,0,0,0
9.402579,0,0,0,0
14.957112,0,0,0,0
11.236107,0,0,0,0
14.436562,0,0,0,0
14.453874,0,0,0,0
14.912760,0,0,0,0
12.529786,0,0,0,0
11.959219,0,0,0,0
13.567943,0,0,0,0
9.882425,0,0,0,0
8.862189,0,0,0,0
12.415385,0,0,0,0
12.604187,0,0,0,0
13.311428,0,0,0,0
11.050728,0,0,0,0
13.173091,0,0,0,0
11.722544,0,0,0,0
13.250243,0,0,0,0
10.428800,0,0,0,0
7.683007,0,0,0,0
13.902539,0,0,0,0
10.037531,0,0,0,0
12.430777,0,0,0,0
9.516502,0,0,0,0
9.541365,0,0,0,0
11.565998,0,0,0,0
12.760541,0,0,0,0
11.009000,0,0,0,0
12.690781,0,0,0,0
11.014024,0,0,0,0
12.127637,0,0,0,0
13.383365,0,0,0,0
15.668001,0,0,0,0
13.906699,0,0,0,0
14.295888,0,0,0,0
14.911288,0,0,0,0
12.949888,0,0,0,0
