#Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
0.000000,0.000000,23.626595,2.855555,0.004640,11.042248,2.602176,0.003392,31.104127
0.000000,0.000000,23.611139,3.766350,0.076257,2.519231,2.217851,0.001152,31.479139
0.000000,0.000000,22.008111,5.515492,0.078721,2.350589,2.039737,0.001472,31.458308
0.000000,0.000000,18.966217,5.497315,0.106017,2.241852,2.109434,0.001248,28.425502
0.000000,0.000000,19.220941,6.629586,0.118850,1.542931,2.069817,0.639080,30.169620
0.000000,0.000000,19.852853,6.342094,0.117250,2.830659,3.504683,0.001184,30.336534
0.000000,0.000000,20.302523,6.418447,0.120610,2.178139,3.245768,0.001120,31.050047
0.000000,0.000000,21.231622,2.965636,0.074113,1.834455,3.488939,0.001184,28.106555
0.000000,0.000000,23.811205,6.299117,0.128610,1.965336,3.600493,0.001184,34.279591
0.000000,0.000000,20.961890,6.746835,0.127649,1.487155,3.628524,0.001120,31.828232
0.000000,0.000000,18.555204,6.431504,0.126306,1.518131,3.347337,0.814410,29.120327
0.000000,0.000000,21.621483,6.448847,0.117217,5.031806,3.656589,0.000960,32.519440
0.000000,0.000000,21.729388,6.248621,0.132098,3.552012,4.676858,0.001216,32.284526
0.000000,0.000000,20.850177,6.448079,0.120450,3.164903,4.528504,0.001408,31.500996
0.000000,0.000000,25.458778,6.491568,0.129634,3.416266,4.510968,0.001504,36.288959
0.000000,0.000000,19.525521,6.408079,0.122978,3.082694,3.850383,0.001056,30.154324
0.000000,0.000000,19.537745,6.335534,0.120321,3.031461,3.654669,0.913804,30.187604
0.000000,0.000000,19.473232,6.641810,0.117346,6.545936,8.874478,0.001120,30.322038
0.000000,0.000000,19.923349,6.547953,0.121057,6.841204,7.686303,0.001056,30.782460
0.000000,0.000000,18.906089,6.653650,0.120865,6.604561,7.224441,0.001056,29.899824
0.000000,0.000000,19.538065,6.510832,0.123073,6.300525,6.748947,0.001280,31.149344
0.000000,0.000000,22.586614,6.719763,0.127234,5.186880,7.157689,0.001056,33.455772
0.000000,0.000000,19.571986,6.653682,0.118498,6.355951,6.255981,0.578695,30.321654
