#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.055925,0.063328,0.724714,0.014272,0.014272,9.870527
9.547163,0.111970,1.363377,0.004640,0.004640,11.032238
10.268740,0.131138,1.854776,0.421350,0.421350,28.151756
10.514920,0.140706,2.404223,0.721258,0.721258,33.832342
10.940494,0.067649,3.152009,0.978221,0.978221,35.190728
11.397939,0.049825,3.529229,1.235216,1.235216,42.506150
11.791321,0.035328,4.313048,1.606453,1.606453,38.912536
12.045916,0.038976,5.314181,2.029562,2.029562,65.051177
12.597155,0.050176,6.105007,2.244381,2.244381,63.200273
13.073257,0.049761,8.727665,62.145988,62.145988,124.666957
13.160394,0.054529,8.939412,2.580706,2.580706,63.924059
9.273176,0.068001,0.764490,0.005856,0.005856,10.115779
9.844831,0.220291,1.870232,0.004448,0.004448,11.944346
10.312838,0.359236,8.404877,0.152674,0.152674,30.476715
10.812108,0.472582,16.238386,0.701001,0.701001,56.639773
11.768440,0.515431,16.957211,1.014797,1.014797,63.867738
11.866521,0.545383,24.458525,1.145775,1.145775,79.187296
11.371347,0.581800,18.044393,1.316721,1.316721,70.264109
11.347507,0.348932,19.288474,1.326225,1.326225,72.795213
12.124093,0.325316,26.721690,1.870648,1.870648,88.072467
12.783206,0.453958,37.024766,75.465264,75.465264,171.434858
13.378605,0.444294,41.407511,1.521396,1.521396,113.275801
13.636337,0.520199,36.675610,1.980314,1.980314,101.144733
10.562153,0.366757,24.979203,1.706998,1.706998,77.206375
12.112380,0.370181,27.114783,1.878424,1.878424,87.764815
13.137962,0.262787,30.788014,1.922104,1.922104,95.304977
14.353786,0.202307,31.180787,2.186173,2.186173,97.363148
14.301881,0.321828,38.734677,2.510624,2.510624,120.753338
10.304901,0.274851,45.243178,2.877317,2.877317,123.024215
17.427809,0.642889,54.640066,3.208202,3.208202,142.339217
17.516450,0.508903,45.568333,3.467053,3.467053,132.509778
16.339123,0.460294,37.456389,3.740465,3.740465,131.236802
16.159217,0.369989,37.236961,4.900383,4.900383,137.415793
17.632164,0.257443,44.816868,4.513114,4.513114,142.230799
12.685828,0.304868,43.043629,4.250807,4.250807,132.622356
11.579862,0.406053,43.965401,4.423001,4.423001,218.957648
19.046422,0.502215,54.988007,4.572219,4.572219,153.304927
16.121201,0.320036,44.986470,4.716093,4.716093,143.568289
10.871788,0.253731,31.547321,4.641148,4.641148,111.502114
8.446221,0.165314,22.739110,4.247063,4.247063,96.659490
9.057653,0.108578,23.159787,4.612603,4.612603,111.960008
8.189514,0.093825,22.336641,4.262647,4.262647,92.326474
9.634493,0.045377,0.560679,0.005728,0.005728,10.250469
9.847391,0.178082,1.443091,0.004480,0.004480,11.477236
10.131075,0.302372,2.026299,0.317060,0.317060,24.881538
10.518632,0.224675,2.614882,0.663465,0.663465,30.084293
10.801932,0.125921,2.989575,0.881932,0.881932,33.295727
11.068687,0.082721,3.881618,1.121518,1.121518,31.122930
11.396435,0.052417,4.543003,1.416402,1.416402,34.913891
11.701431,0.063425,5.117506,1.896537,1.896537,38.831382
12.104284,0.056673,5.769035,2.373054,2.373054,43.328240
12.350944,0.051905,6.204112,63.127441,63.127441,134.150408
12.704164,0.039233,6.868121,2.889062,2.889062,60.038761
9.450586,0.063041,0.727018,0.005376,0.005376,10.249413
10.042658,0.185955,1.400050,0.004352,0.004352,11.637367
10.482696,0.198626,1.860185,0.527846,0.527846,29.079384
10.765579,0.187683,2.534625,0.831114,0.831114,35.735886
11.183441,0.049632,3.043368,1.091278,1.091278,42.010879
11.423668,0.046176,3.525326,1.409074,1.409074,35.122118
11.930715,0.035616,4.036820,1.633109,1.633109,56.502459
12.305311,0.029825,5.007105,2.134652,2.134652,60.878068
12.751493,0.036865,5.658249,2.381791,2.381791,63.125105
13.272172,0.032064,6.604566,46.220022,46.220022,109.432648
13.880436,0.032608,7.253534,2.245565,2.245565,92.438668
9.370009,0.055361,0.642792,0.005376,0.005376,10.080066
9.719518,0.208546,1.395698,0.004064,0.004064,11.331570
10.174019,0.361797,2.635234,0.425894,0.425894,27.145919
10.551849,0.386757,12.055803,0.688553,0.688553,50.199785
10.972078,0.448422,16.544310,0.986509,0.986509,59.980200
11.369555,0.549863,20.583626,1.009517,1.009517,65.434734
12.004027,0.590696,27.284609,1.115950,1.115950,75.009258
12.207358,0.532679,30.835215,1.229072,1.229072,85.556275
12.740453,0.550151,35.298729,1.673238,1.673238,116.146911
13.410925,0.506599,39.432062,79.903562,79.903562,179.089261
13.311468,0.472967,45.964178,1.533364,1.533364,121.375618
13.437358,0.487686,50.248970,1.535668,1.535668,117.492976
14.150583,0.515399,49.711395,1.692054,1.692054,125.622585
14.621661,0.525447,55.970900,1.950201,1.950201,130.382454
10.214788,0.440998,37.249666,2.136956,2.136956,123.825794
14.459483,0.455142,40.573805,2.466144,2.466144,233.112488
15.770060,0.636264,56.195063,2.554177,2.554177,147.600757
16.359571,0.582504,57.471015,2.872486,2.872486,144.617871
16.442900,0.574152,66.174776,2.951718,2.951718,181.571853
16.828889,0.542279,51.465754,3.220298,3.220298,152.535861
16.838810,0.477478,56.627261,3.113224,3.113224,160.130039
11.096240,0.407109,49.211517,5.196163,5.196163,156.587050
14.045686,0.432453,36.677467,3.224746,3.224746,152.510165
15.479688,0.555495,52.669642,3.744080,3.744080,182.922398
15.421831,0.755306,52.393062,4.058869,4.058869,202.996546
15.938159,0.625704,55.413773,4.944192,4.944192,191.983316
16.367795,0.619816,55.502670,4.284311,4.284311,214.741529
12.169758,0.508390,40.607822,5.398021,5.398021,188.008128
14.365370,0.493670,38.232559,4.565371,4.565371,183.912939
11.715383,0.430342,35.924561,6.129232,6.129232,188.228099
11.410196,0.526567,34.469054,4.737373,4.737373,184.326705
10.572361,0.574535,32.936490,4.586107,4.586107,188.089441
11.874714,0.737225,34.807202,7.174812,7.174812,188.807947
15.409736,0.830891,45.015366,5.230340,5.230340,198.938062
15.432008,0.851531,46.970560,6.742359,6.742359,208.555402
15.632746,0.912908,47.445445,5.299236,5.299236,207.463611
8.546126,0.610504,25.946608,4.186934,4.186934,169.772532
13.993941,0.861035,41.012339,4.592059,4.592059,195.740164
10.840204,0.760682,33.619955,5.870476,5.870476,185.390239
10.608361,0.745546,33.646835,3.712432,3.712432,187.941087
10.695370,0.824267,32.390435,4.357176,4.357176,205.752965
13.678321,0.919692,40.793295,3.911506,3.911506,212.779232
14.406106,0.837963,41.190773,5.607496,5.607496,206.725554
10.977358,0.709033,31.311349,5.168835,5.168835,191.483661
11.110960,0.689577,27.138783,5.451558,5.451558,187.715036
9.914528,0.605864,29.308891,5.662025,5.662025,187.823229
8.021416,0.560647,21.497014,6.943290,6.943290,175.334556
14.155895,0.792138,47.196163,8.256139,8.256139,224.936766
12.300255,0.701769,34.539359,4.685020,4.685020,199.479188
9.380538,0.650888,28.408624,4.520347,4.520347,187.961600
9.536059,0.745098,27.955401,7.177885,7.177885,191.216073
9.540827,0.632649,27.845608,5.527015,5.527015,187.089204
9.381273,0.730346,25.622251,6.576981,6.576981,187.052212
10.394535,0.882859,31.604153,6.194576,6.194576,186.750352
9.070901,0.835979,24.952803,5.202084,5.202084,187.225334
10.024898,0.856555,28.676691,6.410419,6.410419,183.725449
9.466714,0.898476,28.178060,5.528583,5.528583,188.417637
9.694781,0.879532,27.727974,6.712247,6.712247,187.539930
10.236996,0.799146,34.180667,7.136316,7.136316,184.258127
11.039214,0.914700,34.522495,7.108284,7.108284,584.935119
11.460276,1.875288,50.318187,2.911269,2.911269,203.657131
10.426887,1.277009,42.889387,2.285085,2.285085,184.684405
9.866528,0.994989,33.413584,5.196003,5.196003,165.485437
11.839897,1.008077,45.505485,5.353893,5.353893,185.049306
10.564040,1.003117,45.450092,5.159299,5.159299,188.491142
10.952110,0.870699,42.799946,4.903488,4.903488,179.660757
11.404980,0.651912,39.027737,4.921728,4.921728,167.113970
8.167530,0.412133,26.482487,5.668970,5.668970,149.994101
14.623389,0.729065,65.277133,7.585027,7.585027,212.338875
13.963188,0.584104,52.496007,6.213392,6.213392,189.052750
14.566460,0.735018,49.881381,5.619880,5.619880,188.886731
12.235358,0.677705,44.129883,4.870591,4.870591,186.320778
12.278878,0.757418,42.175842,7.017498,7.017498,180.790594
12.010491,0.699337,42.002656,5.983117,5.983117,184.248591
12.552610,0.681321,42.084160,7.521761,7.521761,182.688795
10.566728,0.681033,36.651994,6.210000,6.210000,171.546219
10.156387,0.586152,35.861840,7.192509,7.192509,172.652153
10.158435,0.597032,40.454667,6.620502,6.620502,185.082810
10.341958,0.657193,36.428759,9.171223,9.171223,187.674428
10.943597,0.740522,40.474859,7.323359,7.323359,190.008058
10.205348,0.743498,39.426462,10.463623,10.463623,191.353131
11.060367,0.845899,42.415428,12.041308,12.041308,191.403116
9.450074,0.747146,36.351798,9.366073,9.366073,190.699939
9.824767,0.768714,38.135278,11.406036,11.406036,192.962849
10.101763,0.741353,38.415729,14.993858,14.993858,201.688497
9.469882,0.724842,34.609695,10.994319,10.994319,196.018792
8.775537,0.721962,33.966615,7.905830,7.905830,199.667607
8.605039,0.815211,34.497758,11.797368,11.797368,204.562070
7.756164,0.889804,28.632690,14.082966,14.082966,202.754879
6.496436,0.883915,23.952214,10.932813,10.932813,199.102543
13.624657,1.243568,47.876939,7.595203,7.595203,249.546333
10.036546,0.838987,37.264514,11.483508,11.483508,222.661729
11.562774,0.840523,42.063680,7.220830,7.220830,248.469615
7.463168,0.720842,30.481834,7.973607,7.973607,220.477860
9.093941,0.729642,37.645287,11.328307,11.328307,245.886381
6.547956,0.612424,24.019223,12.805670,12.805670,217.297787
6.683319,0.519462,24.199833,12.342592,12.342592,217.403869
8.943379,0.599688,34.619360,10.338534,10.338534,235.700009
13.291884,1.083502,48.808183,10.542953,10.542953,257.291777
8.746673,0.794666,27.223200,10.345606,10.345606,217.783169
7.828133,0.665705,25.774445,11.577749,11.577749,210.892744
14.770623,0.859532,46.714972,17.208350,17.208350,260.262439
9.249432,0.659560,34.464286,10.989454,10.989454,220.958954
8.933332,0.683305,34.967364,13.622033,13.622033,224.107444
12.999944,0.762922,44.938757,18.081002,18.081002,265.633516
9.467962,0.579720,34.187834,13.337549,13.337549,223.637261
13.260843,0.799499,52.425766,19.148375,19.148375,261.843739
9.617629,0.588647,38.924632,20.796493,20.796493,228.847761
12.806853,0.692809,49.673635,17.390529,17.390529,243.318219
11.921722,0.672297,46.174069,20.393384,20.393384,236.202000
16.058096,0.633608,51.857311,15.763116,15.763116,249.937730
17.541186,0.848715,70.058667,19.876865,19.876865,276.095091
10.172420,0.590119,42.171906,13.963733,13.963733,232.166652
11.625750,0.726506,44.661282,14.260889,14.260889,237.963335
11.573781,0.730154,43.477042,16.272467,16.272467,260.107333
9.947201,0.717225,35.725295,15.120612,15.120612,234.101013
12.172862,0.718409,43.192303,10.635626,10.635626,256.668953
9.431770,0.639560,35.486891,15.242181,15.242181,238.029991
17.023772,1.005741,67.153413,14.046710,14.046710,283.601429
16.754201,0.901547,61.409435,15.957710,15.957710,279.766691
17.321632,0.822442,62.150372,14.747391,14.747391,277.591303
9.367353,0.544776,38.284079,11.258033,11.258033,262.105823
9.986017,0.584360,36.548217,16.160594,16.160594,259.427805
10.220356,0.491814,38.951768,18.402190,18.402190,254.982082
9.257272,0.500646,34.252476,18.870036,18.870036,259.530942
9.666845,0.634089,36.898077,20.076516,20.076516,260.845263
10.044610,0.604104,36.657274,15.245222,15.245222,257.450403
9.800703,0.593448,38.735253,21.717753,21.717753,261.269556
9.801247,0.595656,42.435557,22.386146,22.386146,268.576371
10.104579,0.551975,44.519200,20.097636,20.097636,273.092269
10.402662,0.570824,45.849009,19.058999,19.058999,263.812277
10.782540,0.548295,46.734908,21.378869,21.378869,268.655508
10.160163,0.599624,42.389508,20.007779,20.007779,267.346691
10.289862,0.640552,44.106619,20.468872,20.468872,267.043327
10.404742,0.624424,42.545223,28.329294,28.329294,274.282268
10.734507,0.613288,43.687445,26.193811,26.193811,274.040858
10.676522,0.457190,41.209654,22.669958,22.669958,272.552071
10.253253,0.497574,41.713980,22.772775,22.772775,275.728112
9.988289,0.435654,41.856765,24.051256,24.051256,282.319621
17.541123,0.661193,58.263730,32.076383,32.076383,298.017136
13.454766,0.595080,47.918700,24.896898,24.896898,281.585979
14.506940,0.704105,47.915372,27.790856,27.790856,280.067688
19.823104,0.906124,65.500303,26.685561,26.685561,311.110777
16.502005,0.702569,57.800588,24.332059,24.332059,289.970247
22.645861,0.927564,72.989328,27.239361,27.239361,333.436794
18.433615,0.614056,58.912986,25.799918,25.799918,283.244689
22.241856,0.615880,76.042135,27.065214,27.065214,305.625906
13.122666,0.452870,58.804664,25.283815,25.283815,284.273662
12.484450,0.425189,54.861382,23.262029,23.262029,263.770421
12.130269,0.503047,56.785311,24.716032,24.716032,283.318738
13.069033,0.494182,57.561481,21.072145,21.072145,267.751432
20.036483,0.653129,76.275419,18.169899,18.169899,296.458236
11.882970,0.514278,48.003597,21.190866,21.190866,260.397097
11.090031,0.608584,44.926246,23.714579,23.714579,264.828194
18.415887,0.763882,66.064726,19.058263,19.058263,285.753074
18.565008,0.780331,76.132697,22.277569,22.277569,319.703977
9.456922,0.588296,37.595910,19.125208,19.125208,267.882954
17.986217,0.811594,66.676959,20.596138,20.596138,288.679351
11.175569,0.526470,46.538139,13.833651,13.833651,260.872623
9.839583,0.458438,36.511832,16.660567,16.660567,265.857007
9.411674,0.578311,38.497107,16.979579,16.979579,259.773793
9.352569,0.585735,34.450398,19.623837,19.623837,260.692876
9.551963,0.502343,31.492823,18.062569,18.062569,244.049942
