#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015105,3,1,0,420
0.004448,4,1,0,545
0.225379,5,1,0,677
0.324132,6,1,0,1119
0.444486,7,1,0,1636
0.595976,8,1,0,2251
0.626440,9,1,0,2609
0.834891,10,1,0,2970
0.655176,0,0,0,0
65.225946,0,0,0,0
1.194832,0,0,0,0
1.083982,0,0,0,0
1.338546,0,0,0,0
1.637078,0,0,0,0
1.460435,0,0,0,0
1.470451,0,0,0,0
2.007355,0,0,0,0
2.193085,0,0,0,0
2.044635,0,0,0,0
3.003816,0,0,0,0
2.704323,0,0,0,0
3.754065,0,0,0,0
3.756465,0,0,0,0
3.978612,0,0,0,0
4.266616,0,0,0,0
4.323672,0,0,0,0
4.174231,0,0,0,0
4.276824,0,0,0,0
4.433402,0,0,0,0
4.395706,0,0,0,0
4.486331,0,0,0,0
3.434317,0,0,0,0
3.704081,0,0,0,0
4.891520,0,0,0,0
4.763102,0,0,0,0
5.920589,0,0,0,0
5.099875,0,0,0,0
4.304824,0,0,0,0
5.914958,0,0,0,0
5.368263,0,0,0,0
6.875674,0,0,0,0
4.098774,0,0,0,0
7.491618,3,1,0,490
7.281024,4,1,0,622
0.006720,5,1,0,748
0.004576,6,1,0,892
0.369765,7,1,0,1036
0.432998,8,1,0,1194
0.580968,9,1,0,1322
0.988397,10,1,0,1451
0.927245,0,0,0,0
1.132783,3,1,0,478
1.221328,4,1,0,614
47.742612,5,1,0,758
1.130063,6,1,0,906
0.005440,7,1,0,1015
0.004416,8,1,0,1154
0.336741,9,1,0,1289
0.586792,10,1,0,1408
0.819691,0,0,0,0
0.839787,3,1,0,677
0.891116,4,1,0,1068
1.045806,5,1,0,1383
0.996749,6,1,0,2097
51.242049,7,1,0,2716
1.384531,8,1,0,3212
0.005568,9,1,0,3829
0.004576,10,1,0,4537
0.284740,0,0,0,0
0.707785,0,0,0,0
0.954412,0,0,0,0
1.147951,0,0,0,0
1.421138,0,0,0,0
1.610261,0,0,0,0
1.905241,0,0,0,0
96.607670,0,0,0,0
1.717431,0,0,0,0
2.112732,0,0,0,0
2.009339,0,0,0,0
2.125628,0,0,0,0
2.131196,0,0,0,0
2.746180,0,0,0,0
2.905990,0,0,0,0
3.195370,0,0,0,0
3.379629,0,0,0,0
4.184567,0,0,0,0
4.028117,0,0,0,0
5.486280,0,0,0,0
5.336582,0,0,0,0
5.339398,0,0,0,0
4.781502,0,0,0,0
5.390951,0,0,0,0
4.105878,0,0,0,0
4.346041,0,0,0,0
5.746892,0,0,0,0
4.442170,0,0,0,0
7.409889,0,0,0,0
4.691870,0,0,0,0
7.466531,0,0,0,0
4.227063,0,0,0,0
3.801138,0,0,0,0
4.865056,0,0,0,0
2.875046,0,0,0,0
2.988199,0,0,0,0
6.107024,0,0,0,0
4.992642,0,0,0,0
7.589348,0,0,0,0
5.813293,0,0,0,0
7.007324,0,0,0,0
5.357606,0,0,0,0
7.451746,0,0,0,0
5.821197,0,0,0,0
8.422607,0,0,0,0
7.212767,0,0,0,0
4.310520,0,0,0,0
4.193655,0,0,0,0
7.124029,0,0,0,0
3.255499,0,0,0,0
5.434759,0,0,0,0
5.815629,0,0,0,0
7.336353,0,0,0,0
9.072119,0,0,0,0
6.369108,0,0,0,0
5.010146,0,0,0,0
4.778655,0,0,0,0
4.391450,0,0,0,0
10.418185,0,0,0,0
4.813023,0,0,0,0
7.419457,0,0,0,0
5.512648,0,0,0,0
5.812461,0,0,0,0
6.514486,0,0,0,0
5.333286,0,0,0,0
6.741913,0,0,0,0
5.394471,0,0,0,0
