#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638518077829376.000000,0.000000,0.000000,23.637939,2.071035,0.004864,10.272518,2.060443,0.003360,31.285014
1403638518127829504.000000,0.000000,0.000000,15.369255,2.305214,0.065313,1.541268,1.893177,0.001376,20.989521
1403638518177829376.000000,0.000000,0.000000,16.499895,3.733968,0.069920,1.505683,1.651030,0.001312,24.438814
1403638518227829504.000000,0.000000,0.000000,12.901927,3.099721,0.088002,1.146159,1.800216,0.001344,20.116773
1403638518277829376.000000,0.000000,0.000000,14.021590,4.310552,0.114401,1.185231,1.788984,3.450829,23.600243
1403638518327829504.000000,0.000000,0.000000,15.343112,4.356056,0.114145,2.560322,2.326302,0.001312,24.104441
1403638518377829376.000000,0.000000,0.000000,14.591933,4.685117,0.115873,1.892665,2.624898,0.001216,23.476337
1403638518427829504.000000,0.000000,0.000000,16.164722,4.397049,0.116769,1.577589,3.234602,0.001536,24.956260
1403638518477829376.000000,0.000000,0.000000,21.530359,4.224950,0.118017,1.430931,2.837605,0.001344,30.005061
1403638518527829504.000000,0.000000,0.000000,13.546768,4.603452,0.148258,1.136079,3.162025,0.001408,22.428675
1403638518577829376.000000,0.000000,0.000000,13.665745,4.199383,0.118626,1.287120,2.786244,9.982593,22.116128
1403638518627829504.000000,0.000000,0.000000,13.319629,4.437626,0.107874,6.575349,4.762334,0.001408,21.939741
1403638518677829376.000000,0.000000,0.000000,14.319610,4.305079,0.112161,5.550856,5.821963,0.001248,22.998122
1403638518727829504.000000,0.000000,0.000000,12.161598,3.996116,0.113986,5.729610,5.477415,0.001408,20.629100
1403638518777829376.000000,0.000000,0.000000,13.922069,5.063938,0.121026,5.716427,5.726058,0.001472,23.413264
1403638518827829504.000000,0.000000,0.000000,16.115730,4.537403,0.100514,5.232228,5.552648,0.001184,26.567993
1403638518877829376.000000,0.000000,0.000000,12.758182,4.741246,0.113762,5.404934,6.021038,7.103676,21.575705
1403638518927829504.000000,0.000000,0.000000,13.327725,4.257303,0.094209,8.057737,8.879636,0.001184,22.093887
1403638518977829376.000000,0.000000,0.000000,13.241516,4.722685,0.117793,8.406413,8.462318,0.001600,22.302466
1403638519027829504.000000,0.000000,0.000000,13.120011,4.463130,0.095649,7.116893,8.271499,0.001920,21.826235
1403638519077829376.000000,0.000000,0.000000,12.993832,4.312313,0.112417,7.669091,7.987912,0.001120,21.589048
1403638519127829504.000000,0.000000,0.000000,15.234790,4.164951,0.102817,7.411552,7.763589,0.001632,23.874550
1403638519177829376.000000,0.000000,0.000000,13.730706,4.764542,0.113569,6.757848,8.195850,2.898790,24.205946
1403638519227829504.000000,0.000000,0.000000,13.283052,4.398202,0.113410,8.174026,8.060041,0.001824,22.277730
1403638519277829376.000000,0.000000,0.000000,13.373773,4.174871,0.114593,7.996104,8.809651,0.001568,21.617912
1403638519327829504.000000,0.000000,0.000000,14.215673,4.437178,0.102018,8.038536,8.508399,0.001088,23.194765
1403638519377829376.000000,0.000000,0.000000,15.059300,5.022465,0.115618,7.362528,8.243019,0.001504,24.556191
1403638519427829504.000000,0.000000,0.000000,13.681010,4.636477,0.102049,7.631460,8.733073,2.697220,22.666694
1403638519477829376.000000,0.000000,0.000000,12.801862,4.401530,0.096897,8.767538,8.521295,0.001312,21.470583
1403638519527829504.000000,0.000000,0.000000,14.708607,4.506522,0.111938,7.060028,9.384474,0.001824,23.509009
1403638519577829376.000000,0.000000,0.000000,15.369671,4.805822,0.098017,6.286834,9.874400,0.001376,24.491742
1403638519627829504.000000,0.000000,0.000000,14.767360,4.345625,0.098530,6.605366,9.416890,0.001696,23.551058
1403638519677829376.000000,0.000000,0.000000,13.352398,4.177846,0.094114,7.812133,9.615645,3.204361,22.799337
1403638519727829504.000000,0.000000,0.000000,15.372647,4.562427,0.110497,9.008853,10.661419,0.002112,24.408861
1403638519777829376.000000,0.000000,0.000000,12.207967,4.479866,0.111809,7.710436,8.671473,0.001312,20.927024
1403638519827829504.000000,0.000000,0.000000,14.413019,4.320888,0.113697,6.997627,10.031842,0.001280,23.325423
1403638519877829376.000000,0.000000,0.000000,13.945845,4.405626,0.108801,6.201616,10.896366,0.001408,22.593573
1403638519927829504.000000,0.000000,0.000000,14.698431,4.450009,0.097922,5.310181,9.900256,1.573876,23.789365
1403638519977829376.000000,0.000000,0.000000,14.527325,4.742013,0.112769,5.240612,10.948686,0.001568,23.774741
1403638520027829504.000000,0.000000,0.000000,12.967913,2.098075,0.064993,3.803793,9.890145,0.001184,19.246266
1403638520077829376.000000,0.000000,0.000000,15.597643,4.485050,0.115202,3.610959,11.066608,0.001632,24.550111
1403638520127829504.000000,0.000000,0.000000,15.366695,4.320024,0.118658,3.534990,12.146429,0.000992,23.972216
1403638520177829376.000000,0.000000,0.000000,15.602763,4.556219,0.115617,4.371033,11.874362,1.561396,24.388573
1403638520227829504.000000,0.000000,0.000000,14.477565,4.692413,0.117793,5.783467,11.745081,0.001120,23.599507
1403638520277829376.000000,0.000000,0.000000,15.367783,4.503418,0.110562,5.939789,11.235890,0.001696,24.358429
1403638520327829504.000000,0.000000,0.000000,16.365749,4.535835,0.114978,6.209649,10.161860,0.001696,25.554860
1403638520377829376.000000,0.000000,0.000000,14.066839,4.568283,0.113410,7.469953,10.301222,0.001952,22.880009
1403638520427829504.000000,0.000000,0.000000,15.980304,4.214295,0.117857,6.975546,9.362010,3.016232,24.374460
1403638520477829376.000000,0.000000,0.000000,14.991459,4.204951,0.109985,7.400768,9.357946,0.001984,23.271502
1403638520527829504.000000,0.000000,0.000000,14.060950,4.621277,0.114977,5.071202,9.342041,0.001280,23.250990
1403638520577829376.000000,0.000000,0.000000,13.398318,4.745725,0.116161,0.143746,10.764364,0.134466,22.445059
1403638520627829504.000000,0.000000,0.000000,14.134103,4.473146,0.111489,0.135586,14.364571,0.095457,24.319963
1403638520677829376.000000,0.000000,0.000000,13.173067,4.749470,0.116897,0.137538,15.652043,0.094113,22.011870
1403638520727829504.000000,0.000000,0.000000,15.663499,4.448442,0.115426,0.134850,15.620394,0.096513,24.417565
1403638520777829376.000000,0.000000,0.000000,15.734701,4.672220,0.113474,0.138018,15.411496,2.711363,24.842019
1403638520827829504.000000,0.000000,0.000000,14.877473,4.348217,0.112865,0.076833,16.773050,0.129089,23.435472
1403638520877829376.000000,0.000000,0.000000,13.943702,4.127029,0.119138,0.052929,10.959022,0.080961,22.315810
1403638520927829504.000000,0.000000,0.000000,13.060490,4.278488,0.117185,0.145506,17.481059,2.309790,21.789371
1403638520977829376.000000,0.000000,0.000000,14.502813,4.597979,0.116290,0.067553,16.179026,0.131682,23.323183
1403638521027829504.000000,0.000000,0.000000,14.533757,4.592380,0.115425,0.125153,13.654002,0.134786,23.506193
1403638521077829376.000000,0.000000,0.000000,12.673061,4.378969,0.112097,0.122113,15.116037,0.102338,21.315477
1403638521127829504.000000,0.000000,0.000000,13.118251,4.622588,0.119777,0.149378,18.443823,0.115329,22.271873
1403638521177829376.000000,0.000000,0.000000,13.897620,4.951681,0.117602,0.159234,19.103096,1.825335,23.300207
1403638521227829504.000000,0.000000,0.000000,13.433935,4.446490,0.113857,0.072321,17.345793,0.115778,22.121632
1403638521277829376.000000,0.000000,0.000000,13.961334,4.095221,0.088033,0.152162,13.001161,0.113025,22.471684
1403638521327829504.000000,0.000000,0.000000,13.277645,4.438297,0.111841,0.151010,14.873377,2.054683,21.770522
1403638521377829376.000000,0.000000,0.000000,12.599396,4.321592,0.116833,0.077825,15.956911,0.116417,21.188851
1403638521427829504.000000,0.000000,0.000000,12.878407,4.089525,0.115554,0.125089,14.365723,0.111106,21.202196
1403638521477829376.000000,0.000000,0.000000,13.090922,4.427290,0.118433,0.140546,15.551594,2.789957,21.879004
1403638521527829504.000000,0.000000,0.000000,12.670117,4.263831,0.116834,0.074017,15.835469,0.114049,21.206100
1403638521577829376.000000,0.000000,0.000000,15.842413,4.891295,0.112833,0.119266,11.616407,0.147809,25.037061
1403638521627829504.000000,0.000000,0.000000,15.727372,4.348088,0.120290,0.128769,15.881902,3.116392,24.501374
1403638521677829376.000000,0.000000,0.000000,14.074455,4.809951,0.117569,0.069601,16.325364,0.113729,23.157837
1403638521727829504.000000,0.000000,0.000000,13.715826,4.497274,0.113377,0.126657,15.246022,0.134274,22.430723
1403638521777829376.000000,0.000000,0.000000,14.079958,4.508986,0.115170,0.097953,14.925506,2.457376,22.871625
1403638521827829504.000000,0.000000,0.000000,15.135908,4.560892,0.110401,0.148354,15.855470,0.139202,23.992440
1403638521877829376.000000,0.000000,0.000000,13.027785,4.601692,0.116066,0.100674,15.299207,0.116130,21.789019
1403638521927829504.000000,0.000000,0.000000,14.047031,4.547707,0.122850,0.094913,14.796928,2.015770,23.055372
1403638521977829376.000000,0.000000,0.000000,14.013398,4.745533,0.115425,0.144642,15.808141,0.169154,23.011691
1403638522027829504.000000,0.000000,0.000000,13.712818,4.688765,0.112321,0.106177,15.103460,0.108097,22.736008
1403638522077829376.000000,0.000000,0.000000,14.587262,5.253316,0.115074,0.113345,14.758048,1.659990,28.014252
1403638522127829504.000000,0.000000,0.000000,16.617656,5.638281,0.110721,0.132386,16.887899,0.121794,39.532258
1403638522177829376.000000,0.000000,0.000000,14.218009,6.347698,0.191586,0.109153,17.307937,0.132802,28.591316
1403638522227829504.000000,0.000000,0.000000,12.925768,6.017774,0.120770,0.102402,15.389544,1.872664,26.461240
1403638522277829376.000000,0.000000,0.000000,14.480924,7.326239,0.119105,0.171394,17.006301,0.184546,29.215452
1403638522327829504.000000,0.000000,0.000000,14.083543,8.356716,0.123874,0.123873,16.311796,0.117729,32.899723
1403638522377829376.000000,0.000000,0.000000,14.139640,11.323155,0.122177,0.129218,15.065827,1.778711,34.767428
1403638522427829504.000000,0.000000,0.000000,15.482505,12.833095,0.122849,0.166786,18.676083,0.181538,36.875551
1403638522477829376.000000,0.000000,0.000000,13.563536,14.440988,0.117121,0.127842,17.134878,0.132129,37.046817
1403638522527829504.000000,0.000000,0.000000,13.633745,16.449749,0.115713,0.090946,15.294278,1.775639,38.577589
1403638522577829376.000000,0.000000,0.000000,15.434857,16.544567,0.107873,0.156482,16.846938,0.173410,40.414829
1403638522627829504.000000,0.000000,0.000000,15.706956,16.764954,0.122017,0.136738,17.138014,0.121985,50.717139
1403638522677829376.000000,0.000000,0.000000,13.816563,9.313561,0.074400,0.146210,14.415195,1.417587,38.482452
1403638522727829504.000000,0.000000,0.000000,14.205304,12.114494,0.106178,0.146914,16.934236,0.114786,41.715486
1403638522777829376.000000,0.000000,0.000000,12.121629,14.168152,0.098273,0.118305,16.016304,0.132226,42.284933
1403638522827829504.000000,0.000000,0.000000,13.970133,12.712517,0.104129,0.136354,15.507370,0.089025,42.739211
1403638522877829376.000000,0.000000,0.000000,12.841639,15.107173,0.103586,0.117538,16.088657,1.588565,42.824204
1403638522927829504.000000,0.000000,0.000000,16.276852,14.071351,0.107745,0.097153,18.414416,0.216643,53.193747
1403638522977829376.000000,0.000000,0.000000,13.459311,9.708350,0.061856,0.097377,14.445276,0.111490,44.096285
1403638523027829504.000000,0.000000,0.000000,14.605246,9.272920,0.071873,0.110274,15.418280,0.131105,44.707781
1403638523077829376.000000,0.000000,0.000000,12.110974,9.032277,0.097281,0.100705,14.298426,1.984890,40.366029
1403638523127829504.000000,0.000000,0.000000,14.485660,11.334868,0.098721,0.148258,17.007197,0.180610,45.363661
1403638523177829376.000000,0.000000,0.000000,13.502351,10.812908,0.102946,0.117666,15.258726,0.113186,43.533910
1403638523227829504.000000,0.000000,0.000000,16.215635,11.118833,0.110882,0.123650,14.134231,0.099073,49.011549
1403638523277829376.000000,0.000000,0.000000,13.404014,9.061077,0.099618,0.107201,14.892417,0.132481,42.607146
1403638523327829504.000000,0.000000,0.000000,16.500759,9.141527,0.105633,0.100834,15.050595,0.143906,46.520604
1403638523377829376.000000,0.000000,0.000000,15.070851,9.381785,0.109889,0.105153,13.877972,1.995386,44.868807
1403638523427829504.000000,0.000000,0.000000,15.392744,10.404231,0.110081,0.143554,17.086302,0.212227,45.522480
1403638523477829376.000000,0.000000,0.000000,14.756640,11.148625,0.116641,0.115041,15.225478,0.113154,49.110558
1403638523527829504.000000,0.000000,0.000000,15.962544,7.987528,0.124033,0.104738,15.412904,1.804184,45.169003
1403638523577829376.000000,0.000000,0.000000,14.552061,7.431809,0.101985,0.169155,17.516771,0.124193,42.536201
1403638523627829504.000000,0.000000,0.000000,12.624420,9.008341,0.105057,0.125954,16.679160,0.120546,41.688958
1403638523677829376.000000,0.000000,0.000000,13.334414,9.921985,0.107873,0.108898,15.707180,1.410867,43.523926
1403638523727829504.000000,0.000000,0.000000,13.249132,11.075536,0.114498,0.143457,17.167359,0.143522,49.124254
1403638523777829376.000000,0.000000,0.000000,14.709599,8.380717,0.075105,0.125506,16.509014,0.112865,46.706911
1403638523827829504.000000,0.000000,0.000000,12.154462,8.100489,0.123650,0.108193,15.201222,1.590997,40.530479
1403638523877829376.000000,0.000000,0.000000,14.054774,9.070357,0.110753,0.166915,17.803751,0.134306,44.056125
1403638523927829504.000000,0.000000,0.000000,15.857262,9.572252,0.087297,0.135234,17.217311,0.121025,46.759168
1403638523977829376.000000,0.000000,0.000000,13.219276,7.582467,0.117282,0.158850,13.840596,0.074977,41.463034
1403638524027829504.000000,0.000000,0.000000,15.302663,6.502484,0.082177,0.149282,18.469552,0.093441,42.553896
1403638524077829376.000000,0.000000,0.000000,14.327803,7.983335,0.119554,0.146498,16.993181,0.089921,40.027176
1403638524127829504.000000,0.000000,0.000000,15.030147,7.621955,0.137186,0.175586,17.647877,1.533428,41.424986
1403638524177829376.000000,0.000000,0.000000,14.369211,7.919975,0.133538,0.160578,18.700659,0.221891,42.090339
1403638524227829504.000000,0.000000,0.000000,14.076343,8.305356,0.098081,0.195010,18.444016,0.158594,44.413089
1403638524277829376.000000,0.000000,0.000000,16.229170,9.540412,0.083233,0.167682,17.454786,0.146594,47.403624
1403638524327829504.000000,0.000000,0.000000,14.374299,8.451726,0.084929,0.123586,18.135691,1.649525,44.108317
1403638524377829376.000000,0.000000,0.000000,13.230508,9.222424,0.115745,0.211779,20.414569,0.210690,42.848717
1403638524427829504.000000,0.000000,0.000000,14.624894,10.699627,0.125634,0.158338,18.952759,0.158690,47.308199
1403638524477829376.000000,0.000000,0.000000,15.442728,9.931713,0.066785,0.146882,19.007351,0.123073,48.678392
1403638524527829504.000000,0.000000,0.000000,15.659755,9.581629,0.101697,0.165474,18.616050,1.548276,46.295322
1403638524577829376.000000,0.000000,0.000000,13.817236,7.026043,0.057345,0.187490,21.649945,0.258372,42.395911
1403638524627829504.000000,0.000000,0.000000,14.092983,6.670071,0.086017,0.160323,19.040631,0.136193,35.936243
1403638524677829376.000000,0.000000,0.000000,14.652574,9.009589,0.128385,0.157346,19.800001,0.161922,42.440872
1403638524727829504.000000,0.000000,0.000000,13.736114,10.513673,0.128226,0.173538,16.969533,0.104769,44.336448
1403638524777829376.000000,0.000000,0.000000,14.772128,10.257317,0.129634,0.159138,18.241037,0.102337,45.040105
1403638524827829504.000000,0.000000,0.000000,13.575121,10.139172,0.139938,0.175875,18.552465,2.142652,46.183800
1403638524877829376.000000,0.000000,0.000000,14.900866,10.326950,0.131170,0.190530,20.156646,0.245283,46.540540
1403638524927829504.000000,0.000000,0.000000,15.880206,7.190334,0.115842,0.218563,18.854740,0.183747,39.576194
1403638524977829376.000000,0.000000,0.000000,17.489923,9.935425,0.155810,0.175202,18.391343,0.165763,51.687743
1403638525027829504.000000,0.000000,0.000000,15.105093,9.439739,0.079073,0.165410,19.583551,0.154722,46.488828
1403638525077829376.000000,0.000000,0.000000,14.253786,6.821112,0.126818,0.146690,17.563652,0.106946,39.241022
1403638525127829504.000000,0.000000,0.000000,14.129592,9.571324,0.138146,0.168066,19.462141,0.106274,43.363412
1403638525177829376.000000,0.000000,0.000000,14.137016,8.750065,0.146018,0.173794,18.671955,1.709302,45.909364
1403638525227829504.000000,0.000000,0.000000,14.401435,9.633277,0.146402,0.184418,19.397340,0.259556,49.486883
1403638525277829376.000000,0.000000,0.000000,15.227494,9.644605,0.136258,0.212963,17.830632,0.191138,46.626302
1403638525327829504.000000,0.000000,0.000000,13.698386,6.403475,0.066785,0.150050,17.776295,0.144770,37.640649
1403638525377829376.000000,0.000000,0.000000,14.703039,7.599459,0.083169,0.140834,16.439222,0.174051,43.390420
1403638525427829504.000000,0.000000,0.000000,13.350734,8.806418,0.142146,0.119490,14.689855,1.769111,42.652298
1403638525477829376.000000,0.000000,0.000000,13.479759,7.086428,0.122242,0.175011,15.987023,0.185603,39.618691
1403638525527829504.000000,0.000000,0.000000,14.735583,8.541519,0.154210,0.126050,16.563127,0.142337,46.070614
1403638525577829376.000000,0.000000,0.000000,14.599006,8.340076,0.153314,0.118850,16.326452,0.161058,43.280626
1403638525627829504.000000,0.000000,0.000000,14.601470,5.442022,0.113089,0.115809,13.789844,1.246928,36.215670
1403638525677829376.000000,0.000000,0.000000,15.516362,8.866323,0.092033,0.142914,16.302164,0.135009,47.833293
1403638525727829504.000000,0.000000,0.000000,15.529450,8.474478,0.082465,0.108769,15.056836,0.103745,44.884711
1403638525777829376.000000,0.000000,0.000000,13.981302,7.297919,0.139522,0.071873,14.851617,1.413522,41.287033
1403638525827829504.000000,0.000000,0.000000,13.482991,7.862567,0.143778,0.122081,15.820110,0.118402,43.043279
1403638525877829376.000000,0.000000,0.000000,14.496829,7.209886,0.141761,0.087745,15.613995,0.122050,41.986466
1403638525927829504.000000,0.000000,0.000000,14.022966,6.796984,0.142529,0.072545,13.946389,2.902341,40.563855
1403638525977829376.000000,0.000000,0.000000,14.234840,8.448109,0.154722,0.076929,15.182085,0.096738,43.928539
1403638526027829504.000000,0.000000,0.000000,13.041642,6.833849,0.160738,0.071041,14.141208,0.090593,40.509486
1403638526077829376.000000,0.000000,0.000000,12.207775,6.558517,0.162754,0.067681,13.011561,1.546228,38.462132
1403638526127829504.000000,0.000000,0.000000,13.107754,6.016814,0.144129,0.077249,14.469788,0.091618,39.758629
1403638526177829376.000000,0.000000,0.000000,14.176664,8.352140,0.153858,0.057408,14.049847,0.088609,42.738283
1403638526227829504.000000,0.000000,0.000000,13.058825,7.685219,0.180867,0.063873,12.002652,0.050689,42.837132
1403638526277829376.000000,0.000000,0.000000,12.636484,8.572880,0.165634,0.076993,15.413896,1.722966,42.871469
1403638526327829504.000000,0.000000,0.000000,12.959049,7.492097,0.165218,0.081537,13.782931,0.090241,42.342374
1403638526377829376.000000,0.000000,0.000000,12.449921,7.443968,0.167266,0.051073,13.230988,0.079233,40.082697
1403638526427829504.000000,0.000000,0.000000,12.606084,7.457825,0.160002,0.052225,12.784390,0.057088,41.314168
1403638526477829376.000000,0.000000,0.000000,14.572477,7.329727,0.096865,0.061057,14.648703,0.049792,45.498320
1403638526527829504.000000,0.000000,0.000000,11.561239,8.285291,0.157058,0.057792,15.012003,2.241181,41.795839
1403638526577829376.000000,0.000000,0.000000,13.095274,7.836965,0.147330,0.082305,15.554858,0.130561,42.164804
1403638526627829504.000000,0.000000,0.000000,11.871450,7.075196,0.087554,0.064385,14.114327,0.080257,40.154345
