#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015808,3,1,0,949
0.005088,4,1,0,1056
0.624840,5,1,0,1498
0.404614,6,1,0,1960
0.769226,7,1,0,2353
0.979661,8,1,0,2783
0.820970,9,1,0,3047
1.471603,10,1,0,3152
1.329617,0,0,0,0
61.902734,0,0,0,0
2.111004,0,0,0,0
1.936953,0,0,0,0
2.095324,0,0,0,0
2.811109,0,0,0,0
2.548673,0,0,0,0
2.952807,0,0,0,0
3.217994,0,0,0,0
3.126985,0,0,0,0
3.735217,0,0,0,0
3.836787,0,0,0,0
4.686205,0,0,0,0
7.177119,0,0,0,0
6.151921,0,0,0,0
5.878062,0,0,0,0
4.555452,0,0,0,0
6.597911,0,0,0,0
5.211652,0,0,0,0
6.159601,0,0,0,0
5.790220,0,0,0,0
6.365364,0,0,0,0
6.561590,0,0,0,0
6.352660,0,0,0,0
7.196542,0,0,0,0
5.696011,0,0,0,0
4.944257,0,0,0,0
7.614468,0,0,0,0
5.046978,0,0,0,0
7.340512,0,0,0,0
4.868672,0,0,0,0
6.213298,0,0,0,0
4.756382,0,0,0,0
6.248530,0,0,0,0
6.436884,0,0,0,0
6.399700,0,0,0,0
6.558583,0,0,0,0
7.005468,0,0,0,0
6.745593,0,0,0,0
6.131920,0,0,0,0
7.084477,0,0,0,0
5.731148,0,0,0,0
6.929883,0,0,0,0
5.797644,0,0,0,0
8.810707,0,0,0,0
6.747833,0,0,0,0
6.591318,0,0,0,0
7.010236,0,0,0,0
6.952507,0,0,0,0
7.910280,0,0,0,0
6.872475,0,0,0,0
8.436975,0,0,0,0
4.833631,0,0,0,0
8.075754,0,0,0,0
5.203685,0,0,0,0
6.954875,0,0,0,0
6.779545,0,0,0,0
6.521718,0,0,0,0
5.168964,0,0,0,0
6.607542,0,0,0,0
6.547830,0,0,0,0
8.656977,0,0,0,0
5.105795,0,0,0,0
7.367041,0,0,0,0
6.305331,0,0,0,0
7.337984,0,0,0,0
6.188177,0,0,0,0
6.051823,0,0,0,0
4.985953,0,0,0,0
7.492034,0,0,0,0
8.200588,0,0,0,0
5.828685,0,0,0,0
7.045820,0,0,0,0
7.600740,0,0,0,0
8.813972,0,0,0,0
6.623863,0,0,0,0
6.975292,0,0,0,0
4.563516,0,0,0,0
4.738142,0,0,0,0
5.293894,0,0,0,0
6.271154,0,0,0,0
6.466933,0,0,0,0
6.854393,0,0,0,0
5.683211,0,0,0,0
6.196689,0,0,0,0
6.541622,0,0,0,0
7.980104,0,0,0,0
8.448846,0,0,0,0
8.265964,0,0,0,0
9.441212,0,0,0,0
11.965821,0,0,0,0
10.983952,0,0,0,0
9.190072,0,0,0,0
10.048036,0,0,0,0
10.452713,0,0,0,0
9.018710,0,0,0,0
11.194450,0,0,0,0
10.789357,0,0,0,0
12.432066,0,0,0,0
12.113086,0,0,0,0
