#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.585506,0.090401,0.996620,0.014848,0.014848,6.698831
5.479072,0.278915,3.751500,0.004192,0.004192,9.518288
4.184625,0.016384,0.198434,0.004928,0.004928,4.409491
4.068080,0.038912,0.490726,0.005440,0.005440,4.607382
5.857092,0.116930,1.294959,0.005632,0.005632,7.280565
4.829497,0.169602,2.338395,0.003648,0.003648,7.344950
6.244138,0.482597,5.156797,0.537606,0.537606,35.145629
5.301150,0.479941,5.719460,0.313283,0.313283,35.341950
4.112785,0.031232,0.369636,0.005728,0.005728,4.524661
4.812281,0.124449,1.447249,0.004128,0.004128,6.391979
4.962650,0.065601,0.799081,0.005409,0.005409,5.836741
5.902629,0.266787,4.201970,0.004832,0.004832,10.380282
7.317430,0.520582,6.902897,0.694505,0.694505,39.392431
7.834364,0.454629,8.899433,0.391237,0.391237,53.999578
7.436023,0.488870,10.501979,1.094445,1.094445,55.944785
5.488993,0.429829,9.156107,1.131950,1.131950,47.225323
4.126192,0.031457,0.424068,0.005216,0.005216,4.595222
4.256946,0.128225,1.233455,0.003776,0.003776,5.626914
2.938434,0.020737,0.258467,0.004224,0.004224,3.224646
5.283870,0.102881,1.164046,0.005792,0.005792,6.561773
6.962002,0.356388,4.426068,0.004736,0.004736,11.753674
7.872636,0.420005,5.091644,0.687144,0.687144,57.266304
7.463095,0.470182,8.897640,0.824457,0.824457,51.596861
6.840753,0.383044,9.193772,1.255503,1.255503,57.658566
5.690530,0.321828,9.423183,1.404401,1.404401,56.621401
5.178205,0.323492,8.311937,1.417809,1.417809,62.983908
5.263646,0.270115,7.081811,1.492113,1.492113,42.070958
5.903462,0.210498,8.457411,1.901462,1.901462,44.664941
6.516684,0.197987,9.441231,74.987793,74.987793,114.841445
6.117703,0.183171,9.338573,1.621747,1.621747,63.712204
5.813636,0.127906,10.051702,1.687347,1.687347,63.539914
6.629294,0.122113,15.029873,1.610771,1.610771,71.748747
6.261354,0.137026,14.965936,1.686292,1.686292,72.446452
6.620238,0.158466,16.046461,1.786997,1.786997,75.742906
5.584865,0.232291,16.179102,1.900662,1.900662,77.213739
6.636110,0.189699,16.175390,2.080505,2.080505,83.781753
6.192649,0.198498,16.987528,2.024088,2.024088,79.647304
7.019379,0.273731,19.350244,2.089593,2.089593,94.752922
7.322871,0.155713,19.817481,2.170170,2.170170,96.056778
6.979858,0.204546,16.861510,2.392156,2.392156,86.348727
7.782619,0.127618,18.596571,3.151685,3.151685,93.188551
7.847644,0.120833,19.457253,2.881218,2.881218,89.833792
8.020831,0.132353,21.374875,2.933122,2.933122,92.299357
7.659610,0.114945,18.908286,2.945922,2.945922,90.666921
6.588045,0.145314,15.977628,2.922883,2.922883,85.238474
7.229781,0.158050,18.197526,2.976291,2.976291,91.527028
6.727951,0.136930,16.948103,3.423465,3.423465,87.138305
6.627118,0.167074,19.647943,3.249958,3.249958,74.957745
6.566829,0.184226,19.112769,2.890978,2.890978,93.552844
6.879537,0.216035,19.291043,2.666144,2.666144,89.671583
6.959762,0.198018,17.947251,2.435037,2.435037,77.722834
7.150388,0.263939,16.722821,2.544286,2.544286,82.131494
7.378103,0.258979,18.802013,2.065944,2.065944,77.999445
7.818172,0.188610,19.762697,4.208081,4.208081,104.701935
7.891261,0.190082,19.545542,3.501993,3.501993,95.025246
4.489268,0.052161,0.676104,0.005568,0.005568,5.227933
4.723480,0.201538,1.612275,0.004608,0.004608,6.545965
5.618082,0.380165,2.765728,0.164482,0.164482,24.726307
6.060839,0.292132,5.721315,0.544550,0.544550,27.135039
5.595746,0.254051,9.465583,1.029261,1.029261,39.895862
5.200029,0.325956,8.429379,1.233614,1.233614,38.774248
4.011535,0.259459,5.790628,1.288623,1.288623,41.102371
4.715416,0.038016,0.556359,0.005376,0.005376,5.320543
4.070192,0.048928,0.680104,0.004896,0.004896,4.808856
4.337875,0.222211,3.297383,0.004608,0.004608,7.868829
3.868686,0.447877,3.675563,0.293795,0.293795,18.501370
4.057680,0.027104,0.374437,0.005504,0.005504,4.469269
4.012303,0.029216,0.364773,0.005312,0.005312,4.415956
4.998971,0.190786,1.769781,0.004896,0.004896,6.968754
4.853593,0.287171,7.355127,0.469414,0.469414,28.513744
5.319263,0.391556,5.535042,0.623848,0.623848,29.182712
5.687267,0.250339,7.451063,0.795049,0.795049,34.669784
4.251858,0.258883,7.707706,0.937579,0.937579,31.570963
4.085680,0.219875,7.658042,1.014188,1.014188,37.239159
5.125596,0.041473,0.535014,0.005696,0.005696,5.712003
3.808525,0.019681,0.297699,0.005792,0.005792,4.135121
3.785485,0.017632,0.238819,0.004864,0.004864,4.050992
4.093616,0.015137,0.206626,0.005152,0.005152,4.324883
3.871822,0.020928,0.246019,0.005152,0.005152,4.148529
4.317971,0.061505,0.845130,0.004160,0.004160,5.232702
4.050384,0.025408,0.328004,0.005568,0.005568,4.414132
4.865401,0.047777,0.771401,0.004768,0.004768,5.694179
4.718423,0.084897,0.938955,0.214851,0.214851,12.748310
4.884154,0.075585,1.368400,0.362948,0.362948,16.366689
5.302559,0.032416,1.550130,0.527014,0.527014,18.941951
5.440544,0.017696,1.979992,0.724680,0.724680,23.852025
5.391263,0.022305,2.278907,0.869099,0.869099,27.287010
5.870469,0.014720,2.475229,1.252239,1.252239,43.423648
6.171689,0.015712,2.824673,1.631187,1.631187,35.971336
6.218570,0.007712,3.287591,42.439860,42.439860,71.712942
6.702639,0.006912,3.885646,2.323739,2.323739,40.120057
7.034067,0.003808,4.594358,2.604511,2.604511,44.774704
7.239093,0.002720,4.643383,1.929239,1.929239,74.201771
4.056112,0.027168,0.333284,0.005888,0.005888,4.426068
4.393619,0.045281,0.724457,0.004256,0.004256,5.172349
4.745912,0.070721,0.940075,0.211970,0.211970,13.657345
4.994331,0.102017,1.424657,0.371652,0.371652,16.628580
5.240382,0.038433,2.331035,0.564967,0.564967,21.627168
5.390368,0.041248,2.239610,0.723497,0.723497,23.091569
5.476417,0.039168,2.755265,0.927051,0.927051,27.261090
6.164009,0.031200,3.007012,1.334864,1.334864,24.074333
6.294058,0.022080,3.357736,1.644819,1.644819,26.812381
6.263466,0.022912,3.517738,95.291719,95.291719,122.496808
6.876946,0.011520,4.208849,2.347452,2.347452,41.588332
7.130836,0.006272,4.614359,1.975255,1.975255,66.855798
4.774809,0.015456,0.202626,0.004896,0.004896,5.002299
3.707724,0.049345,0.733768,0.004032,0.004032,4.499413
3.739853,0.107777,1.114413,0.154914,0.154914,10.667423
4.506902,0.142978,3.889102,0.257251,0.257251,17.697362
5.169278,0.042816,0.539431,0.004864,0.004864,5.761125
5.185277,0.100130,1.305903,0.005184,0.005184,6.600718
5.549890,0.068000,0.738825,0.005568,0.005568,6.366283
6.471757,0.238018,4.662328,0.005312,0.005312,11.381447
7.752507,0.388229,6.110473,0.694793,0.694793,55.671540
8.401060,0.396644,8.165825,1.101645,1.101645,57.832462
8.511109,0.329956,10.096504,1.413105,1.413105,59.580835
8.764840,0.290115,10.841089,1.642579,1.642579,63.609522
9.558993,0.243587,15.620345,1.955959,1.955959,80.351160
9.481585,0.251491,18.864735,1.987352,1.987352,90.633747
9.289006,0.311076,19.308933,2.668319,2.668319,91.267738
9.944566,0.322532,22.674028,82.863479,82.863479,197.160642
7.648187,0.297411,17.925877,2.079353,2.079353,67.432640
10.157849,0.333668,29.686272,2.673312,2.673312,117.585267
9.812564,0.411781,30.594635,2.883139,2.883139,114.804466
9.696595,0.362565,31.030928,2.876706,2.876706,110.868291
9.084428,0.233859,24.863943,3.139173,3.139173,102.222781
9.916982,0.312931,28.488530,3.024100,3.024100,118.677056
9.589106,0.274659,27.902283,2.970179,2.970179,122.661839
8.990059,0.224514,26.686685,3.522026,3.522026,107.196088
5.605666,0.154978,14.758351,3.153381,3.153381,82.554451
7.525402,0.124321,18.501884,3.510858,3.510858,92.751405
8.520165,0.138274,30.837325,3.641099,3.641099,132.120063
8.449796,0.172066,31.993084,4.311507,4.311507,129.428671
8.903370,0.201314,30.009156,4.259795,4.259795,128.554645
8.877961,0.266147,34.306903,4.067184,4.067184,129.099803
9.333711,0.255811,34.360856,4.420308,4.420308,130.353067
10.068599,0.288804,40.490464,4.177426,4.177426,298.713048
10.285146,0.339268,36.607026,4.396404,4.396404,133.503536
10.204025,0.309091,40.404800,4.124177,4.124177,141.885459
10.471292,0.264579,39.149937,4.026447,4.026447,147.367028
10.148793,0.205986,33.611055,4.201522,4.201522,127.777805
11.495369,0.209410,35.740809,4.302323,4.302323,131.348599
11.433288,0.202626,36.982359,3.598315,3.598315,131.379223
11.229157,0.221955,44.690610,4.488149,4.488149,152.610227
8.231650,0.207938,27.588872,3.780589,3.780589,124.213218
8.121249,0.249283,25.395021,4.720120,4.720120,130.213450
9.667603,0.290371,31.292947,5.479649,5.479649,132.080064
8.358467,0.254979,28.738806,4.606871,4.606871,134.236186
10.485308,0.328420,41.556685,3.582347,3.582347,155.885915
10.553214,0.323171,40.907590,4.839642,4.839642,144.489940
10.663583,0.225954,36.240335,3.660331,3.660331,143.625449
10.246842,0.260003,32.826469,5.404288,5.404288,143.806955
9.752852,0.267107,37.399420,3.510378,3.510378,144.054158
9.655667,0.252963,38.432968,4.728184,4.728184,153.439486
9.160621,0.248259,35.218690,3.685868,3.685868,149.696882
8.297218,0.219139,28.629492,3.861742,3.861742,138.893681
9.181677,0.255427,34.455738,4.588278,4.588278,161.245627
4.585751,0.115201,13.481824,4.025776,4.025776,115.067543
4.273555,0.108321,12.971995,4.808633,4.808633,106.070284
