#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.029201,0.042849,0.489062,0.015552,0.015552,9.589176
9.422357,0.112482,0.884555,0.004416,0.004416,10.427938
9.461814,0.153026,1.528403,0.218083,0.218083,20.743939
9.847163,0.156578,2.386622,0.320164,0.320164,25.411006
10.056766,0.159938,3.163079,0.419877,0.419877,22.970943
10.381761,0.173570,20.345951,0.629224,0.629224,66.058233
10.678342,0.265891,22.150005,0.832075,0.832075,72.046469
12.204920,0.421062,30.314170,0.864971,0.864971,88.063852
12.905953,0.496742,29.979351,1.339345,1.339345,97.719781
13.855309,0.394245,36.246021,67.951601,67.951601,171.030233
15.133246,0.407653,37.802648,0.988973,0.988973,101.319667
15.845126,0.289892,41.463206,1.127566,1.127566,132.965822
16.069833,0.401701,38.393343,1.237391,1.237391,111.496273
16.465102,0.385253,33.530499,1.406577,1.406577,126.773840
17.665533,0.258499,34.734738,1.538003,1.538003,126.310603
19.428914,0.251363,38.884294,1.685206,1.685206,128.589223
17.064725,0.268548,45.670138,1.939161,1.939161,140.315834
19.718999,0.325124,46.833705,2.127994,2.127994,149.719504
21.585326,0.498182,47.830550,2.107163,2.107163,158.931491
17.442906,0.213379,38.531233,2.243100,2.243100,143.045244
21.800369,0.231042,46.869290,2.719138,2.719138,161.555427
23.619623,0.407909,61.823556,5.311266,5.311266,201.958683
20.577761,0.290884,48.214170,3.704014,3.704014,383.036083
20.642914,0.395013,45.292566,4.755387,4.755387,169.785706
24.928504,0.478086,63.111860,4.199541,4.199541,224.554551
18.905293,0.455749,58.835936,3.941617,3.941617,188.012334
23.767753,0.559911,56.529091,3.380747,3.380747,195.668206
23.273827,0.331620,41.556871,3.609773,3.609773,178.144306
25.251771,0.410885,51.186144,3.968145,3.968145,197.438723
17.464282,0.278596,34.546319,5.385604,5.385604,175.454929
27.038162,0.308036,52.634706,4.135123,4.135123,206.600886
29.595186,0.385893,55.380820,5.672615,5.672615,245.597053
13.152996,0.200514,29.327023,4.516281,4.516281,174.304162
13.144452,0.227683,30.502590,6.829813,6.829813,202.187199
23.026240,0.404229,55.329268,5.379011,5.379011,226.276812
9.299797,0.195234,23.392740,6.865430,6.865430,163.421307
8.280967,0.098689,19.412051,4.017138,4.017138,144.814193
17.405785,0.156194,39.968404,5.237505,5.237505,160.704984
17.789407,0.128097,48.903971,7.229818,7.229818,199.851170
9.831450,0.045249,0.532839,0.005888,0.005888,10.419394
9.673241,0.100961,1.016237,0.005344,0.005344,10.799911
9.900411,0.172675,1.344144,0.497831,0.497831,23.685096
10.073822,0.135842,1.853399,0.571975,0.571975,26.940881
10.295105,0.031136,2.034714,0.658440,0.658440,24.892183
10.482979,0.038977,2.448094,0.817290,0.817290,26.312105
10.692549,0.034433,2.955717,0.902859,0.902859,29.021802
11.045514,0.041760,3.607949,0.786025,0.786025,31.911182
11.321806,0.041472,3.958322,1.053741,1.053741,34.570000
11.595793,0.038913,4.265685,59.859308,59.859308,96.123281
11.835252,0.027712,4.517048,1.458035,1.458035,48.400637
12.062678,0.012417,5.471268,1.439698,1.439698,54.132996
9.249395,0.044993,0.536935,0.006560,0.006560,9.842299
9.668409,0.130754,0.923147,0.004704,0.004704,10.731206
9.836507,0.151362,1.470802,0.468390,0.468390,23.536166
10.009501,0.149346,1.806487,0.638824,0.638824,22.543386
10.297249,0.046240,2.070522,0.690441,0.690441,30.800417
10.542884,0.044449,2.403390,0.789674,0.789674,26.198824
10.707654,0.038144,2.798595,0.872523,0.872523,29.093291
10.952521,0.038784,3.254857,0.959884,0.959884,31.734860
11.131275,0.036448,3.869905,1.054381,1.054381,34.970645
11.460879,0.034273,4.263925,44.215369,44.215369,80.811410
11.923413,0.030657,4.989790,1.296528,1.296528,50.441207
12.290906,0.009920,5.683463,1.373330,1.373330,54.216806
9.176051,0.048321,0.573351,0.005888,0.005888,9.807611
9.688857,0.152546,1.420978,0.005440,0.005440,11.273869
10.246208,0.301539,5.906346,0.534374,0.534374,35.819519
10.574277,0.415653,6.345807,0.742954,0.742954,32.499287
11.360686,0.428966,12.013814,1.020461,1.020461,59.515816
9.115218,0.313924,15.657636,1.362673,1.362673,62.935347
9.923356,0.436293,21.592878,1.497778,1.497778,82.928172
14.089169,0.500806,28.184480,1.460275,1.460275,99.461308
14.831225,0.475366,33.568836,1.628981,1.628981,121.508719
16.004072,0.473286,37.147057,117.507452,117.507452,246.279814
16.664272,0.374149,39.259178,1.659285,1.659285,121.812402
17.339769,0.401669,38.792741,1.798006,1.798006,131.495596
18.294725,0.491046,46.985515,2.067514,2.067514,150.790141
16.638928,0.360901,35.124503,2.189564,2.189564,123.904397
