#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015553,3,1,0,425
0.004384,4,1,0,968
0.237219,5,1,0,1355
0.152898,6,1,0,1798
0.682376,7,1,0,2296
0.876843,8,1,0,2613
1.035021,9,1,0,2721
1.148719,10,1,0,3319
1.129550,0,0,0,0
53.072152,0,0,0,0
1.247759,0,0,0,0
1.206703,0,0,0,0
1.392881,0,0,0,0
1.994169,0,0,0,0
1.846871,0,0,0,0
2.001177,0,0,0,0
2.089338,0,0,0,0
2.191644,0,0,0,0
2.304189,0,0,0,0
2.421310,0,0,0,0
2.693538,0,0,0,0
3.872880,0,0,0,0
3.449387,0,0,0,0
3.737679,0,0,0,0
3.302250,0,0,0,0
3.739087,0,0,0,0
3.552109,0,0,0,0
3.613549,0,0,0,0
3.832144,0,0,0,0
2.621057,0,0,0,0
4.172660,0,0,0,0
2.976902,0,0,0,0
4.124436,0,0,0,0
4.947134,0,0,0,0
4.952574,0,0,0,0
5.839209,0,0,0,0
3.099719,0,0,0,0
5.457701,0,0,0,0
3.037734,0,0,0,0
5.201793,0,0,0,0
2.790307,3,1,0,456
2.805987,4,1,0,652
0.005440,5,1,0,1122
0.004480,6,1,0,1484
0.305060,7,1,0,2169
0.561863,8,1,0,2809
0.858827,9,1,0,3226
1.059629,10,1,0,3734
1.300528,0,0,0,0
1.798582,0,0,0,0
1.445042,0,0,0,0
91.102931,0,0,0,0
1.296688,0,0,0,0
1.591444,0,0,0,0
1.875767,0,0,0,0
2.051514,0,0,0,0
2.227676,0,0,0,0
2.525471,0,0,0,0
2.250492,0,0,0,0
2.821924,0,0,0,0
2.742147,0,0,0,0
3.351338,0,0,0,0
3.590477,0,0,0,0
5.278082,0,0,0,0
5.119488,0,0,0,0
5.091360,0,0,0,0
5.093535,0,0,0,0
5.190017,0,0,0,0
5.151841,0,0,0,0
5.270402,0,0,0,0
5.052287,0,0,0,0
5.103328,0,0,0,0
5.055359,0,0,0,0
3.960818,0,0,0,0
4.582106,0,0,0,0
2.760034,0,0,0,0
6.207886,0,0,0,0
3.758799,0,0,0,0
3.735118,0,0,0,0
3.884369,0,0,0,0
4.840157,0,0,0,0
5.210530,0,0,0,0
3.607438,0,0,0,0
4.964350,0,0,0,0
3.912881,0,0,0,0
5.440068,0,0,0,0
3.853968,0,0,0,0
5.372099,0,0,0,0
4.372950,0,0,0,0
4.376855,0,0,0,0
4.584377,0,0,0,0
7.918499,0,0,0,0
4.608217,0,0,0,0
4.806140,0,0,0,0
6.621971,0,0,0,0
5.010591,0,0,0,0
4.914109,0,0,0,0
6.484081,0,0,0,0
5.138176,0,0,0,0
5.053503,0,0,0,0
6.698420,0,0,0,0
6.626547,0,0,0,0
6.792693,0,0,0,0
8.258343,0,0,0,0
6.627987,0,0,0,0
8.564843,0,0,0,0
8.809294,0,0,0,0
5.797032,0,0,0,0
9.093682,0,0,0,0
6.802069,0,0,0,0
7.140538,0,0,0,0
6.301903,0,0,0,0
10.530787,0,0,0,0
7.563358,0,0,0,0
7.622816,0,0,0,0
8.275463,0,0,0,0
11.387598,0,0,0,0
8.420169,0,0,0,0
8.923535,0,0,0,0
13.624107,0,0,0,0
14.983676,0,0,0,0
12.566141,0,0,0,0
11.438159,0,0,0,0
10.207552,0,0,0,0
9.861563,0,0,0,0
12.100311,0,0,0,0
10.750791,0,0,0,0
12.434492,0,0,0,0
17.991425,0,0,0,0
10.835655,0,0,0,0
14.347507,0,0,0,0
10.856904,0,0,0,0
11.311758,0,0,0,0
14.244370,0,0,0,0
10.679846,0,0,0,0
17.547804,0,0,0,0
8.987440,0,0,0,0
12.406523,0,0,0,0
17.140342,0,0,0,0
7.220154,0,0,0,0
12.245145,0,0,0,0
12.646206,0,0,0,0
11.439599,0,0,0,0
5.257154,0,0,0,0
8.007524,0,0,0,0
7.243354,0,0,0,0
5.517093,0,0,0,0
10.865928,0,0,0,0
10.074142,0,0,0,0
10.039901,0,0,0,0
6.291759,0,0,0,0
9.926012,0,0,0,0
6.475985,0,0,0,0
6.641523,0,0,0,0
6.295887,0,0,0,0
6.890358,0,0,0,0
8.596939,0,0,0,0
7.103960,0,0,0,0
6.780853,0,0,0,0
8.164390,0,0,0,0
7.493277,0,0,0,0
7.481021,0,0,0,0
7.083161,0,0,0,0
6.830454,0,0,0,0
8.804302,0,0,0,0
8.165542,0,0,0,0
5.064863,0,0,0,0
8.020580,0,0,0,0
10.064829,0,0,0,0
5.399075,0,0,0,0
4.681082,0,0,0,0
7.968804,0,0,0,0
10.140735,0,0,0,0
9.543128,0,0,0,0
9.663576,0,0,0,0
8.823567,0,0,0,0
9.512439,0,0,0,0
8.505546,0,0,0,0
9.401078,0,0,0,0
6.949079,0,0,0,0
8.811214,0,0,0,0
6.718196,0,0,0,0
8.372553,0,0,0,0
8.039012,0,0,0,0
7.319548,0,0,0,0
5.051519,0,0,0,0
5.073055,0,0,0,0
5.722920,0,0,0,0
8.619340,0,0,0,0
7.507294,0,0,0,0
7.553278,0,0,0,0
8.008548,0,0,0,0
4.765564,0,0,0,0
6.359599,0,0,0,0
5.240385,0,0,0,0
6.562802,0,0,0,0
8.618827,0,0,0,0
9.583095,0,0,0,0
8.654988,0,0,0,0
8.954640,0,0,0,0
11.321837,0,0,0,0
10.321761,0,0,0,0
8.076517,0,0,0,0
5.725671,0,0,0,0
6.796725,0,0,0,0
8.847150,0,0,0,0
10.238752,0,0,0,0
7.695904,0,0,0,0
8.403049,0,0,0,0
5.328962,0,0,0,0
10.957513,0,0,0,0
7.451485,0,0,0,0
9.459799,0,0,0,0
6.735860,0,0,0,0
10.843432,0,0,0,0
7.228186,0,0,0,0
7.220314,0,0,0,0
7.117689,0,0,0,0
9.060785,0,0,0,0
6.252270,0,0,0,0
9.153586,0,0,0,0
7.459261,0,0,0,0
7.823426,0,0,0,0
7.536831,0,0,0,0
9.344341,0,0,0,0
7.361820,0,0,0,0
7.685248,0,0,0,0
9.263988,0,0,0,0
7.546622,0,0,0,0
9.563799,0,0,0,0
9.180051,0,0,0,0
7.353884,0,0,0,0
6.676371,0,0,0,0
6.848501,0,0,0,0
7.548319,0,0,0,0
8.050533,0,0,0,0
11.703122,0,0,0,0
7.022871,0,0,0,0
7.874434,0,0,0,0
7.803137,0,0,0,0
11.863829,0,0,0,0
7.840258,0,0,0,0
10.420898,0,0,0,0
11.523568,0,0,0,0
10.165215,0,0,0,0
8.118054,0,0,0,0
9.915548,0,0,0,0
11.599473,0,0,0,0
8.315176,0,0,0,0
11.306221,0,0,0,0
9.606680,0,0,0,0
14.070128,0,0,0,0
13.728523,0,0,0,0
11.433327,0,0,0,0
10.297857,0,0,0,0
8.775630,0,0,0,0
13.541161,0,0,0,0
11.713266,0,0,0,0
9.650905,0,0,0,0
12.790880,0,0,0,0
7.982532,0,0,0,0
12.501916,0,0,0,0
14.289203,0,0,0,0
10.912424,0,0,0,0
16.152074,0,0,0,0
10.137695,0,0,0,0
14.603415,0,0,0,0
14.663640,0,0,0,0
13.479305,0,0,0,0
12.258073,0,0,0,0
13.266534,0,0,0,0
13.275910,0,0,0,0
13.915438,0,0,0,0
13.881965,0,0,0,0
17.857696,0,0,0,0
12.143863,0,0,0,0
11.157228,0,0,0,0
15.516290,0,0,0,0
12.648510,0,0,0,0
13.693067,0,0,0,0
11.742290,0,0,0,0
16.933651,0,0,0,0
15.154653,0,0,0,0
17.706078,0,0,0,0
14.478773,0,0,0,0
17.592220,0,0,0,0
12.251450,0,0,0,0
15.097949,0,0,0,0
13.040515,0,0,0,0
16.968532,0,0,0,0
17.710782,0,0,0,0
16.314828,0,0,0,0
15.091773,0,0,0,0
17.162615,0,0,0,0
13.381512,0,0,0,0
9.875132,0,0,0,0
12.605725,0,0,0,0
8.628651,0,0,0,0
8.109125,0,0,0,0
13.902125,0,0,0,0
9.819323,0,0,0,0
10.432706,0,0,0,0
10.930793,0,0,0,0
11.995958,0,0,0,0
13.774860,0,0,0,0
9.744826,0,0,0,0
14.040528,0,0,0,0
16.460494,0,0,0,0
