#Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
0.000000,0.000000,17.723074,2.742179,0.004416,11.995992,4.196950,0.003424,25.322947
0.000000,0.000000,15.918379,3.640847,0.068001,4.097524,4.107765,0.001248,22.702657
0.000000,0.000000,15.705640,3.654191,0.085506,4.438265,4.059347,0.001024,23.467531
0.000000,0.000000,17.835044,3.532909,0.062433,4.404056,3.288842,0.001632,25.044607
0.000000,0.000000,17.052954,7.038938,0.127138,4.331895,4.110260,0.000960,35.719847
0.000000,0.000000,15.124609,7.113499,0.130114,3.888017,3.741616,1.891096,43.006116
0.000000,0.000000,16.018252,6.863864,0.199587,5.305763,4.678556,0.001152,35.819944
0.000000,0.000000,14.678075,7.061242,0.126178,5.003616,5.056768,0.001312,34.357014
0.000000,0.000000,15.336835,7.176700,0.129282,4.864798,4.951647,0.000960,34.539864
0.000000,0.000000,14.809148,6.830935,0.122370,4.860062,4.047316,0.001280,34.456855
0.000000,0.000000,15.283427,3.085511,0.065057,4.405752,4.547706,0.001216,32.025112
0.000000,0.000000,14.844861,6.995929,0.132546,4.917023,4.685627,0.934572,36.159084
0.000000,0.000000,16.892407,6.933465,0.124866,5.065761,4.083956,0.001249,38.017508
0.000000,0.000000,14.599386,6.577844,0.124546,5.003616,4.134644,0.000960,35.246433
0.000000,0.000000,14.241013,7.129851,0.128834,4.296279,3.882289,0.001025,34.554808
0.000000,0.000000,13.786608,6.648085,0.123649,4.193589,5.057505,0.000896,33.489419
0.000000,0.000000,15.224898,6.862935,0.123458,4.975967,3.702863,1.131054,36.684403
0.000000,0.000000,15.015327,6.747446,0.099137,4.723804,4.312343,0.001312,35.381954
0.000000,0.000000,14.010226,6.819639,0.134818,4.997696,4.484121,0.000864,34.217876
0.000000,0.000000,12.904901,6.939736,0.129058,4.961568,3.951922,0.001120,32.330044
0.000000,0.000000,17.977477,3.275626,0.128738,4.940959,4.138452,0.001088,34.848092
0.000000,0.000000,14.342294,6.568436,0.123714,5.109730,4.421368,1.455603,34.866076
0.000000,0.000000,14.463480,6.491955,0.158530,3.605998,4.911998,0.001088,34.326069
0.000000,0.000000,15.133312,6.811510,0.130081,5.627015,4.737725,0.001024,35.721447
0.000000,0.000000,14.821821,6.858967,0.133313,5.006528,4.442616,0.001344,35.087199
0.000000,0.000000,14.068116,7.061434,0.100098,5.059392,4.343416,0.001152,34.516600
0.000000,0.000000,15.813353,7.140315,0.128193,4.975104,3.796592,1.231728,38.050852
0.000000,0.000000,13.695727,3.381611,0.054913,4.700348,4.135028,0.001664,29.824860
0.000000,0.000000,14.662171,6.826487,0.130306,5.025056,5.032576,0.001664,35.920138
0.000000,0.000000,14.040563,7.116315,0.126594,5.358276,4.614331,0.001472,34.791772
0.000000,0.000000,16.530547,7.436447,0.106017,5.572935,5.161602,0.001344,37.711040
0.000000,0.000000,14.707100,6.788182,0.126401,5.518278,4.543994,1.080334,35.759463
