#Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
0.000000,0.000000,24.770993,3.148935,0.004224,11.378476,2.855139,0.002400,31.333154
0.000000,0.000000,23.324479,3.028421,0.081505,2.261468,3.149574,0.001120,30.384534
0.000000,0.000000,22.287922,4.413462,0.074721,2.299612,2.668257,0.000960,30.577273
0.000000,0.000000,19.665106,5.842984,0.104098,2.464767,2.900483,0.001440,29.799312
0.000000,0.000000,19.042059,6.564241,0.126817,2.481343,2.674465,0.435589,29.817391
0.000000,0.000000,19.702067,6.529264,0.126593,2.744674,2.724226,0.001440,30.761755
0.000000,0.000000,19.169612,6.412175,0.120801,2.745858,2.846083,0.000992,29.952593
0.000000,0.000000,19.110123,6.457200,0.118082,2.485695,3.057413,0.001056,29.919569
0.000000,0.000000,19.636178,6.497872,0.128834,2.477567,3.316905,0.001056,30.301526
0.000000,0.000000,19.590257,6.446576,0.142754,2.487999,3.061286,0.585831,30.270549
0.000000,0.000000,18.836264,6.173996,0.127425,3.583340,3.520363,0.001120,29.148071
0.000000,0.000000,21.365191,6.473648,0.123137,2.708417,3.328649,0.001153,32.339055
0.000000,0.000000,19.463376,6.486096,0.121665,2.764418,3.428010,0.001216,30.141396
0.000000,0.000000,20.063768,6.308974,0.124802,2.864708,3.539147,0.000928,30.735899
0.000000,0.000000,19.493200,6.691827,0.120098,2.935972,3.528748,0.560135,30.584760
0.000000,0.000000,19.911478,6.603281,0.122753,4.166643,3.436011,0.001184,31.074111
0.000000,0.000000,21.476713,6.536048,0.119458,3.304424,3.894800,0.001152,32.389615
0.000000,0.000000,20.073943,6.827765,0.102273,2.910596,3.348394,0.001344,31.117024
0.000000,0.000000,20.582845,6.361679,0.137890,3.231656,4.300661,0.001248,31.297570
0.000000,0.000000,20.556254,6.329902,0.122626,2.747010,3.537452,0.644744,31.374979
0.000000,0.000000,19.773523,6.500016,0.118690,4.489399,4.316758,0.000960,30.700154
0.000000,0.000000,19.152524,6.583377,0.128673,3.575084,4.008113,0.001056,30.146164
0.000000,0.000000,21.986159,6.454031,0.126914,3.505356,4.142131,0.000960,32.847541
0.000000,0.000000,18.977322,6.724851,0.125569,3.096615,4.909180,0.001024,30.029970
0.000000,0.000000,19.419375,6.296046,0.123937,3.381385,4.374869,0.899723,30.117203
0.000000,0.000000,19.106059,6.174733,0.129282,6.299597,7.097912,0.001408,29.656781
0.000000,0.000000,19.969686,6.384430,0.128322,4.821755,5.920041,0.000992,30.898141
0.000000,0.000000,21.023555,6.620786,0.128642,5.846088,5.952713,0.000992,32.049451
0.000000,0.000000,20.875809,6.255277,0.129089,4.818875,7.388987,0.000928,31.562085
0.000000,0.000000,19.495856,6.483504,0.124737,4.100018,5.736743,0.790250,30.378582
0.000000,0.000000,21.639307,6.605137,0.128385,7.083575,8.204389,0.001184,32.798132
0.000000,0.000000,20.227705,6.328686,0.130209,5.318466,6.110923,0.001184,31.211552
0.000000,0.000000,22.221042,6.466544,0.131713,6.111435,7.107256,0.001120,34.337320
0.000000,0.000000,18.831816,6.348078,0.139394,6.647506,7.675646,0.001152,44.528516
0.000000,0.000000,19.619185,2.653985,0.101729,5.933929,7.295002,0.654792,32.422608
0.000000,0.000000,18.324162,6.599825,0.124897,7.213081,10.894726,0.001792,34.095908
0.000000,0.000000,20.834464,6.432879,0.142113,5.640709,6.966134,0.000832,37.263691
0.000000,0.000000,20.240665,6.596434,0.128385,5.993385,7.748544,0.001472,36.810949
0.000000,0.000000,19.363407,7.319098,0.140833,5.797448,7.775167,0.001088,36.953095
0.000000,0.000000,20.700671,8.097732,0.135297,4.751578,7.468188,0.501318,38.649436
0.000000,0.000000,21.001219,9.242130,0.129026,5.392034,7.669727,0.002112,40.140238
0.000000,0.000000,18.003133,11.442925,0.129281,4.685113,6.627794,0.000832,39.523015
0.000000,0.000000,19.047690,11.509774,0.100161,4.494295,6.660818,0.000864,41.109594
0.000000,0.000000,18.665702,11.853074,0.109665,4.761018,6.995543,0.001408,42.055366
0.000000,0.000000,18.772807,11.683536,0.128066,5.470051,7.592062,0.461094,40.945240
0.000000,0.000000,19.741076,11.320523,0.098530,6.166188,8.671115,0.001728,41.701410
0.000000,0.000000,19.458767,10.762661,0.133601,0.155458,12.556570,0.108161,41.197724
0.000000,0.000000,19.211468,10.403296,0.130722,0.115393,14.820887,0.102530,40.945401
0.000000,0.000000,21.002595,7.306522,0.145026,0.123554,14.330065,0.105409,40.474451
0.000000,0.000000,20.340251,10.646243,0.140258,0.131937,14.414770,0.559847,42.469803
0.000000,0.000000,19.992567,10.220382,0.137185,0.220034,16.947345,0.144098,40.684149
0.000000,0.000000,19.267213,10.690948,0.141122,0.173666,14.132878,0.110401,41.987493
0.000000,0.000000,19.787187,10.956455,0.139745,0.141761,14.924312,0.589959,42.271273
0.000000,0.000000,21.444872,5.478339,0.083137,0.198435,16.463819,0.289828,39.894668
0.000000,0.000000,19.573330,12.330904,0.140034,0.147042,16.188903,0.159362,43.955581
0.000000,0.000000,18.783751,12.755261,0.137665,0.135522,14.759126,0.113345,44.533701
0.000000,0.000000,19.041643,12.998912,0.142369,0.140321,14.722166,0.584007,44.625030
0.000000,0.000000,19.820341,14.203695,0.152770,0.222819,18.868264,0.221091,46.906690
0.000000,0.000000,23.935559,12.098005,0.129026,0.145634,13.719849,0.161602,53.862807
0.000000,0.000000,18.989162,11.131753,0.117314,0.107777,12.494426,0.589799,45.047019
0.000000,0.000000,18.904233,10.921638,0.137218,0.203971,18.072382,0.189442,45.876117
0.000000,0.000000,19.491312,12.561563,0.138562,0.139778,14.652116,0.179874,48.690264
0.000000,0.000000,19.935830,11.803794,0.122690,0.120930,15.716833,0.533606,46.469436
0.000000,0.000000,19.545264,12.037716,0.123618,0.133634,17.550008,0.199490,51.440634
0.000000,0.000000,20.410940,10.020699,0.063713,0.115873,15.612544,0.181026,46.140505
0.000000,0.000000,19.638962,6.424719,0.112001,0.126465,17.250741,0.103906,43.458071
0.000000,0.000000,19.317038,11.701168,0.118434,0.130466,17.257877,0.529159,49.386080
0.000000,0.000000,22.037840,9.902522,0.109921,0.193954,19.631922,0.216866,49.764934
0.000000,0.000000,21.382760,11.165834,0.116482,0.129889,13.987757,0.109377,55.024550
0.000000,0.000000,19.107212,8.381063,0.101889,0.136834,14.806422,0.545094,44.162304
0.000000,0.000000,21.589514,8.648107,0.113217,0.201922,18.507397,0.331236,48.168754
0.000000,0.000000,22.461237,11.555310,0.153058,0.167746,15.735906,0.141761,51.797918
0.000000,0.000000,22.977020,10.359039,0.128834,0.143970,14.883351,0.535655,50.130378
0.000000,0.000000,22.410548,10.505474,0.083105,0.192034,16.639565,0.254563,50.251243
0.000000,0.000000,29.422314,9.499253,0.109090,0.141250,15.125978,0.150433,54.242108
0.000000,0.000000,22.638551,9.518710,0.076033,0.136706,14.138222,0.492454,47.270918
