#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.148529,0.035649,0.375204,0.015457,0.015457,9.586295
9.349139,0.113409,1.075118,0.004064,0.004064,10.545986
9.102704,0.211203,5.708038,0.245763,0.245763,26.026817
9.305074,0.269636,14.243727,0.477734,0.477734,48.194418
11.052008,0.387685,15.022713,0.829611,0.829611,62.729573
11.766705,0.383653,16.872751,1.071534,1.071534,68.228265
12.247319,0.431686,24.621903,0.968236,0.968236,82.749148
10.053724,0.328996,22.072976,1.488275,1.488275,79.870169
11.596879,0.238371,23.202238,1.051021,1.051021,81.143368
10.541058,0.200258,25.318360,69.047955,69.047955,161.643848
14.638293,0.276195,33.351867,1.615700,1.615700,93.956102
12.627484,0.266851,25.222871,1.065901,1.065901,89.209996
12.937567,0.341092,27.746998,1.362960,1.362960,91.679561
11.225322,0.280228,33.607134,1.661492,1.661492,132.829733
18.901225,0.418118,37.344620,1.735637,1.735637,128.694898
18.993098,0.309636,38.762782,1.967385,1.967385,130.830445
18.546597,0.378213,42.577708,2.080762,2.080762,139.964381
18.284929,0.205219,40.056750,2.107418,2.107418,137.854371
18.741767,0.317860,36.362848,2.249723,2.249723,138.776398
19.418159,0.365605,49.174462,2.640608,2.640608,159.891314
14.971256,0.190563,41.034650,2.478430,2.478430,153.943561
13.753162,0.208162,34.519306,3.737742,3.737742,152.030674
12.630620,0.241314,31.013727,3.826639,3.826639,138.131686
13.397253,0.275747,33.856033,3.516299,3.516299,152.096594
21.471753,0.382597,47.230758,3.901840,3.901840,183.201266
15.417374,0.316740,38.591067,3.383177,3.383177,152.536663
11.494702,0.177730,28.888772,3.425546,3.425546,239.581353
13.958476,0.359205,33.658142,3.608524,3.608524,153.945961
11.371308,0.197730,27.087342,3.730510,3.730510,129.750270
14.212176,0.235299,35.016783,3.384394,3.384394,162.008141
10.636835,0.193859,25.320280,3.334665,3.334665,133.883058
14.197871,0.249828,34.263814,3.391114,3.391114,139.149683
15.810723,0.244355,37.952948,3.736974,3.736974,146.945203
14.821943,0.244803,36.298335,3.526603,3.526603,145.991207
23.316800,0.409893,50.292203,3.863856,3.863856,190.272841
23.154621,0.404101,62.329473,3.478859,3.478859,191.583385
16.410986,0.318180,43.433975,3.045605,3.045605,177.500811
15.382013,0.320900,40.637461,3.208711,3.208711,175.498130
15.616864,0.326820,39.082242,4.800859,4.800859,179.410562
13.855498,0.289860,35.680984,2.746434,2.746434,156.821164
13.847371,0.233539,32.829589,6.364430,6.364430,168.700671
14.589971,0.172323,33.903233,2.798883,2.798883,149.649268
17.372150,0.193506,46.079928,3.005157,3.005157,171.753188
16.755566,0.145634,46.589406,4.210196,4.210196,188.589108
16.062470,0.198786,33.149529,4.182100,4.182100,162.357521
16.511596,0.164226,45.127340,5.151487,5.151487,171.092061
9.720120,0.045025,0.522022,0.006144,0.006144,10.296767
9.078512,0.078753,0.457157,0.002592,0.002592,9.618966
9.701399,0.213443,1.721269,0.272740,0.272740,24.480910
10.127165,0.243523,6.827220,0.657544,0.657544,35.125009
10.673571,0.255555,14.888088,0.982860,0.982860,66.405266
10.005595,0.363205,14.199983,0.922028,0.922028,62.787302
12.476250,0.399621,22.284338,1.369008,1.369008,80.713091
13.154723,0.538950,28.014457,1.453905,1.453905,94.206825
13.825258,0.475622,31.830025,1.631412,1.631412,121.776253
9.559766,0.390309,28.271644,56.627546,56.627546,150.031705
14.331376,0.469030,36.021660,1.686805,1.686805,100.836026
15.050138,0.485158,43.646842,1.622644,1.622644,134.601787
15.817827,0.588040,43.009842,1.771702,1.771702,129.937378
16.087910,0.463109,41.159068,2.142331,2.142331,127.562500
16.521611,0.546055,38.365913,2.252507,2.252507,138.893071
11.028264,0.435109,31.841993,2.486207,2.486207,122.347556
10.667363,0.486502,32.036267,2.698433,2.698433,141.320461
12.308312,0.426277,32.032011,2.645504,2.645504,132.766276
16.682061,0.583752,49.267871,3.196296,3.196296,180.613874
16.897969,0.498950,41.310045,3.437226,3.437226,168.940322
17.992638,0.557606,45.532082,3.743022,3.743022,187.230851
16.823919,0.507718,41.151484,4.587448,4.587448,188.858775
13.011552,0.444966,34.566666,5.099103,5.099103,197.673860
11.102633,0.411557,29.181063,5.104574,5.104574,369.111365
8.835693,0.352036,23.950023,5.110847,5.110847,143.510152
14.983641,0.559078,45.791413,4.478775,4.478775,194.819841
13.475654,0.539879,35.419380,5.455652,5.455652,163.157307
15.569696,0.478310,45.538193,4.945565,4.945565,195.362407
13.451717,0.469030,35.013072,3.441930,3.441930,162.735029
15.618497,0.521062,45.159213,4.065746,4.065746,189.959589
8.486473,0.276099,20.849825,6.470704,6.470704,152.299381
8.428104,0.321348,20.260313,3.602764,3.602764,150.539903
8.453032,0.287268,21.106980,4.958077,4.958077,159.937491
7.929666,0.293283,19.574834,3.749838,3.749838,153.794023
8.113540,0.300772,20.656447,4.810555,4.810555,162.345233
8.137444,0.287652,20.492220,3.959921,3.959921,161.700585
10.332383,0.415942,30.176116,3.704333,3.704333,190.135015
10.827622,0.342916,27.828695,6.865876,6.865876,196.156018
10.297951,0.350212,25.633084,5.087934,5.087934,182.290982
14.418866,0.394085,36.860006,3.562380,3.562380,209.924283
13.338244,0.385349,35.561782,4.989437,4.989437,214.919448
11.739697,0.389893,33.202713,3.727758,3.727758,197.747717
9.864122,0.330596,24.904595,5.336738,5.336738,202.847012
10.833093,0.325540,28.148347,4.130131,4.130131,201.201679
11.326859,0.352965,30.025938,5.591204,5.591204,209.884794
10.167741,0.348869,27.032589,4.316469,4.316469,204.985342
10.540098,0.347044,28.811107,4.542744,4.542744,208.908654
10.197085,0.338372,27.055214,5.670534,5.670534,209.963835
10.516546,0.338884,29.270857,4.589752,4.589752,205.898185
11.438029,0.377189,30.291093,3.600108,3.600108,204.576121
11.417037,0.367140,31.239009,6.152268,6.152268,239.523368
12.264696,0.406853,34.337351,4.864187,4.864187,206.189902
9.289202,0.331492,25.759646,6.784243,6.784243,203.893712
10.035932,0.326564,27.358353,8.487400,8.487400,204.249365
11.063848,0.398917,31.378403,6.482800,6.482800,202.370366
10.228158,0.363044,28.781699,5.276001,5.276001,203.233288
10.763652,0.380069,29.027014,5.408803,5.408803,206.203277
12.120021,0.427334,31.956073,6.865588,6.865588,198.747889
9.884922,0.422981,27.916152,7.133624,7.133624,203.305354
10.307583,0.443749,27.775126,7.919458,7.919458,206.211053
17.634617,0.617512,49.195710,7.019830,7.019830,234.219910
16.952689,0.885675,44.872425,5.684006,5.684006,223.370433
9.268882,0.461350,25.572891,7.466972,7.466972,200.297381
11.812850,0.533990,32.378479,8.918862,8.918862,219.112396
9.349555,0.501159,24.964979,10.365600,10.365600,187.012289
12.218902,0.574855,33.495645,5.157567,5.157567,201.925848
11.484686,0.543974,31.181729,8.198821,8.198821,208.651020
19.394159,0.716585,50.420557,11.252170,11.252170,229.107623
9.675383,0.434950,25.584027,9.979067,9.979067,194.495965
10.043292,0.454278,28.548255,8.229989,8.229989,201.241072
18.619910,0.657096,49.139965,9.804760,9.804760,223.975688
19.469104,0.711304,45.179149,7.409147,7.409147,705.281523
18.347875,1.141070,51.374457,12.392248,12.392248,234.665388
19.530768,0.733481,56.210197,7.820096,7.820096,234.154853
18.653254,0.628135,52.244228,8.234182,8.234182,230.308278
19.291309,0.710345,48.903067,8.385575,8.385575,238.288088
19.425264,0.652936,44.386787,8.934095,8.934095,224.447951
11.455789,0.479750,31.194656,10.410304,10.410304,204.629049
19.851413,0.662248,46.101528,8.783885,8.783885,240.773368
20.078424,0.657384,43.563961,8.752972,8.752972,228.560897
13.512934,0.469030,34.014947,9.850010,9.850010,213.879404
20.209273,0.655528,47.838286,9.527957,9.527957,234.760557
20.334331,0.702952,49.805318,11.458030,11.458030,239.647722
20.550590,0.669416,48.281011,9.875162,9.875162,238.200632
19.856725,0.678568,53.004173,11.924915,11.924915,272.132634
11.496558,0.496614,30.457207,10.526785,10.526785,212.476858
19.138283,0.653737,44.694694,10.343167,10.343167,236.580771
12.193271,0.552774,33.334427,9.862201,9.862201,216.738639
9.020912,0.439429,25.011156,13.674056,13.674056,207.218010
9.178418,0.463493,25.704989,13.709929,13.709929,211.371661
8.728588,0.502630,26.085409,15.394365,15.394365,210.342496
8.556394,0.461765,25.750718,11.167497,11.167497,204.399319
9.044656,0.533574,27.517523,14.021389,14.021389,210.482306
8.605002,0.476390,26.149859,11.751249,11.751249,210.611076
8.905710,0.592455,25.296440,17.783676,17.783676,209.635832
8.207589,0.480262,24.473261,10.947271,10.947271,203.143719
8.030115,0.421925,25.414969,8.561193,8.561193,203.863217
8.507016,0.532199,26.460134,13.910540,13.910540,204.576601
7.596606,0.554983,22.506069,11.887699,11.887699,195.503274
7.530620,0.649416,22.504694,11.880242,11.880242,201.458866
7.256570,0.596423,22.354452,10.792453,10.792453,197.409473
7.352251,0.496230,21.340647,13.117506,13.117506,200.412998
7.202809,0.469094,22.478677,12.265175,12.265175,207.606367
13.955532,0.771786,51.786558,10.628707,10.628707,260.363369
10.414433,0.554567,34.293830,12.223414,12.223414,218.849449
14.410289,0.694793,44.061631,10.064476,10.064476,234.432041
14.679541,0.690313,44.428483,9.629655,9.629655,237.931253
