#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636579763555584.000000,0.000000,0.000000,29.687031,5.428267,0.004704,13.126420,9.066012,0.003424,38.597521
1403636579813555456.000000,0.000000,0.000000,25.525343,6.982976,0.101249,4.169945,6.807613,0.001024,36.898618
1403636579863555584.000000,0.000000,0.000000,21.913293,9.105629,0.087969,3.749139,6.924415,0.001120,35.109090
1403636579913555456.000000,0.000000,0.000000,22.294642,9.797351,0.097793,3.665394,8.082799,0.000992,36.411668
1403636579963555584.000000,0.000000,0.000000,20.462297,12.038502,0.122498,3.728627,8.688824,5.359754,55.744413
1403636580013555456.000000,0.000000,0.000000,22.588630,5.614029,0.104961,5.461931,8.890234,0.001152,55.224342
1403636580063555584.000000,0.000000,0.000000,21.375750,6.275030,0.125602,4.850435,9.904072,0.001216,43.128559
1403636580113555456.000000,0.000000,0.000000,21.468807,7.531527,0.097314,3.947254,9.052445,0.001152,43.998844
1403636580163555584.000000,0.000000,0.000000,23.243871,8.249137,0.104482,3.322861,9.550691,0.001504,47.482635
1403636580213555456.000000,0.000000,0.000000,25.387933,8.942331,0.116513,3.232780,9.923240,3.983542,56.697610
1403636580263555584.000000,0.000000,0.000000,21.262116,4.881187,0.086241,3.339054,5.414730,0.001441,45.081067
1403636580313555456.000000,0.000000,0.000000,21.195011,7.158882,0.143906,2.783463,5.609613,0.001152,47.548525
1403636580363555584.000000,0.000000,0.000000,20.365687,7.167522,0.091905,3.376911,6.245973,0.001280,45.021769
1403636580413555456.000000,0.000000,0.000000,20.735644,6.749277,0.138338,3.820469,6.998336,0.001280,44.804134
1403636580463555584.000000,0.000000,0.000000,20.785725,6.397656,0.154242,3.670163,6.654139,4.638592,48.619515
1403636580513555456.000000,0.000000,0.000000,21.019041,2.968873,0.102082,5.997810,6.842334,0.001216,37.035228
1403636580563555584.000000,0.000000,0.000000,22.617494,6.025299,0.157282,4.989029,7.144226,0.001408,41.391096
1403636580613555456.000000,0.000000,0.000000,21.423078,6.735485,0.161442,4.659616,7.152674,0.001632,42.450439
1403636580663555584.000000,0.000000,0.000000,21.684361,8.230673,0.185506,3.663922,6.509817,0.001120,45.457743
1403636580713555456.000000,0.000000,0.000000,20.701372,8.904762,0.197890,3.375246,6.260150,9.489890,48.931583
1403636580763555584.000000,0.000000,0.000000,20.631291,4.077944,0.061601,6.514233,7.495591,0.001472,41.914943
1403636580813555456.000000,0.000000,0.000000,20.966400,10.321197,0.129153,5.280521,8.453364,0.001248,48.230710
1403636580863555584.000000,0.000000,0.000000,21.780522,11.007574,0.170338,4.229178,8.306546,0.002016,49.399366
1403636580913555456.000000,0.000000,0.000000,20.571450,11.243962,0.172642,4.034456,8.753784,0.001536,46.510718
1403636580963555584.000000,0.000000,0.000000,22.521013,10.856629,0.164483,3.347150,8.022318,8.271474,57.013806
1403636581013555456.000000,0.000000,0.000000,20.372920,8.454068,0.087873,6.261814,10.011049,0.001376,47.526348
1403636581063555584.000000,0.000000,0.000000,19.335914,9.088860,0.090945,5.200391,8.235377,0.001152,46.553215
1403636581113555456.000000,0.000000,0.000000,21.421382,11.211994,0.140610,5.708558,9.454370,0.001600,49.570952
1403636581163555584.000000,0.000000,0.000000,20.118004,10.569297,0.153570,4.617471,8.021582,0.001024,47.938641
1403636581213555456.000000,0.000000,0.000000,24.278925,10.870806,0.143810,5.255208,8.735128,5.672654,59.132939
1403636581263555584.000000,0.000000,0.000000,21.311236,9.081309,0.122370,7.268451,9.881736,0.001216,51.258559
1403636581313555456.000000,0.000000,0.000000,20.079412,6.431128,0.113858,5.279465,8.995835,0.000960,43.854617
1403636581363555584.000000,0.000000,0.000000,21.742986,11.457309,0.148226,5.885713,10.109803,0.001184,52.949590
1403636581413555456.000000,0.000000,0.000000,21.945773,7.777195,0.122882,5.423115,10.439343,0.001280,46.585983
1403636581463555584.000000,0.000000,0.000000,21.369733,10.072810,0.137762,5.367402,10.602577,4.538526,55.223349
1403636581513555456.000000,0.000000,0.000000,21.260164,6.309334,0.125474,6.357591,8.345395,0.001440,49.003744
1403636581563555584.000000,0.000000,0.000000,20.892255,7.293828,0.128545,5.533836,9.459074,0.001248,46.967012
1403636581613555456.000000,0.000000,0.000000,21.960653,9.807431,0.129922,4.889027,9.666980,0.001248,52.098858
1403636581663555584.000000,0.000000,0.000000,21.327237,9.057628,0.142146,4.578687,10.760884,0.001280,51.754822
1403636581713555456.000000,0.000000,0.000000,22.078351,9.180286,0.142594,4.313179,10.667346,4.507741,56.022880
1403636581763555584.000000,0.000000,0.000000,21.157954,6.306710,0.078753,4.190969,9.551619,0.001440,46.487454
1403636581813555456.000000,0.000000,0.000000,21.013280,8.902682,0.086593,3.565809,8.930554,0.001056,49.030049
1403636581863555584.000000,0.000000,0.000000,21.242788,8.413075,0.087425,3.682067,9.619620,0.001216,48.654235
1403636581913555456.000000,0.000000,0.000000,20.158388,7.240387,0.149378,3.384590,10.085739,0.001280,47.178792
1403636581963555584.000000,0.000000,0.000000,20.833182,7.911437,0.153442,2.690885,9.781382,4.228378,52.527824
1403636582013555456.000000,0.000000,0.000000,20.816958,4.572223,0.110338,4.734784,11.181818,0.001536,43.677495
1403636582063555584.000000,0.000000,0.000000,21.075585,7.185155,0.132994,0.079361,12.545389,0.088161,44.933033
1403636582113555456.000000,0.000000,0.000000,20.158868,6.264918,0.135906,0.065505,14.317444,0.082561,43.916922
1403636582163555584.000000,0.000000,0.000000,20.869310,6.180372,0.154146,0.077313,15.997116,0.085314,45.143435
1403636582213555456.000000,0.000000,0.000000,19.593612,5.734062,0.156546,0.085473,17.243404,0.099425,46.569567
1403636582263555584.000000,0.000000,0.000000,20.417112,3.563633,0.067360,0.102689,15.654391,4.225914,44.443265
1403636582313555456.000000,0.000000,0.000000,21.591625,3.875445,0.113441,0.155746,15.673047,0.213539,42.484391
1403636582363555584.000000,0.000000,0.000000,20.708252,4.035671,0.126850,0.120578,13.309654,0.098145,43.662999
1403636582413555456.000000,0.000000,0.000000,19.875216,8.325267,0.113697,0.115810,14.409221,0.081377,48.866654
1403636582463555584.000000,0.000000,0.000000,20.337975,9.012603,0.118434,0.109153,15.013326,0.086657,51.507650
1403636582513555456.000000,0.000000,0.000000,21.722537,4.986628,0.168675,0.096993,13.602427,0.090946,51.267263
1403636582563555584.000000,0.000000,0.000000,21.066433,5.322377,0.129378,0.107009,15.477173,6.508634,46.922243
1403636582613555456.000000,0.000000,0.000000,21.926540,6.098803,0.170690,0.068033,12.418602,0.154147,46.011479
1403636582663555584.000000,0.000000,0.000000,21.866316,7.673610,0.163170,0.067809,12.936305,0.111201,48.807390
1403636582713555456.000000,0.000000,0.000000,22.965179,9.381600,0.187811,0.116898,16.221310,0.101665,52.084266
1403636582763555584.000000,0.000000,0.000000,21.314117,6.676539,0.169314,0.107234,14.750442,6.412376,46.437149
1403636582813555456.000000,0.000000,0.000000,22.071279,9.933128,0.189283,0.088193,15.766936,0.146594,58.822695
1403636582863555584.000000,0.000000,0.000000,21.611368,7.025857,0.143522,0.118113,12.121895,4.721793,45.599697
1403636582913555456.000000,0.000000,0.000000,20.436793,7.584040,0.151650,0.184610,15.105999,0.141538,45.502064
1403636582963555584.000000,0.000000,0.000000,21.203875,6.753341,0.073953,0.117410,15.342706,0.112257,49.066721
1403636583013555456.000000,0.000000,0.000000,22.325458,9.258719,0.175138,0.138434,16.712677,0.112417,57.410164
