#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.103447,0.055233,0.624488,0.014592,0.014592,9.809184
9.809024,0.097122,1.326577,0.004352,0.004352,11.242131
10.205381,0.136514,1.615893,0.454694,0.454694,24.786788
10.434440,0.131426,2.262781,0.658760,0.658760,31.837503
10.816525,0.058017,2.872709,0.923372,0.923372,29.949286
11.154610,0.036512,3.398733,1.190768,1.190768,38.448854
11.622456,0.034848,3.966196,1.470227,1.470227,36.588125
11.896636,0.049824,4.977825,1.880184,1.880184,63.940386
12.439234,0.053504,5.450184,2.194172,2.194172,60.780568
12.655237,0.045025,6.707799,94.206061,94.206061,151.776892
12.887336,0.043008,8.119978,2.225021,2.225021,56.952742
9.344570,0.061985,0.678729,0.006016,0.006016,10.095236
9.795680,0.215523,1.820695,0.004736,0.004736,11.841019
10.321030,0.413542,10.781804,0.263140,0.263140,41.337339
10.878158,0.525958,16.430647,0.611240,0.611240,57.187434
11.616024,0.587528,16.968989,0.830314,0.830314,62.263116
11.630839,0.606632,23.799735,1.128143,1.128143,73.789154
11.292627,0.618376,17.333730,0.723145,0.723145,67.722995
11.129041,0.356805,19.228347,1.393938,1.393938,71.695271
12.168223,0.323172,27.068609,1.454483,1.454483,83.589026
11.725241,0.385285,20.148039,38.526326,38.526326,112.792895
12.790215,0.520294,43.538872,1.562293,1.562293,108.969645
12.116798,0.516327,31.848319,1.691286,1.691286,92.466966
12.200320,0.516166,29.251582,1.694614,1.694614,83.295775
12.567812,0.317796,33.384820,1.700791,1.700791,89.828340
12.818695,0.274787,28.815640,1.878361,1.878361,90.260185
10.292454,0.352837,36.719359,1.965722,1.965722,98.366339
9.314745,0.283876,32.742763,2.310974,2.310974,91.338919
14.210618,0.470310,51.251868,2.422624,2.422624,127.265340
11.089136,0.402021,35.744211,2.621986,2.621986,112.234039
15.189638,0.488646,34.633860,2.696899,2.696899,124.198099
14.703552,0.380420,34.371137,3.110120,3.110120,130.397732
15.724973,0.281124,35.235499,4.231063,4.231063,129.316726
16.966718,0.342468,45.734357,4.380666,4.380666,132.511457
14.064152,0.409029,44.159168,4.349400,4.349400,283.755029
18.453712,0.472647,58.548859,4.558460,4.558460,152.224609
11.789978,0.303908,36.472603,3.984340,3.984340,121.916182
14.722784,0.344613,38.194962,4.086582,4.086582,122.480318
15.524874,0.280868,46.044441,4.232152,4.232152,139.299929
15.534827,0.156322,40.750355,3.954804,3.954804,132.218909
15.186342,0.202402,52.311211,3.753041,3.753041,144.321498
14.900546,0.092865,40.567153,3.659631,3.659631,119.587127
9.515132,0.056641,0.624456,0.005696,0.005696,10.205541
9.892353,0.164898,1.480692,0.004928,0.004928,11.547127
10.184357,0.235043,1.823352,0.301380,0.301380,26.913215
10.912558,0.177347,2.365182,0.737353,0.737353,28.696822
10.483945,0.069729,2.771044,0.992621,0.992621,34.224927
11.163665,0.036833,3.351628,1.201968,1.201968,33.947995
11.587639,0.045312,3.852275,1.366386,1.366386,50.039980
11.865146,0.042721,4.259223,2.146108,2.146108,40.350190
12.215328,0.029664,5.658762,2.566434,2.566434,46.017241
12.771814,0.042401,5.704970,77.063181,77.063181,117.491612
13.293997,0.039616,7.197790,3.001607,3.001607,64.766924
9.305497,0.056033,0.685449,0.005952,0.005952,10.057123
9.826977,0.138017,1.241425,0.004416,0.004416,11.215155
10.302119,0.177698,1.780023,0.501670,0.501670,26.005460
10.606794,0.174370,2.295678,0.791626,0.791626,33.295218
10.905902,0.051585,2.849509,1.008717,1.008717,37.621098
11.298036,0.049088,3.263371,1.269905,1.269905,39.046206
11.678840,0.051681,3.811922,1.325969,1.325969,39.685093
11.950780,0.031232,4.284664,2.688419,2.688419,47.744046
12.251968,0.035776,4.965953,2.209821,2.209821,65.976092
12.813959,0.036449,5.939661,61.193630,61.193630,125.648583
13.578225,0.029952,6.623447,2.953670,2.953670,64.745324
9.362874,0.048577,0.551975,0.005536,0.005536,9.975906
9.371034,0.165058,1.215184,0.005024,0.005024,10.760716
9.839520,0.327525,2.247933,0.386565,0.386565,24.476447
10.285926,0.334148,11.460662,0.564807,0.564807,40.014345
8.917396,0.345284,13.700179,0.655912,0.655912,53.807709
8.810291,0.443397,18.479729,0.941005,0.941005,57.570831
8.501295,0.442086,21.083315,1.166703,1.166703,58.125334
12.475682,0.632425,31.057845,1.263632,1.263632,84.923059
12.484291,0.576232,35.236779,1.335089,1.335089,91.615051
9.220056,0.397062,30.475629,40.194476,40.194476,122.131385
13.106891,0.512871,42.902959,1.604181,1.604181,98.688295
13.638290,0.510886,48.373431,1.523316,1.523316,118.853038
14.137720,0.555751,54.872876,1.890009,1.890009,128.698222
14.404764,0.501319,52.171016,1.914425,1.914425,119.613176
15.365480,0.627401,53.908991,2.197981,2.197981,126.795222
15.487210,0.672105,56.399487,2.352831,2.352831,195.689592
15.611084,0.636616,57.759313,2.386272,2.386272,138.509839
16.370389,0.490407,49.089856,2.586466,2.586466,132.917637
16.843195,0.507047,50.159118,2.864293,2.864293,149.493213
15.278759,0.387077,49.519174,3.501966,3.501966,160.481613
11.405909,0.417061,47.681934,3.692208,3.692208,148.985335
9.308761,0.290852,29.417343,5.160580,5.160580,127.220187
10.514089,0.335460,32.693451,4.982913,4.982913,131.784758
10.018115,0.318180,31.959681,3.892467,3.892467,135.945421
14.902018,0.475462,59.006146,4.089077,4.089077,183.148468
10.537193,0.483622,36.458652,4.310008,4.310008,181.247739
16.184595,0.774282,52.984851,6.892698,6.892698,209.203368
10.974447,0.553927,35.267596,4.461562,4.461562,178.053554
10.019459,0.423398,32.818411,6.751640,6.751640,162.770699
15.359177,0.633640,45.413264,4.088629,4.088629,201.748135
11.055536,0.438245,34.614148,5.921549,5.921549,183.613242
11.716473,0.523143,34.095837,5.194852,5.194852,181.422430
11.855610,0.623848,34.882919,6.372883,6.372883,193.839103
9.965794,0.552391,28.729783,6.315027,6.315027,165.647504
7.034939,0.458438,18.342064,5.407398,5.407398,145.661483
8.661809,0.679049,29.099387,6.374355,6.374355,189.729770
13.751347,0.810603,45.537553,7.225951,7.225951,215.486234
7.194494,0.579144,19.421149,6.607222,6.607222,150.747726
6.559861,0.404453,17.687911,6.631510,6.631510,151.604185
6.480757,0.406469,17.616806,5.772875,5.772875,154.096634
6.058991,0.323556,17.378083,4.403578,4.403578,151.527736
6.029039,0.358052,18.034092,4.520571,4.520571,154.758498
5.740299,0.414213,16.206355,6.875962,6.875962,155.995698
12.373697,0.843115,35.575408,5.329446,5.329446,189.884684
12.837608,0.859499,34.825414,4.958721,4.958721,192.992117
13.625522,0.776458,44.188032,3.388588,3.388588,208.727618
12.398465,0.755050,37.217317,5.409991,5.409991,198.228697
12.783334,0.817963,33.692023,4.028564,4.028564,198.818720
