#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014656,3,1,0,393
0.004448,4,1,0,510
0.224803,5,1,0,682
0.321572,6,1,0,1150
0.415685,7,1,0,1871
0.652105,8,1,0,2443
0.428838,9,1,0,2761
0.638440,10,1,0,3063
1.439283,0,0,0,0
80.880982,0,0,0,0
0.945964,0,0,0,0
1.294481,0,0,0,0
1.099855,0,0,0,0
1.452307,0,0,0,0
1.731510,0,0,0,0
2.098459,0,0,0,0
2.186940,0,0,0,0
2.377951,0,0,0,0
2.602818,0,0,0,0
2.684643,0,0,0,0
2.924870,0,0,0,0
4.232470,0,0,0,0
4.062837,0,0,0,0
4.428410,0,0,0,0
4.085269,0,0,0,0
3.983092,0,0,0,0
4.142294,0,0,0,0
4.198007,0,0,0,0
4.537211,0,0,0,0
3.618927,0,0,0,0
4.181718,0,0,0,0
5.190915,0,0,0,0
3.990004,0,0,0,0
5.619113,0,0,0,0
4.345048,0,0,0,0
4.078741,0,0,0,0
7.349407,0,0,0,0
4.423226,0,0,0,0
6.474932,0,0,0,0
5.086498,0,0,0,0
5.386406,3,1,0,429
5.913100,4,1,0,559
0.005345,5,1,0,684
0.004192,6,1,0,821
0.275107,7,1,0,948
0.600936,8,1,0,1078
0.715721,9,1,0,1207
0.796266,10,1,0,1325
0.846347,0,0,0,0
1.004557,0,0,0,0
1.086255,3,1,0,646
51.708413,4,1,0,1064
1.091790,5,1,0,1374
1.522836,6,1,0,2112
0.005376,7,1,0,2727
0.004608,8,1,0,3234
0.400005,9,1,0,3871
0.795114,10,1,0,4591
1.011469,0,0,0,0
1.203983,0,0,0,0
1.343921,0,0,0,0
1.435314,0,0,0,0
1.662998,0,0,0,0
60.949333,0,0,0,0
1.498547,0,0,0,0
1.852280,0,0,0,0
2.089467,0,0,0,0
2.305406,0,0,0,0
2.216573,0,0,0,0
2.690914,0,0,0,0
3.161705,0,0,0,0
2.812228,0,0,0,0
2.984551,0,0,0,0
3.720528,0,0,0,0
3.406252,0,0,0,0
5.419623,0,0,0,0
4.877823,0,0,0,0
5.177827,0,0,0,0
5.285957,0,0,0,0
5.132547,0,0,0,0
5.497543,0,0,0,0
4.132981,0,0,0,0
4.437050,0,0,0,0
5.045473,0,0,0,0
6.453172,0,0,0,0
5.834379,0,0,0,0
5.763818,0,0,0,0
4.790046,0,0,0,0
6.226032,0,0,0,0
3.944691,0,0,0,0
6.360626,0,0,0,0
6.995515,0,0,0,0
6.232976,0,0,0,0
5.272388,0,0,0,0
5.579112,0,0,0,0
6.732727,0,0,0,0
4.023124,0,0,0,0
7.296031,0,0,0,0
6.326866,0,0,0,0
9.395322,0,0,0,0
4.027028,0,0,0,0
4.376312,0,0,0,0
5.666218,0,0,0,0
4.488506,0,0,0,0
6.106447,0,0,0,0
4.330392,0,0,0,0
4.545147,0,0,0,0
6.164463,0,0,0,0
6.108623,0,0,0,0
4.784190,0,0,0,0
8.159850,0,0,0,0
7.748068,0,0,0,0
8.358412,0,0,0,0
6.297938,0,0,0,0
6.072143,0,0,0,0
4.548379,0,0,0,0
5.402662,0,0,0,0
5.230531,0,0,0,0
9.359449,0,0,0,0
5.348101,0,0,0,0
6.775320,0,0,0,0
5.523144,0,0,0,0
8.173258,0,0,0,0
10.363078,0,0,0,0
5.523655,0,0,0,0
6.273393,0,0,0,0
6.176528,0,0,0,0
5.316485,0,0,0,0
7.358911,0,0,0,0
6.862969,0,0,0,0
8.794962,0,0,0,0
8.114921,0,0,0,0
6.502708,0,0,0,0
11.563029,0,0,0,0
8.623151,0,0,0,0
11.270034,0,0,0,0
8.073001,0,0,0,0
7.454369,0,0,0,0
13.169066,0,0,0,0
11.839289,0,0,0,0
8.092905,0,0,0,0
9.353433,0,0,0,0
14.616925,0,0,0,0
